ts_code,industry,size_bin,total_mv,ag_2y_q,nsi_2y_q,ag_orth_nsi,g4,signal,weight
002453.SZ,化工原料,s3,454113.2234,0.4536305593604242,0.0802404513147919,1.5048543485659458,0.6746982244478696,1.4464636845826295,0.01
002520.SZ,机床制造,s2,419387.0506,0.44611240073945535,0.06248085188382849,1.5048543485659458,0.6746982244478696,1.4464636845826295,0.01
600841.SH,汽车配件,s4,709176.9316,0.40136228694348325,0.1493770214282993,1.5048543485659458,0.6746982244478696,1.4464636845826295,0.01
603117.SH,仓储物流,s2,343340.3062,0.4163905232520828,0.053616133272527414,1.406374071366953,0.6746982244478696,1.4464636845826295,0.01
000980.SZ,汽车配件,s5,1013552.0955,0.4935523156296325,0.005253411863668901,1.5651055365213016,0.49142573799924694,1.4464636845826295,0.01
600579.SH,化工机械,s3,334920.267,0.8116937678242727,0.006171746279498396,1.5652013220460093,0.4911343769178363,1.4464636845826295,0.01
600537.SH,电气设备,s2,340909.9252,0.47872260182545695,0.005570020016812243,1.5653466623218215,0.4906922798466719,1.4464636845826295,0.01
000981.SZ,汽车配件,s5,1759554.8763,0.39127678654337,-0.0,1.5720214439577076,0.4703888822138003,1.4464636845826295,0.01
300256.SZ,元器件,s4,927772.8949,0.41735309320366626,-0.0,1.5732748190480637,0.4665763570660387,1.4464636845826295,0.01
000517.SZ,区域地产,s4,614497.0396,0.7407989165552349,-0.0,1.5733261801568266,0.4664201264848805,1.4464636845826295,0.01
000793.SZ,出版业,s2,497314.1188,0.5409692284594275,-0.0,1.5733261801568266,0.4664201264848805,1.4464636845826295,0.01
002047.SZ,装修装饰,s4,335090.9612,0.8453858073004752,-0.0,1.5733261801568266,0.4664201264848805,1.4464636845826295,0.01
002501.SZ,铝,s3,724200.0,0.5043963733866906,-0.0,1.5733261801568266,0.4664201264848805,1.4464636845826295,0.01
002564.SZ,化工机械,s4,450924.8504,0.7481335058894811,-0.0,1.5733261801568266,0.4664201264848805,1.4464636845826295,0.01
002793.SZ,化学制药,s3,461137.5181,0.4652106343977532,-0.0,1.5733261801568266,0.4664201264848805,1.4464636845826295,0.01
600223.SH,日用化工,s4,788857.3694,0.8973843002013526,-0.0,1.5733261801568266,0.4664201264848805,1.4464636845826295,0.01
600743.SH,区域地产,s3,415259.8547,0.9527254441845955,-0.0,1.5733261801568266,0.4664201264848805,1.4464636845826295,0.01
600530.SH,医疗保健,s2,364987.32,0.45808516128402316,0.0065128205128205125,1.5261613550424011,0.49266197787034366,1.4464636845826295,0.01
300072.SZ,化工原料,s4,669670.2861,0.36409260810133437,-0.0,1.5283210922215102,0.46756596747061185,1.4464636845826295,0.01
688373.SH,化学制药,s2,365172.2585,0.4329199694871842,-0.0,1.5188049090839242,0.4664201264848805,1.4464636845826295,0.01
002512.SZ,IT设备,s3,502427.405,0.4567579316192021,-0.0,1.507978109144808,0.4664201264848805,1.4464636845826295,0.01
000536.SZ,元器件,s4,1186628.0725,0.36362245818485334,-0.0,1.4961120455554267,0.4665763570660387,1.4464636845826295,0.01
600165.SH,化工原料,s2,334223.2822,0.33906489818097796,-0.0,1.4551169453709394,0.46756596747061185,1.4464636845826295,0.01
600520.SH,半导体,s1,461665.02,0.33215584246784946,-0.0,1.4064299597365417,0.515840583961184,1.4464636845826295,0.01
002269.SZ,服饰,s4,454762.5,0.4985538383255744,-0.0,1.4365967272532982,0.4664201264848805,1.4330319616938103,0.01
600397.SH,专用机械,s3,471220.9038,0.3429641637370112,-0.0,1.422196981261897,0.46697585315067613,1.4225503323441557,0.01
000151.SZ,商贸代理,s4,464559.4925,0.483607207625828,-0.0,1.422446614445599,0.4664201264848805,1.4223185818423547,0.01
600490.SH,铜,s3,973670.3148,0.17535026849812102,-0.0,1.394286177628598,0.4664201264848805,1.4009976594932916,0.01
601777.SH,摩托车,s5,3879103.8609,-0.05210980639500079,0.011029787884694007,1.1530442761413235,0.6746982244478696,1.376039996377542,0.01
002298.SZ,电气设备,s2,347112.0126,0.2970190241501451,-0.0,1.3489912295159672,0.46838759274873404,1.3681934142295775,0.01
300091.SZ,机械基件,s3,346975.2619,0.2890532398797654,-0.0,1.3425236293037508,0.47345962819436116,1.3671367996530743,0.01
002527.SZ,电器仪表,s5,819543.7557,0.3001478345406921,-0.00011463301076463851,1.2920911988708097,0.4955255507042687,1.34565985607186,0.01
000860.SZ,白酒,s2,1223915.5319,0.2597301862715857,-0.0,1.319728196800024,0.4664201264848805,1.3445480763394795,0.01
300056.SZ,环境保护,s4,439073.6146,0.3800517064979945,-0.0,1.3150512893464603,0.4664201264848805,1.3410070808180257,0.01
000908.SZ,化学制药,s3,448684.919,0.3598908828669312,-0.0,1.3052003884016774,0.4664201264848805,1.3335487343627876,0.01
600151.SH,汽车配件,s4,902144.6885,0.2585848219784951,-0.0,1.2895690918202105,0.4703888822138003,1.3247187531545483,0.01
688779.SH,电气设备,s4,897086.7862,0.27225470664759654,-6.5431054124211344e-06,1.2765660991803292,0.4683613914211926,1.3133388242061623,0.01
300044.SZ,软件服务,s3,436169.3292,0.40007415540181,0.008169717938592462,1.2278113499391998,0.5106553224787993,1.3084471883378175,0.01
600396.SH,火力发电,s1,384376.4792,0.25281016325864014,-0.0,1.241915559467477,0.4664201264848805,1.2856343169711781,0.01
603399.SH,小金属,s2,419519.8483,0.2393348652091031,0.006304821957332594,1.2165337227434727,0.4916672675260349,1.2855323357336903,0.01
688107.SH,半导体,s3,1149635.9846,0.25986073072956395,-0.001872949262684329,1.1974379228178185,0.5083405126637031,1.2836981631014739,0.01
300110.SZ,化学制药,s2,351117.2557,0.33595933113629944,-0.0,1.2352024208358838,0.4664201264848805,1.2805516434170419,0.01
300578.SZ,通信设备,s2,339834.3344,0.34590481368970605,0.01038184526718128,1.1918490916974356,0.5079933720898777,1.2792039007297324,0.01
002059.SZ,旅游景点,s3,545702.3642,0.34935792937528115,-0.0,1.2314741044585005,0.4664201264848805,1.2777288482845837,0.01
002030.SZ,医疗保健,s4,771895.3176,0.35102881441160116,-0.0,1.2216035564270624,0.4665819237188274,1.2703781270154182,0.01
000048.SZ,农业综合,s4,813983.2538,0.37557016264254395,-0.013460381651414721,1.258032159593327,0.41251913509751864,1.2570268746460307,0.01
002855.SZ,元器件,s2,396242.8487,0.2482860575653837,0.016729898307267333,1.1367376064633208,0.5335698590279002,1.2568422658821319,0.01
000828.SZ,路桥,s3,1115401.7324,0.34379009390289467,-0.0,1.1866040087942535,0.4664201264848805,1.243756654185844,0.01
600822.SH,汽车服务,s3,457782.9996,0.4141742994748354,-0.0,1.1838643306314642,0.4664201264848805,1.241682380063257,0.01
002383.SZ,通信设备,s3,576740.6776,0.33701171233491334,-0.0,1.1795047327290284,0.4664201264848805,1.2383816269906038,0.01
600889.SH,机械基件,s4,561242.0873,0.22831017944945128,-0.0,1.1648548002321344,0.47345962819436116,1.2326195926544246,0.01
600429.SH,乳制品,s4,679129.2194,0.3711934664242281,0.005344665453868269,1.148017559260513,0.48782239976789743,1.2307461142622198,0.01
000037.SZ,火力发电,s1,480401.789,0.22771697802952737,-0.0,1.1685199023216162,0.4664201264848805,1.2300647561389175,0.01
000595.SZ,新型电力,s2,600071.9049,0.2404561259754442,-0.0,1.1652502408255243,0.4664201264848805,1.227589219295547,0.01
600800.SH,化工原料,s2,362984.7856,0.19094955457947996,0.0638751537606761,0.9537957031276127,0.6746982244478696,1.2251842628179588,0.01
002426.SZ,元器件,s4,908501.1196,0.23381184921438825,0.01130077081552867,1.1015488786180225,0.5118293644601003,1.2137398261596974,0.01
300123.SZ,半导体,s2,568139.7724,0.2379533117413316,-0.014095737918886589,1.1494512038245028,0.4593953606502563,1.2103087867819666,0.01
