rebal_date,phase,top_n
2019-01-02,0,
2019-01-31,0,
2019-03-08,0,
2019-04-09,0,
2019-05-15,0,
2019-06-14,0,
2019-07-15,0,
2019-08-13,0,
2019-09-11,0,
2019-10-18,0,
2019-11-18,0,512010.SS;159949.SZ;510050.SS
2019-12-17,0,159915.SZ;159949.SZ;510300.SS
2020-01-16,0,159949.SZ;159915.SZ;510300.SS
2020-02-24,0,159915.SZ;159949.SZ;510500.SS
2020-03-24,0,518880.SS;512290.SS;512010.SS
2020-04-23,0,512010.SS;512290.SS;518880.SS
2020-05-27,0,512290.SS;512010.SS;518880.SS
2020-06-29,0,512290.SS;512010.SS;159915.SZ
2020-07-28,0,518880.SS;512290.SS;512010.SS
2020-08-26,0,512690.SS;510300.SS;510180.SS
2020-09-24,0,510300.SS;510180.SS;512690.SS
2020-11-02,0,512690.SS;159949.SZ;510300.SS
2020-12-01,0,510050.SS;510180.SS;510300.SS
2020-12-30,0,159949.SZ;510050.SS;510180.SS
2021-01-29,0,159949.SZ;510180.SS;159980.SZ
2021-03-08,0,515220.SS;515210.SS;159980.SZ
2021-04-07,0,515210.SS;515220.SS;510880.SS
2021-05-11,0,510880.SS;159980.SZ;515220.SS
2021-06-09,0,515220.SS;510500.SS;510880.SS
2021-07-09,0,510500.SS;512760.SS;159949.SZ
2021-08-09,0,515220.SS;510500.SS;515210.SS
2021-09-07,0,510500.SS;510880.SS;515210.SS
2021-10-15,0,159980.SZ;515220.SS;159949.SZ
2021-11-15,0,512660.SS;159949.SZ;159915.SZ
2021-12-14,0,159949.SZ;159915.SZ;512660.SS
2022-01-13,0,159980.SZ;510500.SS;512980.SS
2022-02-18,0,159980.SZ;515220.SS;510880.SS
2022-03-21,0,159980.SZ;515220.SS;518880.SS
2022-04-21,0,159980.SZ;518880.SS;515220.SS
2022-05-25,0,515220.SS;510880.SS;518880.SS
2022-06-24,0,159949.SZ;510500.SS;512660.SS
2022-07-25,0,512660.SS;159949.SZ;510500.SS
2022-08-23,0,515220.SS;510500.SS;510880.SS
2022-09-22,0,515220.SS;510880.SS;512660.SS
2022-10-28,0,518880.SS;512660.SS;159980.SZ
2022-11-28,0,518880.SS;159980.SZ;510880.SS
2022-12-27,0,159980.SZ;518880.SS;512690.SS
2023-02-02,0,518880.SS;159980.SZ;510180.SS
2023-03-03,0,510880.SS;515880.SS;512980.SS
2023-04-03,0,512980.SS;515880.SS;510880.SS
2023-05-08,0,510880.SS;512980.SS;518880.SS
2023-06-06,0,518880.SS;515880.SS;512980.SS
2023-07-07,0,518880.SS;515880.SS;159980.SZ
2023-08-07,0,512880.SS;518880.SS;510180.SS
2023-09-05,0,518880.SS;159980.SZ;510880.SS
2023-10-12,0,510880.SS;515220.SS;159980.SZ
2023-11-10,0,518880.SS;515220.SS;512290.SS
2023-12-11,0,515220.SS;518880.SS;512980.SS
2024-01-10,0,515220.SS;518880.SS;510880.SS
2024-02-08,0,515220.SS;510880.SS;518880.SS
2024-03-18,0,515880.SS;159980.SZ;518880.SS
2024-04-18,0,510880.SS;159980.SZ;518880.SS
2024-05-22,0,159980.SZ;510050.SS;510880.SS
2024-06-21,0,518880.SS;515880.SS;510880.SS
2024-07-22,0,518880.SS;512480.SS;510180.SS
2024-08-20,0,518880.SS;510880.SS;510050.SS
2024-09-20,0,518880.SS;159980.SZ;512880.SS
2024-10-28,0,518880.SS;515880.SS;512660.SS
2024-11-26,0,512980.SS;512480.SS;518880.SS
2024-12-25,0,510880.SS;512480.SS;512760.SS
2025-01-24,0,518880.SS;515880.SS;512480.SS
2025-03-04,0,518880.SS;512480.SS;515210.SS
2025-04-02,0,518880.SS;515210.SS;510500.SS
2025-05-07,0,518880.SS;515210.SS;512480.SS
2025-06-06,0,510880.SS;518880.SS;510180.SS
2025-07-07,0,510880.SS;510050.SS;515210.SS
2025-08-05,0,515880.SS;512660.SS;512980.SS
2025-09-03,0,512010.SS;512290.SS;159949.SZ
2025-10-10,0,515210.SS;510500.SS;518880.SS
2025-11-10,0,510880.SS;515210.SS;510050.SS
2025-12-09,0,515880.SS;159949.SZ;159915.SZ
2026-01-09,0,159915.SZ;510180.SS;510500.SS
2026-02-09,0,159949.SZ;159915.SZ;510300.SS
2026-03-18,0,159949.SZ;159915.SZ;510880.SS
2026-04-17,0,159915.SZ;159949.SZ;510300.SS
2019-01-03,1,
2019-02-01,1,
2019-03-11,1,
2019-04-10,1,
2019-05-16,1,
2019-06-17,1,
2019-07-16,1,
2019-08-14,1,
2019-09-12,1,
2019-10-21,1,
2019-11-19,1,159949.SZ;512010.SS;510050.SS
2019-12-18,1,159949.SZ;159915.SZ;510500.SS
2020-01-17,1,159915.SZ;159949.SZ;510300.SS
2020-02-25,1,159915.SZ;159949.SZ;510500.SS
2020-03-25,1,512290.SS;518880.SS;512010.SS
2020-04-24,1,518880.SS;512010.SS;512290.SS
2020-05-28,1,518880.SS;512290.SS;512010.SS
2020-06-30,1,159915.SZ;159949.SZ;510500.SS
2020-07-29,1,512010.SS;512290.SS;518880.SS
2020-08-27,1,512690.SS;510300.SS;510180.SS
2020-09-25,1,510180.SS;510300.SS;512690.SS
2020-11-03,1,512690.SS;159949.SZ;510300.SS
2020-12-02,1,510180.SS;510300.SS;510050.SS
2020-12-31,1,159915.SZ;159949.SZ;510050.SS
2021-02-01,1,512010.SS;159949.SZ;510300.SS
2021-03-09,1,515210.SS;515220.SS;159980.SZ
2021-04-08,1,515210.SS;515220.SS;510880.SS
2021-05-12,1,510880.SS;159980.SZ;515210.SS
2021-06-10,1,510500.SS;510880.SS;159949.SZ
2021-07-12,1,159915.SZ;159949.SZ;510500.SS
2021-08-10,1,510500.SS;515220.SS;512660.SS
2021-09-08,1,510500.SS;510880.SS;515220.SS
2021-10-18,1,159980.SZ;515220.SS;159949.SZ
2021-11-16,1,159949.SZ;512660.SS;159915.SZ
2021-12-15,1,159949.SZ;512660.SS;159915.SZ
2022-01-14,1,159980.SZ;510500.SS;512980.SS
2022-02-21,1,159980.SZ;515220.SS;510880.SS
2022-03-22,1,515220.SS;159980.SZ;518880.SS
2022-04-22,1,159980.SZ;518880.SS;515220.SS
2022-05-26,1,515220.SS;510880.SS;518880.SS
2022-06-27,1,515220.SS;510500.SS;510180.SS
2022-07-26,1,512660.SS;510500.SS;515880.SS
2022-08-24,1,515220.SS;512660.SS;510880.SS
2022-09-23,1,515220.SS;510880.SS;512660.SS
2022-10-31,1,512660.SS;518880.SS;159980.SZ
2022-11-29,1,518880.SS;510880.SS;159980.SZ
2022-12-28,1,159980.SZ;518880.SS;512690.SS
2023-02-03,1,159980.SZ;518880.SS;512980.SS
2023-03-06,1,515880.SS;510880.SS;510500.SS
2023-04-04,1,515880.SS;512980.SS;510500.SS
2023-05-09,1,510880.SS;518880.SS;512980.SS
2023-06-07,1,518880.SS;515880.SS;512980.SS
2023-07-10,1,518880.SS;515880.SS;159980.SZ
