phase,last_rebal_date,next_rebal_date,top_n_etfs,top_n_signal_avg
0,2026-04-29,2026-05-20,159755.SZ;515030.SS;159915.SZ,0.9494949494949495
1,2026-04-30,2026-05-21,159819.SZ;512480.SS;588000.SS,0.9507575757575758
2,2026-04-01,2026-04-22,515050.SS;159949.SZ;159755.SZ,0.9267676767676768
3,2026-04-02,2026-04-23,515050.SS;159755.SZ;510880.SS,0.883838383838384
4,2026-04-03,2026-04-24,515050.SS;159755.SZ;510880.SS,0.8409090909090908
5,2026-04-07,2026-04-28,515050.SS;159755.SZ;510880.SS,0.8661616161616162
6,2026-04-08,2026-04-29,515050.SS;159949.SZ;159915.SZ,0.9696969696969697
7,2026-04-09,2026-04-30,515050.SS;159949.SZ;159915.SZ,0.9696969696969697
8,2026-04-10,2026-05-01,159915.SZ;159949.SZ;515050.SS,0.9659090909090909
9,2026-04-13,2026-05-04,159915.SZ;159949.SZ;515050.SS,0.9659090909090909
10,2026-04-14,2026-05-05,159755.SZ;159915.SZ;159949.SZ,0.9393939393939394
11,2026-04-15,2026-05-06,159915.SZ;159949.SZ;515050.SS,0.9696969696969697
12,2026-04-16,2026-05-07,159755.SZ;159915.SZ;159949.SZ,0.9393939393939394
13,2026-04-17,2026-05-08,159819.SZ;159915.SZ;159949.SZ,0.9545454545454546
14,2026-04-20,2026-05-11,159819.SZ;159915.SZ;515050.SS,0.9696969696969697
15,2026-04-21,2026-05-12,159755.SZ;159915.SZ;159949.SZ,0.931818181818182
16,2026-04-22,2026-05-13,159755.SZ;159819.SZ;159915.SZ,0.9204545454545454
17,2026-04-23,2026-05-14,159949.SZ;515050.SS;159915.SZ,0.9570707070707071
18,2026-04-24,2026-05-15,159755.SZ;515030.SS;159915.SZ,0.9595959595959597
19,2026-04-27,2026-05-18,159755.SZ;515030.SS;512480.SS,0.9696969696969697
20,2026-04-28,2026-05-19,512480.SS;159755.SZ;515030.SS,0.9494949494949495
