symbol,n_bars,first_date,last_date,median_amount_60d
510300,3234,2013-01-04,2026-04-30,3534054261.5
510500,3187,2013-03-15,2026-04-30,4095120105.0
510050,3234,2013-01-04,2026-04-30,1992208423.5
159915,3233,2013-01-04,2026-04-30,3852707859.9775
510180,3232,2013-01-04,2026-04-30,57108287.0
159949,2372,2016-07-22,2026-04-30,1336746304.32
510880,3234,2013-01-04,2026-04-30,454681910.0
515080,1535,2019-12-27,2026-04-30,262034828.0
512800,2121,2017-08-03,2026-04-30,678204524.5
512880,2361,2016-08-08,2026-04-30,1543709280.0
159892,1100,2021-10-19,2026-04-30,919622053.288
512070,2863,2014-07-18,2026-04-30,442399937.5
512480,1670,2019-06-12,2026-04-30,1294685704.5
159779,1072,2021-11-26,2026-04-30,7278995.15
515230,1253,2021-03-02,2026-04-30,173474330.5
515880,1609,2019-09-06,2026-04-30,1518811339.0
159890,1230,2021-04-02,2026-04-30,42499493.400000006
515980,1511,2020-02-10,2026-04-30,406463245.5
159869,1250,2021-03-05,2026-04-30,529850030.4185
159857,1257,2021-02-24,2026-04-30,210913233.93400002
159755,1176,2021-06-24,2026-04-30,646603510.2845
515030,1494,2020-03-04,2026-04-30,224040692.5
159326,395,2024-09-09,2026-04-30,1608482832.963
562500,1049,2021-12-29,2026-04-30,766189235.5
159227,234,2025-05-16,2026-04-30,331944328.764
512660,2361,2016-08-08,2026-04-30,420656804.0
512690,1696,2019-05-06,2026-04-30,648544409.5
561120,1021,2022-02-15,2026-04-30,9368244.0
515170,1282,2021-01-13,2026-04-30,85852218.5
512010,3041,2013-10-28,2026-04-30,405536161.0
159992,1468,2020-04-10,2026-04-30,575755929.6685
159883,1211,2021-04-30,2026-04-30,121647245.4905
159980,1538,2019-12-24,2026-04-30,633556318.8069999
515220,1496,2020-03-02,2026-04-30,794823418.5
515210,1496,2020-03-02,2026-04-30,142420330.5
561360,606,2023-10-31,2026-04-30,281536917.5
159870,1252,2021-03-03,2026-04-30,1302902035.8045
159713,1139,2021-08-16,2026-04-30,109788883.5735
512200,2084,2017-09-25,2026-04-30,169109912.0
516750,1087,2021-11-05,2026-04-30,14206052.5
159867,1250,2021-03-05,2026-04-30,29400720.0
513100,3150,2013-05-15,2026-04-30,397260228.5
513500,2986,2014-01-15,2026-04-30,261547228.0
513050,2252,2017-01-18,2026-04-30,2501247775.5
159920,3234,2013-01-04,2026-04-30,500284712.8695
518880,3101,2013-07-29,2026-04-30,6866845440.0
162411,3099,2013-01-04,2026-04-30,708502295.5925
511010,3183,2013-03-25,2026-04-30,410796482.5
511260,2105,2017-08-24,2026-04-30,5458022190.0
511880,3167,2013-04-18,2026-04-30,17401514165.5
