round,label,rsrs_N,rsrs_M,rsrs_form,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,trend_ma_window,exclude_buckets
1,Baseline,18.0,600.0,rsrs_skew,120.0,0.3,0.2,0.4,5.0,-0.7,0.7,0.0,0.08846052147547123,0.1354401957021129,0.6531334440038115,1.4872587948192355,-0.31695017054441865,0.2790991445864328,0.8831117805389797,0.49738023952095806,90.75269461077846,2672,,
2,LHS-200,30.0,250.0,rsrs_skew,180.0,0.0,0.0,0.3,3.0,-0.7,0.7,0.4,0.1339060745431626,0.1475382136898465,0.9076026555713812,1.4263343246974318,-0.2064103044910535,0.6487373528823339,1.198436473550498,0.5067365269461078,60.021332335329326,2672,,
2,LHS-200,18.0,600.0,rsrs_skew,120.0,0.0,0.2,0.4,8.0,-0.7,0.7,0.0,0.1068542287332658,0.1287511328338202,0.8299284548523792,1.6570596726455549,-0.2990937010657811,0.3572600437672371,1.1243351267547346,0.5041167664670658,85.27084580838323,2672,,
2,LHS-200,24.0,600.0,rsrs_skew,180.0,0.3,0.2,0.4,3.0,-1.0,0.5,0.1,0.129279711263865,0.1558485414901171,0.829521470190102,1.4850798593482015,-0.2246835200560413,0.5753858192697875,1.0653188620611471,0.5029940119760479,76.9502245508982,2672,,
2,LHS-200,24.0,600.0,rsrs_skew,180.0,0.5,0.0,0.5,5.0,-1.0,0.5,0.4,0.1200506243233647,0.1459116146849934,0.8227626332731662,1.3411117523905502,-0.2374040170957664,0.505680677993488,1.0467299970379398,0.5097305389221557,59.94116766467066,2672,,
2,LHS-200,24.0,600.0,rsrs_skew,120.0,0.0,0.0,0.4,5.0,-1.0,0.5,0.2,0.1226536696893081,0.1509896370444234,0.8123317075940882,1.3988173574719969,-0.278502068078606,0.4404048793443417,1.0273866799829083,0.5089820359281437,68.6052395209581,2672,,
2,LHS-200,30.0,600.0,rsrs_skew,180.0,0.0,0.0,0.4,3.0,-0.7,0.7,0.4,0.1171501559445586,0.1504754104545013,0.7785335530284592,1.2809325888269951,-0.224433338915494,0.5219819680563114,1.0016329524863667,0.5153443113772455,59.76983532934132,2672,,
2,LHS-200,30.0,600.0,rsrs_skew,180.0,0.5,0.2,0.3,5.0,-1.0,0.5,0.4,0.1103096807947832,0.147276228380848,0.748998545165949,1.1413054508247256,-0.2947782243210961,0.3742124475063837,0.9663653280858906,0.5014970059880239,46.55995508982036,2672,,
2,LHS-200,30.0,600.0,rsrs_skew,180.0,0.0,0.2,0.4,5.0,-1.0,0.5,0.4,0.1121348633962182,0.1505238869188709,0.7449639103237913,1.1429009428745571,-0.2622289014150935,0.4276220614550611,0.944100984878674,0.5086077844311377,47.918038922155695,2672,,
2,LHS-200,18.0,600.0,rsrs_skew,120.0,0.5,0.0,0.4,8.0,-0.5,1.0,0.4,0.0868068168153994,0.1192434357282874,0.7279798362502802,1.4646671097621642,-0.2921062050020198,0.2971755318063142,0.966802701953356,0.499625748502994,74.86672904191617,2672,,
2,LHS-200,24.0,600.0,rsrs_skew,180.0,0.3,0.2,0.4,5.0,-0.5,1.0,0.1,0.0962065859453666,0.1329066802898564,0.7238656908407433,1.3988294488928996,-0.2271057171600927,0.423620273185585,0.9088108871210232,0.4958832335329341,73.04730538922156,2672,,
