round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,matrix,method,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,k,w_shrink
0,M1 ew (ref),30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M1,ew,0.1560527073634952,0.14871481614973525,1.0493420319759645,1.2674702846098298,-0.17181498406246676,0.9082601742509205,1.1699488494470707,0.3383233532934132,21.991616766467065,2672,,
50,M1 top-1,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M1,topk,0.16238347885740056,0.1693984835743111,0.9585887395867201,1.1814778343760122,-0.1663792717003234,0.9759838301845681,1.0721835893886105,0.33532934131736525,25.25209580838323,2672,1.0,
51,M1 top-2,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M1,topk,0.1559277292249357,0.15490067949976632,1.0066303758542965,1.2355737672477065,-0.19188325497345182,0.8126176994783063,1.1181525113154043,0.3401946107784431,23.972155688622752,2672,2.0,
52,M1 EPO w=0.3,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M1,epo,0.11653661256883607,0.16148489162241617,0.7216564435100337,0.9233027116941815,-0.3423272193966308,0.3404246170498443,0.7484818747283034,0.33907185628742514,22.850482689352827,2672,,0.3
52,M1 EPO w=0.5,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M1,epo,0.11825173399885025,0.16226648841973548,0.7287501883504617,0.929398437786854,-0.34507601568112467,0.3426831440760677,0.758089250093188,0.33869760479041916,22.816796696957926,2672,,0.5
52,M1 EPO w=0.7,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M1,epo,0.11968334097020072,0.1636147881791179,0.7314946423985645,0.930156888179572,-0.34794682034670343,0.34397021030669306,0.7646803740067339,0.3383233532934132,22.754891894529184,2672,,0.7
53,M6 ew,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,,0.19396641955449967,0.14645325517607385,1.3244254579476773,1.6331309104490572,-0.1838450093696885,1.0550540382875355,1.5576197332629345,0.47754491017964074,31.542664670658684,2672,,
54,M7 ew,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M7,,0.15301431590234182,0.14658892074209295,1.043832747575471,1.2740713532239782,-0.16024860156194232,0.9548558577791759,1.2086351426989492,0.4550898203592814,23.77679640718563,2672,,
55,M8 ew,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M8,,0.15351715034397695,0.14204202577183622,1.08078682706605,1.3702994946128828,-0.26286158814612726,0.5840227605207776,1.3083858450958439,0.44011976047904194,29.388323353293416,2672,,
56,M9 ew,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M9,,0.16779031085723783,0.15059513367472957,1.1141814928737879,1.3882583412435634,-0.17030832015187758,0.9852149954130589,1.310485744243828,0.4251497005988024,29.482634730538923,2672,,
57,M6 + topk k=2,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,M6,topk,0.20904950185550764,0.1505435460736972,1.3886314445733157,1.7260522830267435,-0.16146758731757527,1.2946840002281574,1.6546780282266595,0.4745508982035928,34.64101796407186,2672,,
