round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,L1_top,L2,L3,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,shrink
0,ref M6 top-1 + vol-parity t2,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,1,equal,vol_parity_t2,0.17314347759082271,0.14177206929425792,1.2212805981652932,1.513946897601926,-0.1510815551837491,1.1460265773690332,1.458501980164524,0.5205838323353293,29.47455115278089,2672,
72,static-RP all 6 + vol-parity t2,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,all,risk_parity,vol_parity_t2,0.1332005006568433,0.1223146403978052,1.0889988330393967,1.2874329205809587,-0.13367307280223195,0.9964647169734191,1.1765452225621917,0.5666167664670658,18.77854399806855,2672,
73,M6 top-2 cats equal + vol-p t2,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,2,equal,vol_parity_t2,0.18016033533750986,0.14876988640853742,1.2110000194714878,1.4751466215630054,-0.2234171461635811,0.8063854472727014,1.5150356890203838,0.5209580838323353,26.56544628527157,2672,
74,M6 top-2 cats RP + vol-p t2,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,2,risk_parity,vol_parity_t2,0.15525716727233574,0.12637789250565848,1.2285152426116317,1.455273279912952,-0.13367307280223195,1.1614692773767328,1.418823655098223,0.5385479041916168,21.229543122869245,2672,
75,M6 top-3 cats RP + vol-p t2,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,3,risk_parity,vol_parity_t2,0.15822124773871948,0.12972891120601376,1.2196298131837318,1.4373367963773234,-0.13732698899112694,1.1521496895919168,1.4301457231358405,0.5351796407185628,20.7060780172944,2672,
76,M6 all softmax + vol-p t2,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,all,softmax,vol_parity_t2,0.19633990924263878,0.14904950367887262,1.3172798593523223,1.52278919236024,-0.18686837601239015,1.0506855864665974,1.6644079749336127,0.5348053892215568,21.155899919575727,2672,
77,M6 top-3 MVO sh=0.3 + vol-p t2,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,3,mvo_shrunk,vol_parity_t2,0.16147667749055405,0.12265428913949261,1.3165187994926897,1.534865704043656,-0.14783947372524353,1.0922433192007635,1.4802277632231857,0.532185628742515,20.056780313533945,2672,0.3
77,M6 top-3 MVO sh=0.5 + vol-p t2,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,3,mvo_shrunk,vol_parity_t2,0.16033542474837925,0.12268285941007188,1.3069097469635291,1.5262156647567338,-0.1450747347629554,1.1051919206356573,1.4713744913601465,0.5325598802395209,20.149101717889234,2672,0.5
77,M6 top-3 MVO sh=0.7 + vol-p t2,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,3,mvo_shrunk,vol_parity_t2,0.1606749294321439,0.1228159894321439,1.3082574196979224,1.5297164605681435,-0.14113676750992865,1.1384342454976573,1.4762374156737215,0.532185628742515,20.336866176417193,2672,0.7
78,best L1L2 + intra vol-p t3,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,all,softmax,vol-p t3,0.18980835436182875,0.1480326152990516,1.28220631634713,1.4850806452223646,-0.19010574590148255,0.9984356520196506,1.615612455570218,0.5329341317365269,20.902637781213357,2672,
78,best L1L2 + intra topk-aware t2,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,all,softmax,topk-aware t2,0.20645682818205024,0.15197958888949709,1.3584510241843268,1.564161350812541,-0.2070340067248181,0.997212155858361,1.731768802554151,0.5422904191616766,21.430749077928702,2672,
