round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,trend_ma_window,exclude_buckets,reversal_L,reversal_w,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,multi_horizon_mom,multi_horizon_w,multi_rsrs,multi_rsrs_w,vol_target,vol_lb,skip_mom,bucket_relative
7,reversal L=3 w=0.1,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],3,0.1,0.11099846490229592,0.14619826095810456,0.7592324571774783,1.3035836573197646,-0.1907385050756003,0.5819405203909983,1.0074713840804372,0.5,63.023577844311376,2672,,,,,,,,
7,reversal L=3 w=0.2,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],3,0.2,0.09849502174277269,0.14549312766206554,0.6769737053941506,1.313464943670196,-0.252805989345786,0.3896071528908755,0.9035172933594745,0.4981287425149701,72.10890718562874,2672,,,,,,,,
7,reversal L=3 w=0.3,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],3,0.3,0.08003012086709416,0.1421963284405142,0.562814256491676,1.315336776951718,-0.27413159230675965,0.29194052459863357,0.7274283526792783,0.49925149700598803,82.79752994011974,2672,,,,,,,,
7,reversal L=3 w=0.4,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],3,0.4,0.05156306098599739,0.13991050575400152,0.3685431677064941,1.1818006714938252,-0.3158132635057789,0.16327072654772737,0.4793644491723724,0.4940119760479042,89.08495508982035,2672,,,,,,,,
7,reversal L=5 w=0.1,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.10942670426903112,0.14393982769382718,0.7602253387560769,1.299068500297471,-0.2187970277533422,0.5001288426659607,1.0106705972513843,0.5,61.766092814371255,2672,,,,,,,,
7,reversal L=5 w=0.2,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.2,0.09104674847697147,0.14145492392950978,0.6436449573317232,1.2550559812436057,-0.260427795834272,0.3496045734492594,0.8563397000786227,0.4962574850299401,68.61938622754491,2672,,,,,,,,
7,reversal L=5 w=0.3,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.3,0.07538980114143712,0.14072420247151246,0.5357273291827586,1.2191516282297614,-0.33099452869685153,0.2277675145817425,0.6924854460493123,0.49513473053892215,75.78705089820359,2672,,,,,,,,
7,reversal L=5 w=0.4,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.4,0.06197049980571023,0.13568464900249202,0.4567244729694666,1.2265995871482975,-0.3372507661751335,0.18375199116235397,0.594007084954734,0.4977544910179641,82.38884730538922,2672,,,,,,,,
7,reversal L=10 w=0.1,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],10,0.1,0.10407110697674771,0.1432692492357475,0.7264022637928408,1.2698864825534948,-0.21636885810757778,0.4809893063492711,0.9614717615162921,0.5018712574850299,62.2062125748503,2672,,,,,,,,
7,reversal L=10 w=0.2,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],10,0.2,0.08630261130989081,0.1415790205135633,0.6095720326135678,1.1862905711863723,-0.2582569637668104,0.3341734141497016,0.783778157458631,0.5022455089820359,65.47567365269461,2672,,,,,,,,
7,reversal L=10 w=0.3,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],10,0.3,0.05709440708256941,0.1370552289619931,0.41657956077255764,1.0448032033924117,-0.3552100843764322,0.16073419532217978,0.5241226547366814,0.500748502994012,70.06549401197604,2672,,,,,,,,
7,reversal L=10 w=0.4,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],10,0.4,0.02997366824737302,0.1344244677979101,0.22297777137146324,0.9015974842790396,-0.39299559612009427,0.07626973061095947,0.2821717508706918,0.48914670658682635,75.34693113772454,2672,,,,,,,,
7,reversal L=21 w=0.1,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],21,0.1,0.10148926794078306,0.1424971944172724,0.7122194114474532,1.2450831804972406,-0.2498991896573306,0.40612083648589753,0.9393658000190224,0.49887724550898205,61.04303892215568,2672,,,,,,,,
7,reversal L=21 w=0.2,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],21,0.2,0.08070422665514254,0.14121376033004687,0.5715039842188143,1.1261249597292502,-0.2749749421463552,0.2934966583689207,0.7459480792557315,0.499625748502994,63.605164670658674,2672,,,,,,,,
7,reversal L=21 w=0.3,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],21,0.3,0.040332636210831385,0.134624515069811,0.29959354869294397,0.9032574818507558,-0.36452011108039895,0.11064584637398943,0.37788489037566125,0.4936377245508982,67.53480538922155,2672,,,,,,,,
7,reversal L=21 w=0.4,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],21,0.4,0.03529061504898534,0.12987366293541588,0.2717303435611484,0.9040092878423254,-0.40646503836486647,0.08682324854052133,0.35333686686557736,0.4880239520958084,68.57223053892216,2672,,,,,,,,
8,"mh-mom (60, 120)",30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.10792822726940865,0.1629673995021832,0.6622688194025136,1.1015708986825978,-0.336044895765763,0.3211720476321087,0.8379880931415985,0.5033682634730539,57.61639221556886,2672,60|120,0.5|0.5,,,,,,
8,"mh-mom (60, 120, 252)",30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.09655210904001321,0.16119346171529272,0.5989827875931343,1.0456149002743884,-0.3201900487914777,0.30154625168533056,0.7577921897396498,0.5044910179640718,58.520209580838326,2672,60|120|252,0.33|0.34|0.33,,,,,,
8,"mh-mom (90, 180, 252)",30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.12181607502766156,0.16104239483747454,0.7564224013844272,1.1926878477652267,-0.23491617225741512,0.518551251099812,0.9551216427370015,0.5119760479041916,56.28031437125749,2672,90|180|252,0.33|0.34|0.33,,,,,,
8,"mh-mom (60, 120, 180, 252)",30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.10058638012623766,0.16171223934587012,0.6220084548523475,1.0728699162809636,-0.2942323316565376,0.34186039161615267,0.786862353995477,0.5063622754491018,59.01534431137725,2672,60|120|180|252,0.25|0.25|0.25|0.25,,,,,,
8,"mh-mom (120, 252)",30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.11049964061362871,0.16151632631332896,0.6841391402084525,1.1159779574254742,-0.2472328740423153,0.446945581333638,0.8740024277660349,0.5033682634730539,56.42964071856287,2672,120|252,0.5|0.5,,,,,,
9,"mh-rsrs [(18, 600), (60, 600)]",30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.11269322488857414,0.1633916246016609,0.6897123715081085,1.1154184322581744,-0.25079886558687736,0.4493370598980517,0.8760476550605975,0.5026197604790419,56.21744011976048,2672,90|180|252,0.33|0.34|0.33,"(18, 600)|(60, 600)",0.5|0.5,,,,
9,"mh-rsrs [(18, 250), (60, 250)]",30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.11084720820376792,0.16300299675727584,0.6800317197163439,1.1081419787824895,-0.3080107036233074,0.3598810265351442,0.8569041838120539,0.5044910179640718,56.4689371257485,2672,90|180|252,0.33|0.34|0.33,"(18, 250)|(60, 250)",0.5|0.5,,,,
9,"mh-rsrs [(14, 600), (30, 600), (60, 600)]",30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.09861631423254424,0.16180154393541313,0.609489327690898,1.0363855849778434,-0.3373591159708308,0.2923185103469116,0.7667164424286427,0.5048652694610778,56.4689371257485,2672,90|180|252,0.33|0.34|0.33,"(14, 600)|(30, 600)|(60, 600)",0.3333333333333333|0.3333333333333333|0.3333333333333333,,,,
