round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,trend_ma_window,exclude_buckets,off,full,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,w_macro,yield_gate
19,"r2 off=down,*; full=up,*",30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200.0,[],"[0, 1]","[2, 3]",0.09919369767077724,0.19317366408776945,0.5134949328584877,0.778094379055139,-0.4075197262275313,0.24340833409225993,0.49245614503811197,0.6167664670658682,38.07035928143712,2672,,
19,"r2 off=down,*|up,high; full=up,low",30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200.0,[],"[0, 1, 3]",[2],0.1116797791399955,0.1293440457365781,0.8634319307395284,1.2116483272534837,-0.12769664152212212,0.8745709973950108,0.8717567867011696,0.6452095808383234,33.73203592814371,2672,,
19,"r2 off=down,high|up,high; full=up,low",30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200.0,[],"[1, 3]",[2],0.12128653987289773,0.13780321842929583,0.8801430130249643,1.2275824547332523,-0.19810590311203358,0.6122308218362746,1.0323187340328912,0.5711077844311377,34.816616766467064,2672,,
19,"r2 off=down,*; mid=up,high; full=up,low",30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200.0,[],"[0, 1]",[2],0.10841851898126742,0.148478660880199,0.7301959644473466,1.0383166174546135,-0.21913998078983987,0.49474549824499253,0.7547053235552805,0.6208832335329342,34.17215568862275,2672,,
20,"r3 off=down,*; full=up,low",30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200.0,[],"[0, 1, 2, 3]","[6, 7]",0.0709832578709364,0.15828504968767576,0.4484520680316862,0.5984314902141181,-0.3609163964452464,0.19667507093074132,0.3836506953452563,0.6440868263473054,19.019461077844312,2672,,
20,"r3 off=down or high-vol-contract; full=up,low,exp",30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200.0,[],"[0, 1, 2, 3, 5, 7]",[6],0.06879565302397816,0.05762071548030843,1.193939583195365,1.3098813356097432,-0.06931785185746098,0.9924666039196278,0.9888422089897795,0.7563622754491018,5.658682634730538,2672,,
20,r3 binary trend,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200.0,[],"[0, 1, 2, 3]","[4, 5, 6, 7]",0.09919369767077724,0.19317366408776945,0.5134949328584877,0.778094379055139,-0.4075197262275313,0.24340833409225993,0.49245614503811197,0.6167664670658682,38.07035928143712,2672,,
20,"r3 off=down,*|up,high,contract",30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200.0,[],"[0, 1, 2, 3, 5]","[4, 6, 7]",0.019544474465502004,0.1506632763397304,0.12972288231294796,0.277338639810288,-0.3943187465813903,0.04956516684774935,0.09337721053721723,0.717814371257485,18.57934131736527,2672,,
21,macro_blend w=0.0,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200.0,[],,,0.12128653987289773,0.13780321842929583,0.8801430130249643,1.2275824547332523,-0.19810590311203358,0.6122308218362746,1.0323187340328912,0.5711077844311377,34.816616766467064,2672,0.0,
21,macro_blend w=0.1,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200.0,[],,,0.13463383690901543,0.13983748122633646,0.9627879144297616,1.3080432226005587,-0.17619226653023623,0.7641302286437811,1.1131923213587862,0.5763473053892215,34.78517964071856,2672,0.1,
21,macro_blend w=0.2,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200.0,[],,,0.14216893251783658,0.1430606482894725,0.9937668689307797,1.311937530059513,-0.22674824793702153,0.6269902140867852,1.1259820706938357,0.5853293413173652,32.86751497005988,2672,0.2,
21,macro_blend w=0.3,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200.0,[],,,0.15518633104060497,0.14452882257510796,1.0737396754198185,1.3663253520184715,-0.21134813150210685,0.7342687628116455,1.2050912077206528,0.5894461077844312,30.604041916167667,2672,0.3,
21,macro_blend w=0.4,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200.0,[],,,0.1472805381227107,0.14571946173236117,1.010712888805592,1.2846112135959695,-0.2252514605549618,0.653849425703386,1.1377743977473875,0.5827095808383234,29.189371257485032,2672,0.4,
21,macro_blend w=0.5,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200.0,[],,,0.15522008779230423,0.14650715079477825,1.0594710698437562,1.3298630300827936,-0.23977774485496595,0.6473498526153543,1.1824569436712036,0.5860778443113772,28.78068862275449,2672,0.5,
22,yield_gate=False,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200.0,[],,,0.12128653987289773,0.13780321842929583,0.8801430130249643,1.2275824547332523,-0.19810590311203358,0.6122308218362746,1.0323187340328912,0.5711077844311377,34.816616766467064,2672,,False
22,yield_gate=True,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200.0,[],,,0.04951375978377248,0.1787786999022197,0.27695558705177564,0.6536726269447316,-0.5000099087159263,0.09902555713531476,0.2880288821595265,0.5625,54.952095808383234,2672,,True
23,refine L=120 wr=0.2 k=3 rb=0.0,30,250,120,0.2,0.0,0.2,3,-0.7,0.7,0.0,rsrs_skew,200.0,[],"[1, 3]",[2],0.09011695994870372,0.1417538872475564,0.635728315452296,1.0202828036482496,-0.28305370269472774,0.31837407209576235,0.7464482775447543,0.5580089820359282,40.93113772455089,2672,,
23,refine L=120 wr=0.2 k=3 rb=0.2,30,250,120,0.2,0.0,0.2,3,-0.7,0.7,0.2,rsrs_skew,200.0,[],"[1, 3]",[2],0.09011695994870372,0.1417538872475564,0.635728315452296,1.0202828036482496,-0.28305370269472774,0.31837407209576235,0.7464482775447543,0.5580089820359282,40.931137724550894,2672,,
23,refine L=120 wr=0.2 k=3 rb=0.4,30,250,120,0.2,0.0,0.2,3,-0.7,0.7,0.4,rsrs_skew,200.0,[],"[1, 3]",[2],0.09518903566597636,0.1418353836426815,0.6711233348215925,1.008007431070855,-0.27368038715610776,0.3478109507777054,0.778690266869757,0.5669910179640718,35.90119760479042,2672,,
23,refine L=120 wr=0.2 k=3 rb=0.6,30,250,120,0.2,0.0,0.2,3,-0.7,0.7,0.6,rsrs_skew,200.0,[],"[1, 3]",[2],0.09520229845784578,0.141872315694642,0.6710421127033258,0.999824506049802,-0.26714988694910635,0.356362862605225,0.7747118377907737,0.5744760479041916,35.02095808383233,2672,,
23,refine L=120 wr=0.2 k=5 rb=0.0,30,250,120,0.2,0.0,0.2,5,-0.7,0.7,0.0,rsrs_skew,200.0,[],"[1, 3]",[2],0.12796798096749273,0.13567941070476044,0.9431643335034241,1.2984698835662412,-0.1833508747423277,0.6979403896890737,1.0700312182915803,0.5767215568862275,35.12941616766467,2672,,
23,refine L=120 wr=0.2 k=5 rb=0.2,30,250,120,0.2,0.0,0.2,5,-0.7,0.7,0.2,rsrs_skew,200.0,[],"[1, 3]",[2],0.1376850829834626,0.13574737940531345,1.0142743350673722,1.3404299267283306,-0.12527860957654469,1.0990310592434984,1.1458220448740297,0.5793413173652695,32.17275449101796,2672,,
23,refine L=120 wr=0.2 k=5 rb=0.4,30,250,120,0.2,0.0,0.2,5,-0.7,0.7,0.4,rsrs_skew,200.0,[],"[1, 3]",[2],0.15295049178338305,0.13550620705074537,1.1287342116077754,1.3374389461764649,-0.14016108083814505,1.0912479474955457,1.2836485729347922,0.5894461077844312,21.113173652694613,2672,,
23,refine L=120 wr=0.2 k=5 rb=0.6,30,250,120,0.2,0.0,0.2,5,-0.7,0.7,0.6,rsrs_skew,200.0,[],"[1, 3]",[2],0.1584652233738819,0.13585390981790207,1.166438445432214,1.3578707376756158,-0.12878915831212723,1.2304236276615241,1.311883601529484,0.5980538922155688,19.37784431137725,2672,,
23,refine L=120 wr=0.2 k=7 rb=0.0,30,250,120,0.2,0.0,0.2,7,-0.7,0.7,0.0,rsrs_skew,200.0,[],"[1, 3]",[2],0.12839942983964647,0.12748681053504854,1.0071585389952715,1.3515316579907837,-0.17274317072780077,0.7432967063107303,1.1704822643381685,0.5718562874251497,32.169386227544905,2672,,
