round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,metric,mapping,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,defensive_round,off,full
31,reg×dxy sharpe_min_vol,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,sharpe_min_vol,"{(0, 'strong'): '511260', (0, 'weak'): '518880', (1, 'strong'): '511260', (1, 'weak'): '511260', (2, 'strong'): '515080', (2, 'weak'): '515220', (3, 'strong'): '511010', (3, 'weak'): '511260'}",0.14564134876502033,0.12934163105663546,1.1260206599779743,1.4078056743597274,-0.14320480680227432,1.0170143867175505,1.2985420828183651,0.47679640718562877,27.890568862275448,2672,,,
31,reg×dxy annret,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,annret,"{(0, 'strong'): '515220', (0, 'weak'): '518880', (1, 'strong'): '515220', (1, 'weak'): '518880', (2, 'strong'): '515080', (2, 'weak'): '515220', (3, 'strong'): '511010', (3, 'weak'): '511260'}",0.18203605514989918,0.2219589885760957,0.8201337387491767,1.0174452863879695,-0.383442951570788,0.4747409084041886,0.9629739315053886,0.4337574850299401,29.85314371257485,2672,,,
32,reg×us_real sharpe_min_vol,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,sharpe_min_vol,"{(0, 'neg'): '511260', (0, 'pos'): '515220', (0, 'unk'): '515220', (1, 'neg'): '511010', (1, 'pos'): '511260', (2, 'neg'): '511260', (2, 'pos'): '515080', (2, 'unk'): '515220', (3, 'neg'): '511260', (3, 'pos'): '511010'}",0.0947284950675682,0.13303445040327824,0.7120598820862561,1.1119713756327139,-0.40667388294971774,0.23293478887917837,0.7462710071534984,0.4038173652694611,46.539520958083834,2672,,,
32,reg×us_real annret,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,annret,"{(0, 'neg'): '515080', (0, 'pos'): '515220', (0, 'unk'): '515220', (1, 'neg'): '515220', (1, 'pos'): '511260', (2, 'neg'): '515220', (2, 'pos'): '515080', (2, 'unk'): '515220', (3, 'neg'): '511260', (3, 'pos'): '515220'}",0.1130254918814495,0.1707209206210903,0.6620482801419869,1.0247106616520654,-0.35501138902036844,0.31837145335910555,0.7189865277959612,0.3574101796407186,46.64730538922156,2672,,,
33,reg×cpi×dxy sharpe_min_vol,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,"{(0, 'high_weak'): '515080', (0, 'low_strong'): '515220', (0, 'low_weak'): '518880', (0, 'mid_strong'): '515220', (0, 'mid_weak'): '518880', (1, 'high_strong'): '511010', (1, 'mid_strong'): '511260', (1, 'mid_weak'): '511260', (2, 'high_strong'): '518880', (2, 'high_weak'): '511260', (2, 'low_strong'): '515080', (2, 'low_weak'): '511260', (2, 'mid_strong'): '515220', (2, 'mid_weak'): '515080', (3, 'mid_strong'): '511010', (3, 'mid_weak'): '511260'}",0.1999955945570806,0.20667280113615927,0.9676918949064826,1.1849286087044781,-0.3834429515707878,0.5215784870677411,1.0920369264588465,0.469311377245509,31.20044910179641,2672,,,
34,gold_aware_rule,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,,0.1406143498565715,0.13953453885012584,1.007738664672877,1.395070992101159,-0.15867051437463942,0.8862034033907824,1.2277882679829863,0.49700598802395207,41.635329341317366,2672,,,
35,refine k=3 wr=0.2 L=120 rb=0.0,30,250,120,0.2,0.0,0.2,3,-0.7,0.7,0.0,rsrs_skew,,,0.10865672792421921,0.14358300173556895,0.7567520292153241,1.1604326160170313,-0.20826498237626978,0.5217234634668945,0.9377650809634608,0.46744011976047906,44.16916167664671,2672,31.0,,
35,refine k=3 wr=0.2 L=120 rb=0.2,30,250,120,0.2,0.0,0.2,3,-0.7,0.7,0.2,rsrs_skew,,,0.10865672792421921,0.14358300173556895,0.7567520292153241,1.1604326160170313,-0.20826498237626978,0.5217234634668945,0.9377650809634608,0.46744011976047906,44.16916167664671,2672,31.0,,
35,refine k=3 wr=0.2 L=120 rb=0.4,30,250,120,0.2,0.0,0.2,3,-0.7,0.7,0.4,rsrs_skew,,,0.10865672792421921,0.14358300173556895,0.7567520292153241,1.1604326160170313,-0.20826498237626978,0.5217234634668945,0.9377650809634608,0.46744011976047906,44.16916167664671,2672,31.0,,
35,refine k=3 wr=0.2 L=120 rb=0.6,30,250,120,0.2,0.0,0.2,3,-0.7,0.7,0.6,rsrs_skew,,,0.10865672792421921,0.14358300173556895,0.7567520292153241,1.1604326160170313,-0.20826498237626978,0.5217234634668945,0.9377650809634608,0.46744011976047906,44.16916167664671,2672,31.0,,
35,refine k=3 wr=0.2 L=180 rb=0.0,30,250,180,0.2,0.0,0.2,3,-0.7,0.7,0.0,rsrs_skew,,,0.13790696367779365,0.13895814488493563,0.9924352674108278,1.382104429644507,-0.14320480680227432,0.9630051306043413,1.1893941327041722,0.468937125748503,40.08233532934132,2672,31.0,,
35,refine k=3 wr=0.2 L=180 rb=0.2,30,250,180,0.2,0.0,0.2,3,-0.7,0.7,0.2,rsrs_skew,,,0.13790696367779365,0.13895814488493563,0.9924352674108278,1.382104429644507,-0.14320480680227432,0.9630051306043413,1.1893941327041722,0.468937125748503,40.08233532934132,2672,31.0,,
35,refine k=3 wr=0.2 L=180 rb=0.4,30,250,180,0.2,0.0,0.2,3,-0.7,0.7,0.4,rsrs_skew,,,0.13790696367779365,0.13895814488493563,0.9924352674108278,1.382104429644507,-0.14320480680227432,0.9630051306043413,1.1893941327041722,0.468937125748503,40.08233532934132,2672,31.0,,
35,refine k=3 wr=0.2 L=180 rb=0.6,30,250,180,0.2,0.0,0.2,3,-0.7,0.7,0.6,rsrs_skew,,,0.13790696367779365,0.13895814488493563,0.9924352674108278,1.382104429644507,-0.14320480680227432,0.9630051306043413,1.1893941327041722,0.468937125748503,40.08233532934132,2672,31.0,,
35,refine k=3 wr=0.2 L=252 rb=0.0,30,250,252,0.2,0.0,0.2,3,-0.7,0.7,0.0,rsrs_skew,,,0.09585511681251946,0.13320873388779267,0.7195858260559872,1.107994230150345,-0.1518297193826934,0.6313330302015014,0.8364312688983525,0.4651946107784431,40.050898203592816,2672,31.0,,
35,refine k=3 wr=0.2 L=252 rb=0.2,30,250,252,0.2,0.0,0.2,3,-0.7,0.7,0.2,rsrs_skew,,,0.09585511681251946,0.13320873388779267,0.7195858260559872,1.107994230150345,-0.1518297193826934,0.6313330302015014,0.8364312688983525,0.4651946107784431,40.050898203592816,2672,31.0,,
35,refine k=3 wr=0.2 L=252 rb=0.4,30,250,252,0.2,0.0,0.2,3,-0.7,0.7,0.4,rsrs_skew,,,0.09585511681251946,0.13320873388779267,0.7195858260559872,1.107994230150345,-0.1518297193826934,0.6313330302015014,0.8364312688983525,0.4651946107784431,40.050898203592816,2672,31.0,,
35,refine k=3 wr=0.2 L=252 rb=0.6,30,250,252,0.2,0.0,0.2,3,-0.7,0.7,0.6,rsrs_skew,,,0.09585511681251946,0.13320873388779267,0.7195858260559872,1.107994230150345,-0.1518297193826934,0.6313330302015014,0.8364312688983525,0.4651946107784431,40.050898203592816,2672,31.0,,
35,refine k=3 wr=0.3 L=120 rb=0.0,30,250,120,0.2,0.0,0.3,3,-0.7,0.7,0.0,rsrs_skew,,,0.11043677067180369,0.14284283135703546,0.7731348477388209,1.2146907550306703,-0.20826498237626978,0.5302704727973853,0.9408825597304942,0.4708083832335329,47.56437125748503,2672,31.0,,
