round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,override,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,override_sym,dxy_thresh,rmb_thresh,n_changed,pool,off
0,R30 baseline,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,none,0.1987423920373912,0.13671372652442124,1.453712052841232,1.7093555046180733,-0.1343751690836278,1.4790112890105815,1.7646571129519613,0.4839071856287425,24.525000000000002,2672,,,,,,
41,override→511260 dxy>0.0 rmb>0.0,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,0.15218016532618672,0.1315922693519292,1.1564521690799134,1.5157525636907707,-0.15304684807607094,0.9943371408115936,1.3605802155622346,0.4509730538922156,36.52005988023952,2672,511260,0.0,0.0,645.0,,
41,override→511880 dxy>0.0 rmb>0.0,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,0.14578300076265993,0.13129064383318229,1.110383775312212,1.4971892147108583,-0.1607520512141174,0.9068811232055815,1.274249471986011,0.5089820359281437,40.29251497005988,2672,511880,0.0,0.0,895.0,,
41,override→511010 dxy>0.0 rmb>0.0,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,0.15197540318976932,0.13177631007208296,1.1532831895705478,1.516916944883648,-0.15334892034539194,0.9910431899192442,1.3723393126445338,0.4786676646706587,37.112874251497004,2672,511010,0.0,0.0,772.0,,
41,override→162411 dxy>0.0 rmb>0.0,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,0.14455994465973432,0.21138915297478292,0.6838569653428679,0.9512216250023131,-0.48534863048275634,0.29784764101620415,0.8538362975589904,0.46781437125748504,40.31946107784431,2672,162411,0.0,0.0,895.0,,
41,override→511260 dxy>0.01 rmb>0.005,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,0.17333517673469512,0.13325895862281822,1.3007393913778833,1.6164277072575808,-0.13367307280223206,1.2967097493983903,1.555936256405719,0.46407185628742514,31.77754491017964,2672,511260,0.01,0.005,411.0,,
41,override→511880 dxy>0.01 rmb>0.005,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,0.16243791710623157,0.13299791652526824,1.221356855431416,1.5874823589180969,-0.13367307280223217,1.2151880232943897,1.4415824125424406,0.4906437125748503,38.94520958083832,2672,511880,0.01,0.005,588.0,,
41,override→511010 dxy>0.01 rmb>0.005,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,0.16816668828304104,0.13322256011410957,1.2622988789511376,1.6070332067466073,-0.13367307280223206,1.2580446065741449,1.5184120801980698,0.47642215568862273,35.92724550898203,2672,511010,0.01,0.005,527.0,,
41,override→162411 dxy>0.01 rmb>0.005,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,0.14828383874609563,0.19687962546545376,0.753170057061668,1.0220117096408743,-0.39342908873995874,0.3769010553363162,0.9089677771937291,0.468937125748503,38.94520958083832,2672,162411,0.01,0.005,588.0,,
41,override→511260 dxy>0.02 rmb>0.01,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,0.1787644835147384,0.13454816831663896,1.3286281467172631,1.6267521148610984,-0.13607949239908168,1.3136768837325907,1.5906715439595736,0.47604790419161674,29.570658682634726,2672,511260,0.02,0.01,255.0,,
41,override→511880 dxy>0.02 rmb>0.01,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,0.17452841788461382,0.1343678540145811,1.298885207065037,1.625446395898073,-0.1346299438275892,1.2963566122267696,1.534265366667603,0.4906437125748503,33.53173652694611,2672,511880,0.02,0.01,356.0,,
41,override→511010 dxy>0.02 rmb>0.01,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,0.17879865808314022,0.1344888232142127,1.3294685298744207,1.6428557149993535,-0.13611874700786086,1.313549103363511,1.593110986589608,0.47717065868263475,31.645508982035928,2672,511010,0.02,0.01,329.0,,
41,override→162411 dxy>0.02 rmb>0.01,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,0.22820130414900497,0.1839432648060144,1.2406070121113968,1.5082731634474857,-0.308433734939759,0.7398714157956021,1.4815281780341005,0.4782934131736527,33.53173652694611,2672,162411,0.02,0.01,356.0,,
41,override→511260 dxy>0.04 rmb>0.02,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,0.19651780820636278,0.13560856556220574,1.449154833189479,1.7264452035420474,-0.13437516908362723,1.4624562673782506,1.7422542451452163,0.4839071856287425,26.6627245508982,2672,511260,0.04,0.02,127.0,,
41,override→511880 dxy>0.04 rmb>0.02,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,0.19567378777358968,0.13550806631828075,1.4440010332225681,1.7265921429904676,-0.1343751690836278,1.4561751929912956,1.7214228340143534,0.49288922155688625,27.41721556886227,2672,511880,0.04,0.02,176.0,,
41,override→511010 dxy>0.04 rmb>0.02,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,0.196894026765432,0.13556858946545594,1.4523572720036473,1.7339129681512073,-0.1343751690836279,1.4652560298762916,1.7475449676515702,0.48315868263473055,27.228592814371254,2672,511010,0.04,0.02,172.0,,
41,override→162411 dxy>0.04 rmb>0.02,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,0.21260488476722594,0.16896583108725055,1.2582714706231999,1.4936103125064089,-0.30311926328437133,0.7013902134216085,1.4551542476165564,0.4839071856287425,27.41721556886227,2672,162411,0.04,0.02,176.0,,
41,override→511260 dxy>0.06 rmb>0.03,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,0.19743992868946614,0.13641856460501156,1.4473098237115805,1.728957651965662,-0.1343751690836278,1.4693185507107365,1.753140905488749,0.48353293413173654,27.165718562874254,2672,511260,0.06,0.03,56.0,,
41,override→511880 dxy>0.06 rmb>0.03,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,0.19533973888760214,0.1364159674741124,1.4319418943729714,1.7186571360021385,-0.1343751690836278,1.4536892509213017,1.7330449852293923,0.4846556886227545,27.920209580838325,2672,511880,0.06,0.03,76.0,,
41,override→511010 dxy>0.06 rmb>0.03,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,0.19647215286612418,0.13641290277555737,1.4402754348639835,1.7257379911758248,-0.1343751690836278,1.4621165071342208,1.7460754387052178,0.48278443113772457,27.731586826347307,2672,511010,0.06,0.03,73.0,,
41,override→162411 dxy>0.06 rmb>0.03,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,0.21026200466211464,0.14912670213007925,1.4099554382870259,1.6847388373985899,-0.1707257157070261,1.2315778193774556,1.6742589837982678,0.4824101796407186,27.920209580838325,2672,162411,0.06,0.03,76.0,,
42,pool ['511260'] dxy>0.02 rmb>0.01,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,0.1787644835147384,0.13454816831663896,1.3286281467172631,1.6267521148610984,-0.13607949239908168,1.3136768837325907,1.5906715439595736,0.47604790419161674,29.570658682634726,2672,,0.02,0.01,356.0,['511260'],
42,"pool ['511260', '511880'] dxy>0.02 rmb>0.01",30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,0.17665398877144356,0.13439841908523428,1.3144052584384283,1.626838273037643,-0.13535262450695995,1.305138998338077,1.5678941402894886,0.4809131736526946,31.55119760479042,2672,,0.02,0.01,356.0,"['511260', '511880']",
42,"pool ['511260', '162411'] dxy>0.02 rmb>0.01",30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,0.20560876768400527,0.14834646265293777,1.386003845369976,1.687415744647865,-0.16576135382788493,1.2403902534332287,1.7086824819932835,0.4812874251497006,31.55119760479042,2672,,0.02,0.01,356.0,"['511260', '162411']",
42,"pool ['511260', '511880', '162411'] dxy>0.02 rmb>0.01",30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,0.19568892987837838,0.14071260660550342,1.3906993452761807,1.7066414930109175,-0.1343751690836278,1.4562878782804898,1.7107895603616279,0.4820359281437126,32.211377245508984,2672,,0.02,0.01,356.0,"['511260', '511880', '162411']",
42,pool ['511260'] dxy>0.04 rmb>0.02,30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,0.19651780820636278,0.13560856556220574,1.449154833189479,1.7264452035420474,-0.13437516908362723,1.4624562673782506,1.7422542451452163,0.4839071856287425,26.6627245508982,2672,,0.04,0.02,176.0,['511260'],
42,"pool ['511260', '511880'] dxy>0.04 rmb>0.02",30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,0.19609996814405406,0.13553207941413878,1.4468896883433842,1.7268404475207888,-0.13437516908362757,1.4593467638504882,1.7357138072664333,0.4861526946107784,27.039970059880236,2672,,0.04,0.02,176.0,"['511260', '511880']",
42,"pool ['511260', '162411'] dxy>0.04 rmb>0.02",30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,0.20608645223047528,0.14457473434146156,1.4254665807908955,1.6927207531686925,-0.1629640709845872,1.2646128130289926,1.7275897610308133,0.4846556886227545,27.039970059880236,2672,,0.04,0.02,176.0,"['511260', '162411']",
42,"pool ['511260', '511880', '162411'] dxy>0.04 rmb>0.02",30,250,180,0.2,0.0,0.2,7,-0.7,0.7,0.4,rsrs_skew,,0.20295164931034892,0.13957165467662686,1.4541036271337973,1.730105556590479,-0.13437516908362812,1.5103359548819795,1.7720353436888638,0.4846556886227545,27.165718562874254,2672,,0.04,0.02,176.0,"['511260', '511880', '162411']",
43,refine k=3 wr=0.2 L=120 rb=0.0,30,250,120,0.2,0.0,0.2,3,-0.7,0.7,0.0,rsrs_skew,,0.16390432146327671,0.1529030390202074,1.0719494034491714,1.4734654050593987,-0.1925976709228585,0.8510192292456413,1.376306870709563,0.4741766467065868,43.66616766467066,2672,,,,,,
43,refine k=3 wr=0.2 L=120 rb=0.2,30,250,120,0.2,0.0,0.2,3,-0.7,0.7,0.2,rsrs_skew,,0.16390432146327671,0.1529030390202074,1.0719494034491714,1.4734654050593987,-0.1925976709228585,0.8510192292456413,1.376306870709563,0.4741766467065868,43.66616766467066,2672,,,,,,
43,refine k=3 wr=0.2 L=120 rb=0.4,30,250,120,0.2,0.0,0.2,3,-0.7,0.7,0.4,rsrs_skew,,0.16390432146327671,0.1529030390202074,1.0719494034491714,1.4734654050593987,-0.1925976709228585,0.8510192292456413,1.376306870709563,0.4741766467065868,43.66616766467066,2672,,,,,,
43,refine k=3 wr=0.2 L=180 rb=0.0,30,250,180,0.2,0.0,0.2,3,-0.7,0.7,0.0,rsrs_skew,,0.19480208762866424,0.14856387398199064,1.31123457141592,1.6964296032821387,-0.13305217372766465,1.46410300689556,1.6486637180392576,0.47642215568862273,39.45359281437125,2672,,,,,,
43,refine k=3 wr=0.2 L=180 rb=0.2,30,250,180,0.2,0.0,0.2,3,-0.7,0.7,0.2,rsrs_skew,,0.19480208762866424,0.14856387398199064,1.31123457141592,1.6964296032821387,-0.13305217372766465,1.46410300689556,1.6486637180392576,0.47642215568862273,39.453592814371255,2672,,,,,,
