label,n,ann_ret,ann_vol,sharpe,max_dd,hit_rate,pos_mean,neg_mean,symbol,asset
511880 货币基金,242,0.019366700282284377,0.002343724994117664,8.263213615458884,-0.00039765592298035557,0.78099173553719,0.00011521929999862297,-6.984878328385642e-05,511880,货币基金
162411 华宝油气,242,0.5755835632403252,0.4375042050951198,1.3156069279726923,-0.30843373493975945,0.5206611570247934,0.02278107404617167,-0.021096225916111593,162411,华宝油气
511260 10Y 国开,242,0.028849321710916476,0.02354049598097759,1.2255188562819066,-0.01423411758693005,0.5826446280991735,0.001055958247604986,-0.0012131111379234982,511260,10Y 国开
511010 10Y 国债,242,0.022088806580914833,0.01869103143469588,1.1817863908736312,-0.012388530770623962,0.5578512396694215,0.0008595150548095503,-0.0008951429037271767,511010,10Y 国债
518880 黄金,242,0.09822903547496376,0.11741112428095346,0.8366246050068575,-0.11376508249199702,0.5165289256198347,0.005645171347064649,-0.005438019919844695,518880,黄金
515220 煤炭,242,0.17497600139926917,0.4271073933987607,0.409676826258791,-0.2472353870458135,0.5165289256198347,0.020909493446178817,-0.020983718355626797,515220,煤炭
515080 红利低波,242,-0.00444210922114141,0.24040639538621666,-0.01847750020961419,-0.158196721311475,0.5247933884297521,0.010520216111050125,-0.012040190667463403,515080,红利低波
159920 恒生,242,-0.0772043552570919,0.2897990198448609,-0.26640654374339146,-0.32656249999999987,0.45454545454545453,0.014462190893887778,-0.01262065493912869,159920,恒生
513050 中概互联,242,-0.18300323753361558,0.4076820260767722,-0.44888718616001366,-0.383219954648526,0.4214876033057851,0.02186818659517599,-0.017771539105537047,513050,中概互联
513500 标普500,240,-0.1488224560613005,0.22797415249257882,-0.6528040764013591,-0.2073640466508785,0.4583333333333333,0.011806003810935908,-0.011511343205807718,513500,标普500
513100 纳指,240,-0.24878839744394565,0.2850876662514092,-0.8726733103372756,-0.2526350806359745,0.4625,0.014089274139013966,-0.01473460367482523,513100,纳指
510300 沪深300 (基准),242,-0.22469235697703405,0.21956289160180165,-1.0233621689795158,-0.29534018814263807,0.44214876033057854,0.010623323658570405,-0.010209710530397032,510300,沪深300 (基准)
