a1,a2,category,n,ann_ret,ann_vol,sharpe,max_dd,score,axis_pair
high,high,长债,46,-0.05396999437990025,0.04061704928610673,-1.3287522192893753,-0.02340106860985136,-1.3287522192893753,M2_cn10y_x_CPI
high,high,货币,43,0.06207088895856822,0.002958974417568483,20.977163097467585,-0.0007017443359207398,-inf,M2_cn10y_x_CPI
high,high,黄金,43,-0.5447024324613904,0.13229987429991685,-4.11718027204303,-0.10984416571645794,-4.11718027204303,M2_cn10y_x_CPI
high,high,商品,44,-0.25408355842546,0.17919211134257723,-1.4179394199988316,-0.11719639104169288,-1.4179394199988316,M2_cn10y_x_CPI
high,high,海外股,46,0.1834074014494063,0.10947929030141473,1.6752702812052869,-0.03147088455403202,1.6752702812052869,M2_cn10y_x_CPI
high,mid,长债,730,0.04273392669223339,0.030338534738639265,1.4085692358045,-0.032626452846055365,1.4085692358045,M2_cn10y_x_CPI
high,mid,货币,726,0.057670324878951205,0.007630158888984561,7.55820759672622,-0.0033307156976902785,-inf,M2_cn10y_x_CPI
high,mid,黄金,698,0.02981326039610857,0.10990185212310842,0.2712716830532823,-0.171145128987802,0.2712716830532823,M2_cn10y_x_CPI
high,mid,商品,755,0.001187121883879275,0.20171011435767036,0.005885286851676076,-0.38239082953124226,0.005885286851676076,M2_cn10y_x_CPI
high,mid,海外股,781,0.06987084828823897,0.1443247601627881,0.4841223932014826,-0.1333542494768486,0.4841223932014826,M2_cn10y_x_CPI
mid,high,长债,149,0.028681922579072736,0.03603659865340404,0.795910925304917,-0.03496840697367343,0.795910925304917,M2_cn10y_x_CPI
mid,high,货币,140,0.02560834260414735,0.003358496516904886,7.6249424333920155,-0.0015553495049799304,-inf,M2_cn10y_x_CPI
mid,high,黄金,134,0.2538450634517435,0.19018037566293575,1.334759501693504,-0.1261744966442957,1.334759501693504,M2_cn10y_x_CPI
mid,high,红利低波,114,0.2779089805769939,0.29609375529103243,0.9385844031186521,-0.2056631892697467,0.9385844031186521,M2_cn10y_x_CPI
mid,high,商品,141,-0.07093339567900613,0.24510529706269948,-0.28939968466230626,-0.25873145993442825,-0.28939968466230626,M2_cn10y_x_CPI
mid,high,海外股,149,0.2172430718376419,0.2385364821871404,0.9107331081842942,-0.22789725040945885,0.9107331081842942,M2_cn10y_x_CPI
mid,low,长债,450,0.03053286601694687,0.017251408016583824,1.769876753688484,-0.016571425206623802,-inf,M2_cn10y_x_CPI
mid,low,货币,450,0.025508973512621172,0.002330453539897153,10.945926651576555,-0.0003054967595521596,-inf,M2_cn10y_x_CPI
mid,low,黄金,450,0.02699271032584968,0.11297190454429976,0.238932949167596,-0.09685743033239436,0.238932949167596,M2_cn10y_x_CPI
mid,low,红利低波,417,-0.016898489170350032,0.20640482060954946,-0.08187061290742069,-0.2812858532872027,-0.08187061290742069,M2_cn10y_x_CPI
mid,low,商品,450,0.22741774834824988,0.20826312503922545,1.091973186829962,-0.14056863831250177,1.091973186829962,M2_cn10y_x_CPI
mid,low,海外股,450,0.07409310314433308,0.16758106518376223,0.44213290483078,-0.19129170318967637,0.44213290483078,M2_cn10y_x_CPI
mid,mid,长债,1172,0.030621606753112866,0.025116345306859248,1.2191903869369936,-0.05020434618223646,1.2191903869369936,M2_cn10y_x_CPI
mid,mid,货币,1172,0.02964436657588917,0.0036589072262997397,8.101972731860867,-0.001975304262915145,-inf,M2_cn10y_x_CPI
mid,mid,黄金,1142,0.09030949721925151,0.13306677858429247,0.6786780155051553,-0.16812135796081573,0.6786780155051553,M2_cn10y_x_CPI
mid,mid,红利低波,422,0.36319758115269757,0.22066303218146177,1.6459375979843458,-0.1421686746987948,1.6459375979843458,M2_cn10y_x_CPI
mid,mid,商品,1165,0.0657445973751374,0.19267307227586367,0.3412235897759818,-0.31296772289783314,0.3412235897759818,M2_cn10y_x_CPI
mid,mid,海外股,1172,0.09630267992008011,0.17934169956190604,0.5369787403338279,-0.3746982262117472,0.5369787403338279,M2_cn10y_x_CPI
