a1,a2,category,n,ann_ret,ann_vol,sharpe,max_dd,score,axis_pair
neg,high,长债,110,0.11690112572317331,0.04103044687673257,2.8491311848096217,-0.01619468971055993,2.8491311848096217,M3_us_real_x_CPI
neg,high,货币,100,0.027039452181255,0.003876139180584495,6.975872362038774,-0.0015553495049799304,-inf,M3_us_real_x_CPI
neg,high,黄金,94,0.44809115334668687,0.22653030417217832,1.9780627363926875,-0.1261744966442957,1.9780627363926875,M3_us_real_x_CPI
neg,high,红利低波,89,-0.17323089512096376,0.41755607775369896,-0.41486857538485244,-0.20566318926974658,-0.41486857538485244,M3_us_real_x_CPI
neg,high,商品,100,-0.345287029520302,0.26168334024393824,-1.3194841872563585,-0.2718914738285654,-1.3194841872563585,M3_us_real_x_CPI
neg,high,海外股,110,0.17911437896966434,0.26060887976939007,0.6872919262312193,-0.21374186751864888,0.6872919262312193,M3_us_real_x_CPI
neg,low,长债,309,0.03839829457895504,0.018751013981117674,2.0477983013410497,-0.018044603312938,-inf,M3_us_real_x_CPI
neg,low,货币,309,0.028016333399705017,0.0021926571221759224,12.777343578417089,-0.0003054967595522706,-inf,M3_us_real_x_CPI
neg,low,黄金,309,0.05991263311039633,0.12470933865339252,0.4804181768368836,-0.10435855703441055,0.4804181768368836,M3_us_real_x_CPI
neg,low,红利低波,273,0.15534850240768683,0.22437609914411408,0.6923576218691117,-0.22201571260703923,0.6923576218691117,M3_us_real_x_CPI
neg,low,商品,309,0.3609308040560422,0.22634078030804924,1.5946344426524302,-0.12044730538309456,1.5946344426524302,M3_us_real_x_CPI
neg,low,海外股,309,0.20331446110034157,0.17172618759117592,1.1839455819305034,-0.1841958340778379,1.1839455819305034,M3_us_real_x_CPI
neg,mid,长债,443,0.016721010639754036,0.0196857635159898,0.8493960940947178,-0.017001840096527165,-inf,M3_us_real_x_CPI
neg,mid,货币,443,0.022196766476594163,0.002336345334091226,9.50063595167454,-0.0005113221329436923,-inf,M3_us_real_x_CPI
neg,mid,黄金,443,0.03168306195237153,0.11917250753206117,0.2658588176794701,-0.15356708074844128,0.2658588176794701,M3_us_real_x_CPI
neg,mid,红利低波,372,0.21715017277573512,0.18948759151318897,1.1459862413239905,-0.14315025252525193,1.1459862413239905,M3_us_real_x_CPI
neg,mid,商品,443,0.08738734951331835,0.1978228214536429,0.44174554215321604,-0.18878305428058317,0.44174554215321604,M3_us_real_x_CPI
neg,mid,海外股,443,-0.06307814856971002,0.20640028201369875,-0.30561076736088727,-0.34305999707586665,-0.30561076736088727,M3_us_real_x_CPI
pos,high,长债,89,-0.07792928799828158,0.038285077789017054,-2.035500317584241,-0.03667162185258677,-2.035500317584241,M3_us_real_x_CPI
pos,high,货币,87,0.040065543880542114,0.0027985309751359833,14.316634061409768,-0.0007017443359207398,-inf,M3_us_real_x_CPI
pos,high,黄金,87,-0.2012563452653483,0.11542679780516908,-1.743584237735265,-0.10984416571645794,-1.743584237735265,M3_us_real_x_CPI
pos,high,红利低波,29,0.606729934598437,0.18860621085776091,3.216913864284183,-0.030200964039747036,3.216913864284183,M3_us_real_x_CPI
pos,high,商品,89,0.11084008945282782,0.18776931978185118,0.5902992543276021,-0.12387751309446005,0.5902992543276021,M3_us_real_x_CPI
pos,high,海外股,89,0.2514166849640604,0.15819142350435697,1.5893193157664187,-0.04824513227905192,1.5893193157664187,M3_us_real_x_CPI
pos,low,长债,176,0.005501064207168881,0.01772871112920297,0.31029126522950984,-0.012762810784999523,-inf,M3_us_real_x_CPI
pos,low,货币,176,0.022637924543683425,0.0026002075824642797,8.706198957480508,-0.0003719397988870554,-inf,M3_us_real_x_CPI
pos,low,黄金,176,0.00201335063334557,0.10164785833382643,0.019807113168419467,-0.07409910815735299,0.019807113168419467,M3_us_real_x_CPI
pos,low,红利低波,153,-0.137305317321036,0.17590420202751725,-0.7805687171677508,-0.16483249841787972,-0.7805687171677508,M3_us_real_x_CPI
pos,low,商品,176,0.10377687133814684,0.17453095662502469,0.5946043804773774,-0.09520195906797246,0.5946043804773774,M3_us_real_x_CPI
pos,low,海外股,176,-0.14300581140911148,0.15297775889791734,-0.9348143968074458,-0.14820510618241167,-0.9348143968074458,M3_us_real_x_CPI
pos,mid,长债,1493,0.03921047412453132,0.028975478773992692,1.3532295507650136,-0.0502043461822369,1.3532295507650136,M3_us_real_x_CPI
pos,mid,货币,1489,0.04449478939813044,0.006460764603809148,6.886923162607894,-0.005912516404865453,-inf,M3_us_real_x_CPI
pos,mid,黄金,1429,0.07504280936599973,0.12643702725924422,0.5935192482193788,-0.18437206640513504,0.5935192482193788,M3_us_real_x_CPI
pos,mid,红利低波,56,1.619084742558399,0.3624548834208281,4.466996629422044,-0.071340713407134,4.466996629422044,M3_us_real_x_CPI
pos,mid,商品,1509,0.046738330381030035,0.19809955652366348,0.2359335437252583,-0.4738133028344138,0.2359335437252583,M3_us_real_x_CPI
pos,mid,海外股,1544,0.1480888129093406,0.15653287124904766,0.9460556861167366,-0.18911958458251077,0.9460556861167366,M3_us_real_x_CPI
