a1,a2,category,n,ann_ret,ann_vol,sharpe,max_dd,score,axis_pair
flat,high,长债,173,0.018166418829590487,0.036309275462292685,0.5003244652583712,-0.02340106860985136,0.5003244652583712,M4_spread_x_CPI
flat,high,货币,161,0.036459696655703276,0.0035832843006543894,10.174938295865864,-0.0015553495049799304,-inf,M4_spread_x_CPI
flat,high,黄金,155,-0.011548946397894914,0.18145306485187296,-0.06364701752115766,-0.1261744966442956,-0.06364701752115766,M4_spread_x_CPI
flat,high,红利低波,92,0.3220435223445704,0.31827181114816905,1.0118505977101613,-0.2056631892697467,1.0118505977101613,M4_spread_x_CPI
flat,high,商品,163,-0.22692203589801313,0.22976410656783175,-0.9876304845335815,-0.28619255135710797,-0.9876304845335815,M4_spread_x_CPI
flat,high,海外股,173,0.1663649712449964,0.21725145862009781,0.765771481129223,-0.2278972504094593,0.765771481129223,M4_spread_x_CPI
flat,low,长债,469,0.028100628233764826,0.018301609027310966,1.5354184537453,-0.02193751644033426,-inf,M4_spread_x_CPI
flat,low,货币,469,0.025908197452166642,0.0023544856731785527,11.003760926347285,-0.0003719397988870554,-inf,M4_spread_x_CPI
flat,low,黄金,469,0.026590605814994058,0.11221545693180496,0.23696027750574125,-0.09685743033239425,0.23696027750574125,M4_spread_x_CPI
flat,low,红利低波,417,-0.016898489170350032,0.20640482060954946,-0.08187061290742069,-0.2812858532872027,-0.08187061290742069,M4_spread_x_CPI
flat,low,商品,469,0.2227212023375492,0.20612824269432864,1.0804982346248717,-0.14056863831250144,1.0804982346248717,M4_spread_x_CPI
flat,low,海外股,469,0.08345368488579841,0.1656500129281923,0.5037952210844365,-0.1912917031896776,0.5037952210844365,M4_spread_x_CPI
flat,mid,长债,1857,0.0349268949425427,0.026642116516337896,1.310965475326417,-0.050204346182237014,1.310965475326417,M4_spread_x_CPI
flat,mid,货币,1853,0.04003257423795508,0.005565961939515592,7.192390942119724,-0.0033307156976902785,-inf,M4_spread_x_CPI
flat,mid,黄金,1796,0.08114343576962631,0.1251223410479672,0.6485127683034556,-0.16812135796081606,0.6485127683034556,M4_spread_x_CPI
flat,mid,红利低波,422,0.36319758115269757,0.22066303218146177,1.6459375979843458,-0.1421686746987948,1.6459375979843458,M4_spread_x_CPI
flat,mid,商品,1876,0.06223608750901655,0.19763604439123678,0.3149025153823414,-0.41963083533745227,0.3149025153823414,M4_spread_x_CPI
flat,mid,海外股,1908,0.10251336130714607,0.1660524318770224,0.6173553747352941,-0.37469822621174653,0.6173553747352941,M4_spread_x_CPI
steep,mid,长债,38,0.01299743705153283,0.04701633954451109,0.27644510775297504,-0.018713389195256447,0.27644510775297504,M4_spread_x_CPI
steep,mid,货币,38,0.05545127294608893,0.0070597256398857436,7.854593191667767,-0.0009421124254159752,-inf,M4_spread_x_CPI
steep,mid,黄金,38,-0.5016546577728201,0.1105116558925513,-4.539382327784238,-0.08607994419286624,-4.539382327784238,M4_spread_x_CPI
steep,mid,商品,38,-0.8836363571019565,0.11204419976211547,-7.886497997915398,-0.13738744363696143,-7.886497997915398,M4_spread_x_CPI
steep,mid,海外股,38,-0.7291532683653611,0.17512153783679624,-4.1636984083870505,-0.1261332711397667,-4.1636984083870505,M4_spread_x_CPI
