rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,rebal_threshold,theta_off,theta_on,ann_ret,ann_vol,sharpe,max_dd,calmar,sortino,win_rate,n,gross_sharpe,ann_turnover,ann_capped_turnover
30,250,180,0.0,0.0,0.3,3,0.4,-0.7,0.7,0.1339060745431626,0.14753821368984654,0.9076026555713811,-0.20641030449105358,0.6487373528823339,1.198436473550498,0.5067365269461078,2672,1.4263343246974318,60.021332335329326,60.02133233532934
18,600,120,0.0,0.2,0.4,8,0.0,-0.7,0.7,0.10685422873326589,0.12875113283382028,0.8299284548523792,-0.29909370106578115,0.3572600437672371,1.1243351267547346,0.5041167664670658,2672,1.6570596726455549,85.27084580838323,85.27084580838323
24,600,180,0.3,0.2,0.4,3,0.1,-1.0,0.5,0.12927971126386506,0.15584854149011712,0.829521470190102,-0.2246835200560413,0.5753858192697875,1.0653188620611471,0.5029940119760479,2672,1.4850798593482017,76.9502245508982,76.9502245508982
24,600,180,0.5,0.0,0.5,5,0.4,-1.0,0.5,0.12005062432336477,0.14591161468499342,0.8227626332731662,-0.23740401709576642,0.505680677993488,1.0467299970379398,0.5097305389221557,2672,1.3411117523905502,59.94116766467066,59.94116766467066
24,600,120,0.0,0.0,0.4,5,0.2,-1.0,0.5,0.12265366968930813,0.15098963704442347,0.8123317075940882,-0.278502068078606,0.44040487934434175,1.0273866799829083,0.5089820359281437,2672,1.3988173574719969,68.6052395209581,68.6052395209581
30,600,180,0.0,0.0,0.4,3,0.4,-0.7,0.7,0.11715015594455869,0.15047541045450136,0.7785335530284592,-0.224433338915494,0.5219819680563114,1.0016329524863667,0.5153443113772455,2672,1.2809325888269953,59.76983532934132,59.76983532934132
30,600,180,0.5,0.2,0.3,5,0.4,-1.0,0.5,0.1103096807947832,0.147276228380848,0.748998545165949,-0.2947782243210961,0.37421244750638377,0.9663653280858906,0.5014970059880239,2672,1.1413054508247256,46.55995508982036,46.55995508982036
30,600,180,0.0,0.2,0.4,5,0.4,-1.0,0.5,0.11213486339621825,0.15052388691887092,0.7449639103237913,-0.2622289014150935,0.4276220614550611,0.9441009848786741,0.5086077844311377,2672,1.1429009428745571,47.918038922155695,47.91803892215569
18,600,120,0.5,0.0,0.4,8,0.4,-0.5,1.0,0.08680681681539948,0.11924343572828741,0.7279798362502802,-0.2921062050020198,0.29717553180631423,0.9668027019533559,0.499625748502994,2672,1.4646671097621642,74.86672904191617,74.86672904191617
24,600,180,0.3,0.2,0.4,5,0.1,-0.5,1.0,0.09620658594536668,0.1329066802898564,0.7238656908407433,-0.22710571716009276,0.423620273185585,0.9088108871210231,0.4958832335329341,2672,1.3988294488928996,73.04730538922156,73.04730538922156
30,600,60,0.3,0.0,0.3,3,0.4,-0.5,1.0,0.09635493826721953,0.13728457137748926,0.7018628335319185,-0.22078042722310354,0.4364288061180836,0.9491799588775748,0.49738023952095806,2672,1.240640092893226,60.43001497005988,60.43001497005988
24,600,180,0.0,0.2,0.3,3,0.0,-0.5,1.0,0.09732240774016931,0.13931329223089872,0.6985866616292905,-0.2079041917754325,0.46811181106580096,0.8660697171627438,0.4977544910179641,2672,1.3476706859417396,73.88510479041916,73.88510479041918
30,600,180,0.3,0.2,0.3,3,0.4,-1.0,0.5,0.10778573339066311,0.15484744948258092,0.6960769050496252,-0.2878659327643951,0.37443032023827816,0.8886621829723629,0.5134730538922155,2672,1.1503444547846302,55.62013473053892,55.62013473053892
24,600,120,0.5,0.0,0.4,5,0.1,-1.0,0.5,0.09868622227282309,0.14657228984249962,0.6732938564231147,-0.2193770314233241,0.44984755984956226,0.8792961593668686,0.5071107784431138,2672,1.3278717986223856,74.75434131736529,74.75434131736527
24,600,120,0.5,0.2,0.4,8,0.2,-1.0,0.5,0.09260831712894557,0.13770544772251206,0.6725101923023339,-0.25992565336464535,0.35628771508377016,0.8665784916536353,0.5067365269461078,2672,1.2745186227691885,66.24150449101798,66.24150449101798
