symbol,name,bucket,is_qdii,is_bond_or_money,is_defensive,available_from,n_bars,median_amount_60d,passes_liq,exclude_reason
510300,沪深300,宽基,False,False,False,2013-01-04,3234,3534054261.5,True,
510500,中证500,宽基,False,False,False,2013-03-15,3187,4095120105.0,True,
510050,上证50,宽基,False,False,False,2013-01-04,3234,1992208423.5,True,
159915,创业板,宽基,False,False,False,2013-01-04,3233,3852707859.9775,True,
510180,上证180,宽基,False,False,False,2013-01-04,3232,57108287.0,True,
159949,创业板50,宽基,False,False,False,2016-07-22,2372,1336746304.32,True,
510880,红利,红利,False,False,False,2013-01-04,3234,454681910.0,True,
515080,红利低波,红利,False,False,False,2019-12-27,1535,262034828.0,True,
512800,银行,大金融,False,False,False,2017-08-03,2121,678204524.5,True,
512880,证券,大金融,False,False,False,2016-08-08,2361,1543709280.0,True,
159892,非银,大金融,False,False,False,2021-10-19,1100,919622053.288,True,
512070,保险,大金融,False,False,False,2014-07-18,2863,442399937.5,True,
512480,半导体,科技,False,False,False,2019-06-12,1670,1294685704.5,True,
515230,软件,科技,False,False,False,2021-03-02,1253,173474330.5,True,
515880,通信,科技,False,False,False,2019-09-06,1609,1518811339.0,True,
515980,AI,科技,False,False,False,2020-02-10,1511,406463245.5,True,
159869,游戏,科技,False,False,False,2021-03-05,1250,529850030.4185,True,
159857,光伏,新能源,False,False,False,2021-02-24,1257,210913233.93400002,True,
159755,电池,新能源,False,False,False,2021-06-24,1176,646603510.2845,True,
515030,新能源车,新能源,False,False,False,2020-03-04,1494,224040692.5,True,
159326,电网设备,新能源,False,False,False,2024-09-09,395,1608482832.963,True,
562500,机器人,高端制造,False,False,False,2021-12-29,1049,766189235.5,True,
159227,航空航天,高端制造,False,False,False,2025-05-16,234,331944328.764,True,
512660,军工,高端制造,False,False,False,2016-08-08,2361,420656804.0,True,
512690,酒,大消费,False,False,False,2019-05-06,1696,648544409.5,True,
515170,食品,大消费,False,False,False,2021-01-13,1282,85852218.5,True,
512010,医药,大消费,False,False,False,2013-10-28,3041,405536161.0,True,
159992,创新药,大消费,False,False,False,2020-04-10,1468,575755929.6685,True,
159883,医疗器械,大消费,False,False,False,2021-04-30,1211,121647245.4905,True,
159980,有色,周期,False,False,False,2019-12-24,1538,633556318.8069999,True,
515220,煤炭,周期,False,False,False,2020-03-02,1496,794823418.5,True,
515210,钢铁,周期,False,False,False,2020-03-02,1496,142420330.5,True,
561360,石油,周期,False,False,False,2023-10-31,606,281536917.5,True,
159870,化工,周期,False,False,False,2021-03-03,1252,1302902035.8045,True,
159713,稀土,周期,False,False,False,2021-08-16,1139,109788883.5735,True,
512200,房地产,地产链,False,False,False,2017-09-25,2084,169109912.0,True,
513100,纳指,海外,True,False,False,2013-05-15,3150,397260228.5,True,
513500,标普500,海外,True,False,False,2014-01-15,2986,261547228.0,True,
513050,中概互联,海外,True,False,False,2017-01-18,2252,2501247775.5,True,
159920,恒生,海外,True,False,False,2013-01-04,3234,500284712.8695,True,
518880,黄金,商品,False,False,True,2013-07-29,3101,6866845440.0,True,
162411,华宝油气,商品,False,False,False,2013-01-04,3099,708502295.5925,True,
511010,10Y国债,债,False,True,True,2013-03-25,3183,410796482.5,True,
511260,10Y国开,债,False,True,True,2017-08-24,2105,5458022190.0,True,
511880,银华日利,现金,False,True,True,2013-04-18,3167,17401514165.5,True,
