window,train_start,test_start,test_end,r30_train_sharpe,r30_test_sharpe,r30_test_ret,r30_test_dd,r37_train_sharpe,r37_test_sharpe,r37_test_ret,r37_test_dd,delta_test_sharpe,delta_test_ret,overlay_changed_days
0,2013-01-04,2016-02-19,2017-03-01,1.848276193116438,1.544656749307749,0.20554968134451657,-0.06333946248531674,1.8683497379525402,1.544656749307749,0.20554968134451657,-0.06333946248531674,0.0,0.0,0
1,2013-04-12,2016-05-20,2017-06-05,2.013588563488655,1.404947589596952,0.1670569823442729,-0.06333946248531719,1.9338628822644162,1.404947589596952,0.1670569823442729,-0.06333946248531719,0.0,0.0,0
2,2013-07-18,2016-08-19,2017-08-31,2.1571696629488626,1.7170909705249782,0.1651586344856848,-0.06333946248531686,2.0792014648253208,1.712471342526548,0.1646757550736795,-0.06333946248531686,-0.004619627998430076,-0.00048287941200531037,0
3,2013-10-24,2016-11-25,2017-12-05,2.431559701206874,1.2109363695287705,0.11273386646192685,-0.06333946248531697,2.351870158914537,1.1809765447647749,0.10988437136294493,-0.06333946248531697,-0.029959824763995613,-0.0028494950989819134,0
4,2014-01-22,2017-03-02,2018-03-12,2.330772050086638,1.5814597935516137,0.162988789738872,-0.06591120304341458,2.2521850053821977,1.535815625203908,0.15822202510008454,-0.06614395787980287,-0.045644168347705794,-0.004766764638787446,0
5,2014-04-29,2017-06-06,2018-06-13,2.214320383611911,1.6679048887265346,0.16016041650375668,-0.06591120304341502,2.1355034016353955,1.6162732391470318,0.1551332531703491,-0.06614395787980254,-0.051631649579502836,-0.0050271633334075805,0
6,2014-07-30,2017-09-01,2018-09-11,2.5120944207507816,0.8573408964586386,0.07054008419341518,-0.06591120304341491,2.4301538121440713,0.8019446000632898,0.0659508680262102,-0.06614395787980254,-0.05539629639534882,-0.004589216167204979,0
7,2014-11-04,2017-12-06,2018-12-17,2.39903779274964,1.039071870032816,0.07088523338951935,-0.06591120304341469,2.3093964683519697,0.9548300854846032,0.06509093059457949,-0.06614395787980287,-0.08424178454821285,-0.005794302794939865,0
8,2015-02-03,2018-03-13,2019-03-25,1.6178709261271673,1.2781218153202456,0.05949669898114229,-0.026310251879655522,1.5351154339182425,1.1014692240248838,0.05106550990461978,-0.026310251879655633,-0.17665259129536182,-0.008431189076522516,0
9,2015-05-12,2018-06-14,2019-06-27,1.7214801176175332,0.9920148402259217,0.04699421418883931,-0.039781968410719015,1.6348094084805096,0.8172861948411277,0.038656685777608724,-0.039781968410718904,-0.17472864538479393,-0.008337528411230588,0
10,2015-08-10,2018-09-12,2019-09-25,1.7394331549156419,0.5134516338032495,0.03694625073751334,-0.06712274894045556,1.640345540608081,0.39898369698897745,0.028688737267736686,-0.06712274894045467,-0.11446793681427209,-0.008257513469776656,0
11,2015-11-16,2018-12-18,2019-12-30,1.7719338069106516,0.6523418266049386,0.052901179478446636,-0.06712274894045545,1.6541045964448238,0.6113314690529654,0.04957946873583685,-0.06712274894045489,-0.04101035755197313,-0.0033217107426097847,0
12,2016-02-19,2019-03-26,2020-04-07,1.5668305344268305,0.45445482040572144,0.05182094509822921,-0.0805458429748751,1.5419110073915778,0.45445482040572144,0.05182094509822921,-0.0805458429748751,0.0,0.0,0
13,2016-05-20,2019-06-28,2020-07-10,1.5899844654152078,1.1138669969780932,0.18798300670302925,-0.13574905710308727,1.5534150203759227,1.1138669969780932,0.18798300670302925,-0.13574905710308727,0.0,0.0,0
14,2016-08-19,2019-09-26,2020-10-15,1.1751399453713438,2.1275110007116,0.38929599797843717,-0.09102907406585958,1.1751399453713438,2.1275110007116,0.38929599797843717,-0.09102907406585958,0.0,0.0,0
15,2016-11-25,2019-12-31,2021-01-13,1.0415181194582406,2.7427084991647748,0.5472668438687447,-0.09102907406585947,1.0415181194582406,2.7427084991647748,0.5472668438687447,-0.09102907406585947,0.0,0.0,0
16,2017-03-02,2020-04-08,2021-04-20,1.115083063031728,2.2717967519011357,0.4804887427631439,-0.13367307280223206,1.115083063031728,2.2717967519011357,0.4804887427631439,-0.13367307280223206,0.0,0.0,0
17,2017-06-06,2020-07-13,2021-07-22,1.8418227108580438,1.647901039183376,0.3559047517245917,-0.13367307280223206,1.8418227108580438,1.647901039183376,0.3559047517245917,-0.13367307280223206,0.0,0.0,0
18,2017-09-01,2020-10-16,2021-10-28,1.3689756975787513,1.4815033121206755,0.26063310129958084,-0.13367307280223195,1.3689756975787513,1.4815033121206755,0.26063310129958084,-0.13367307280223195,0.0,0.0,0
19,2017-12-06,2021-01-14,2022-01-26,1.6453267764859265,0.3277671391029623,0.05071195683274832,-0.13367307280223206,1.6453267764859265,0.3277671391029623,0.05071195683274832,-0.13367307280223206,0.0,0.0,0
20,2018-03-13,2021-04-21,2022-05-09,1.3920339537330528,0.6917664668985365,0.07306861686299548,-0.0808714202611519,1.3920339537330528,0.6917664668985365,0.07306861686299548,-0.0808714202611519,0.0,0.0,0
21,2018-06-14,2021-07-23,2022-08-05,1.6470056900274284,-1.4774099623562031,-0.06820869868055612,-0.0808714202611519,1.6470056900274284,-1.4774099623562031,-0.06820869868055612,-0.0808714202611519,0.0,0.0,0
