window,test_start,test_end,n_dp_days_in_test,r30_train_sh,r30_test_sh,r30_test_ret,r30_test_dd,r41_train_sh,r41_test_sh,r41_test_ret,r41_test_dd,r42_train_sh,r42_test_sh,r42_test_ret,r42_test_dd,delta_r41_r30,delta_r42_r30
0,2016-02-19,2017-03-01,41,1.848276193116438,1.544656749307749,0.20554968134451657,-0.06333946248531674,1.7991150243229461,1.537429824652324,0.20409412941394112,-0.06333946248531641,1.6789531056970768,1.572787909260389,0.20901996429150338,-0.06333946248531652,-0.007226924655425071,0.028131159952639928
1,2016-05-20,2017-06-05,41,2.013588563488655,1.404947589596952,0.1670569823442729,-0.06333946248531719,1.9636703683005294,1.397340053365335,0.16564790558034592,-0.06333946248531674,1.8377880129430861,1.435508189456677,0.17041646060275117,-0.06333946248531663,-0.007607536231617029,0.030560599859724924
2,2016-08-19,2017-08-31,39,2.1571696629488626,1.7170909705249782,0.1651586344856848,-0.06333946248531686,2.106022699747786,1.712471342526548,0.1646757550736795,-0.06333946248531686,1.9942779103054653,1.712471342526548,0.1646757550736795,-0.06333946248531686,-0.004619627998430076,-0.004619627998430076
3,2016-11-25,2017-12-05,31,2.431559701206874,1.2109363695287705,0.11273386646192685,-0.06333946248531697,2.3800518352826265,1.1809765447647749,0.10988437136294493,-0.06333946248531697,2.2637906519282023,1.1985056876619733,0.11155030823262013,-0.06333946248531697,-0.029959824763995613,-0.012430681866797189
4,2017-03-02,2018-03-12,0,2.330772050086638,1.5814597935516137,0.162988789738872,-0.06591120304341458,2.2795883803218207,1.5460382892162514,0.15927974383718846,-0.06591120304341458,2.1659701777208142,1.5697308131149865,0.1617517779122577,-0.06591120304341469,-0.035421504335362286,-0.011728980436627179
5,2017-06-06,2018-06-13,0,2.214320383611911,1.6679048887265346,0.16016041650375668,-0.06591120304341502,2.162891735865041,1.6300685741093257,0.1564603909522706,-0.06591120304341491,2.049198191302423,1.6553887751872771,0.15892641307341848,-0.0659112030434148,-0.03783631461720893,-0.012516113539257523
6,2017-09-01,2018-09-11,22,2.5120944207507816,0.8573408964586386,0.07054008419341518,-0.06591120304341491,2.459089345601497,0.8075029057362517,0.06667027968146488,-0.06591120304341502,2.340270914026799,1.0179203821775733,0.08583458452651938,-0.06591120304341469,-0.04983799072238693,0.16057948571893466
7,2017-12-06,2018-12-17,22,2.39903779274964,1.039071870032816,0.07088523338951935,-0.06591120304341469,2.3388902958270883,0.99050810289428,0.06795332254106023,-0.06591120304341458,2.222504808127954,1.2263497840533844,0.08666939819818897,-0.06591120304341469,-0.04856376713853605,0.18727791402056826
8,2018-03-13,2019-03-25,22,1.6178709261271673,1.2781218153202456,0.05949669898114229,-0.026310251879655522,1.5631998768821216,1.1457455511380994,0.053888567869869286,-0.026310251879655633,1.445642441087097,1.478264738442485,0.07396992178280559,-0.0263102518796553,-0.1323762641821462,0.20014292312223936
9,2018-06-14,2019-06-27,22,1.7214801176175332,0.9920148402259217,0.04699421418883931,-0.039781968410719015,1.665364658829574,0.8664691440090819,0.04145236088300175,-0.039781968410719015,1.539217680880434,1.2051124099257338,0.061294244877035275,-0.039781968410719126,-0.12554569621683975,0.21309756969981208
10,2018-09-12,2019-09-25,0,1.7394331549156419,0.5134516338032495,0.03694625073751334,-0.06712274894045556,1.6751547776656257,0.4448574613195942,0.031985660610766464,-0.06712274894045533,1.574870092854322,0.4904669177309709,0.03528918953849214,-0.06712274894045456,-0.06859417248365535,-0.022984716072278644
11,2018-12-18,2019-12-30,0,1.7719338069106516,0.6523418266049386,0.052901179478446636,-0.06712274894045545,1.6892696794627242,0.6523418266049386,0.052901179478446636,-0.06712274894045545,1.6004466045689691,0.6523418266049386,0.052901179478446636,-0.06712274894045545,0.0,0.0
12,2019-03-26,2020-04-07,0,1.5668305344268305,0.45445482040572144,0.05182094509822921,-0.0805458429748751,1.5518706394084778,0.45445482040572144,0.05182094509822921,-0.0805458429748751,1.6248171664209001,0.45445482040572144,0.05182094509822921,-0.0805458429748751,0.0,0.0
13,2019-06-28,2020-07-10,0,1.5899844654152078,1.1138669969780932,0.18798300670302925,-0.13574905710308727,1.575331206266264,1.1138669969780932,0.18798300670302925,-0.13574905710308727,1.6468390187263662,1.1138669969780932,0.18798300670302925,-0.13574905710308727,0.0,0.0
14,2019-09-26,2020-10-15,0,1.1751399453713438,2.1275110007116,0.38929599797843717,-0.09102907406585958,1.161359799026392,2.1275110007116,0.38929599797843717,-0.09102907406585958,1.225722537238148,2.1275110007116,0.38929599797843717,-0.09102907406585958,0.0,0.0
15,2019-12-31,2021-01-13,0,1.0415181194582406,2.7427084991647748,0.5472668438687447,-0.09102907406585947,1.0274829972567059,2.7427084991647748,0.5472668438687447,-0.09102907406585947,1.0935772928755743,2.7427084991647748,0.5472668438687447,-0.09102907406585947,0.0,0.0
