window,test_start,test_end,R30_test_sh,R30_test_ret,R30_test_dd,R42_test_sh,R42_test_ret,R42_test_dd,M1_ew_test_sh,M1_ew_test_ret,M1_ew_test_dd,M1_top2_test_sh,M1_top2_test_ret,M1_top2_test_dd,M6_ew_test_sh,M6_ew_test_ret,M6_ew_test_dd,M6_top1_test_sh,M6_top1_test_ret,M6_top1_test_dd,M6_top2_test_sh,M6_top2_test_ret,M6_top2_test_dd,M9_ew_test_sh,M9_ew_test_ret,M9_ew_test_dd,M6_ew+DP_test_sh,M6_ew+DP_test_ret,M6_ew+DP_test_dd
0,2016-02-19,2017-03-01,1.544656749307749,0.20554968134451657,-0.06333946248531674,1.572787909260389,0.20901996429150338,-0.06333946248531652,0.9763368447494576,0.07169639450832666,-0.06333946248531641,0.9917418898264388,0.07284998188236536,-0.06333946248531641,1.15121052118031,0.09828355983019343,-0.06430543157986124,1.3950812544151785,0.1293562753127564,-0.06457065162526976,1.2204993161128759,0.10798547289256133,-0.06457065162526943,1.3054338184660017,0.107277751418271,-0.061563880251831016,1.1994028371871803,0.10277063953967547,-0.06430543157986113
1,2016-05-20,2017-06-05,1.404947589596952,0.1670569823442729,-0.06333946248531719,1.435508189456677,0.17041646060275117,-0.06333946248531663,0.9107952559790955,0.07520251539443823,-0.06333946248531641,0.9444393426529263,0.07799912280393073,-0.06333946248531641,1.1901187846806336,0.10628892088591968,-0.06430543157986057,1.3284625481585264,0.11977636981810513,-0.06457065162526943,1.1866590381976412,0.10692081615150606,-0.06457065162526954,1.3353707155078494,0.11968189908622717,-0.06156388025183124,1.236632372890775,0.1108087068057757,-0.0643054315798608
2,2016-08-19,2017-08-31,1.7170909705249782,0.1651586344856848,-0.06333946248531686,1.712471342526548,0.1646757550736795,-0.06333946248531686,1.7258556018802318,0.16567446424552412,-0.06333946248531686,1.7572901224925375,0.1687063896708172,-0.06333946248531686,1.6125061345335978,0.1545943402607899,-0.06124766408561144,1.4687585507737513,0.14105537983742167,-0.0645706516252691,1.509777500350548,0.1450666484601757,-0.06457065162526898,1.7258556018802318,0.16567446424552412,-0.06333946248531686,1.6125061345335978,0.1545943402607899,-0.06124766408561144
3,2016-11-25,2017-12-05,1.2109363695287705,0.11273386646192685,-0.06333946248531697,1.1985056876619733,0.11155030823262013,-0.06333946248531697,1.1933975986393335,0.11083609693681273,-0.06333946248531697,1.2243246662321945,0.11372538747970329,-0.06333946248531697,1.1276232593559068,0.10455577287271067,-0.06156388025183146,1.079919999793235,0.10032744211479039,-0.06457065162526965,0.9826245076854511,0.09134780741759685,-0.06457065162526965,1.1933975986393335,0.11083609693681273,-0.06333946248531697,1.135093447989108,0.10527160161809479,-0.06156388025183146
4,2017-03-02,2018-03-12,1.5814597935516137,0.162988789738872,-0.06591120304341458,1.5697308131149865,0.1617517779122577,-0.06591120304341469,1.547580392254473,0.15903487617305023,-0.06541743734345129,1.547580392254473,0.15903487617305023,-0.06541743734345129,1.406154567634775,0.16770511967032808,-0.09731293876843194,0.9020869380563917,0.10707003646619073,-0.09046906218223927,1.1333200762443476,0.14264180159224527,-0.10379517744482425,1.5018316993559218,0.15427426945254297,-0.06541743734345107,1.4126567354698423,0.16846538487423435,-0.09731293876843217
5,2017-06-06,2018-06-13,1.6679048887265346,0.16016041650375668,-0.06591120304341502,1.6553887751872771,0.15892641307341848,-0.0659112030434148,1.681218627795738,0.1615076714982402,-0.0654174373434514,1.6859102881511547,0.16195626508949945,-0.0654174373434514,1.5825059654886582,0.1875012810492802,-0.09731293876843172,1.1137545284153905,0.13369037903982028,-0.09125171262182441,1.2349949713991555,0.1558724180253348,-0.1037951774448237,1.656151338281523,0.1590838129694001,-0.0654174373434514,1.5891816961953527,0.18827443506596664,-0.09731293876843206
6,2017-09-01,2018-09-11,0.8573408964586386,0.07054008419341518,-0.06591120304341491,1.0179203821775733,0.08583458452651938,-0.06591120304341469,0.938775213754592,0.07713485647182705,-0.0654174373434514,0.938775213754592,0.07713485647182705,-0.0654174373434514,-0.17477632125543074,-0.01791941609737613,-0.12057520584760695,0.20277358066422513,0.02106055839954779,-0.0908176797215795,-0.08187244845093926,-0.008528375767068774,-0.11861331463312286,0.8516538540699673,0.09472880261151384,-0.09731293876843194,0.32339367067609254,0.03214400001318607,-0.07574486287041371
7,2017-12-06,2018-12-17,1.039071870032816,0.07088523338951935,-0.06591120304341469,1.2263497840533844,0.08666939819818897,-0.06591120304341469,-0.16335480405695413,-0.02671028240456863,-0.1458816245272464,0.08827273735392344,0.015831866130814554,-0.11320925076897281,-0.17271608610571162,-0.01643942156231215,-0.12057520584760617,0.16058598405173077,0.01554417328205604,-0.09081767972157928,-0.21817668873274657,-0.021211713770583285,-0.11861331463312474,-0.3553868416749852,-0.053935216034720845,-0.1386796974260448,0.35207472227026243,0.03232175638153656,-0.07574486287041327
8,2018-03-13,2019-03-25,1.2781218153202456,0.05949669898114229,-0.026310251879655522,1.478264738442485,0.07396992178280559,-0.0263102518796553,-0.5947679307132935,-0.0836523591542182,-0.14588162452724707,-0.26157007001305166,-0.04001454875908339,-0.11320925076897292,-0.2590228545387596,-0.020723045877084623,-0.09457922671108199,0.13198918279463628,0.010812111080912734,-0.0701842268115076,-0.29494643536856147,-0.024299092337135564,-0.0921889771605574,-0.5671493054528122,-0.046493396195958936,-0.15315244393957517,0.3662780306804866,0.027825766329426127,-0.05532863610831806
9,2018-06-14,2019-06-27,0.9920148402259217,0.04699421418883931,-0.039781968410719015,1.2051124099257338,0.061294244877035275,-0.039781968410719126,-0.6892873046167475,-0.08493393907980484,-0.14588162452724696,-0.2310243828588044,-0.03077210485573445,-0.11320925076897292,-0.8805654349128462,-0.0987153656847759,-0.18744338719195586,-0.09167724181728576,-0.01301032196248686,-0.164574944997383,0.08922531177718587,0.011068407591051432,-0.11525201401899088,2.241719987482173,0.1554283729524959,-0.03541111497951133,-0.4914367798408286,-0.05378539627826284,-0.17563817410161442
10,2018-09-12,2019-09-25,0.5134516338032495,0.03694625073751334,-0.06712274894045556,0.4904669177309709,0.03528918953849214,-0.06712274894045456,-0.5407012520989501,-0.05991614851377902,-0.1349462775468161,-0.5900986599833874,-0.06725338650560653,-0.12653514895518447,-0.18750525584441996,-0.0205323744720467,-0.14656741003099683,-0.09838681375420316,-0.01288045856267106,-0.16201671621336766,0.35809674333340635,0.04115902886264289,-0.11540071664354068,0.6120242242541906,0.05611981052921822,-0.09813735982085836,-0.197004392917541,-0.021581549659943078,-0.14748158041764436
11,2018-12-18,2019-12-30,0.6523418266049386,0.052901179478446636,-0.06712274894045545,0.6523418266049386,0.052901179478446636,-0.06712274894045545,1.3487101393850376,0.1838914921898256,-0.0987205791036353,0.7174381565168526,0.09838895695913785,-0.09716611022812405,1.3098950292042513,0.1310210396722089,-0.08133242710876099,1.3033928648098994,0.1293009251080346,-0.09121567761817295,1.387671554807067,0.13667199239719663,-0.09008985557948013,0.7211687339218005,0.07155974491406081,-0.09813735982085792,1.3098950292042513,0.1310210396722089,-0.08133242710876099
12,2019-03-26,2020-04-07,0.45445482040572144,0.05182094509822921,-0.0805458429748751,0.45445482040572144,0.05182094509822921,-0.0805458429748751,0.1456388869158445,0.03012128416880322,-0.20632212302489472,0.03247216743854026,0.00672975199265724,-0.2063221230248946,0.20799604085996393,0.037246390499437565,-0.21704251735282298,-0.26424392000722385,-0.052864278469046844,-0.2624103630177035,-0.15569426636255346,-0.029320424548815116,-0.23866958113826975,-0.2643140294286006,-0.054075302635504086,-0.20632212302489483,0.20799604085996393,0.037246390499437565,-0.21704251735282298
13,2019-06-28,2020-07-10,1.1138669969780932,0.18798300670302925,-0.13574905710308727,1.1138669969780932,0.18798300670302925,-0.13574905710308727,1.4660863102664898,0.32188602947297484,-0.20632212302489494,1.4111522719005998,0.3100583471724081,-0.2063221230248946,0.7482274935906956,0.14096960175777506,-0.21962321376514038,0.39063553504193377,0.08211709091031327,-0.2648357313173285,0.5532231637174331,0.10949905608591837,-0.24117873118128208,1.192315920828432,0.26217471274265725,-0.20632212302489472,0.7482274935906956,0.14096960175777506,-0.21962321376514038
14,2019-09-26,2020-10-15,2.1275110007116,0.38929599797843717,-0.09102907406585958,2.1275110007116,0.38929599797843717,-0.09102907406585958,1.780466970951623,0.4454865304995841,-0.20632212302489483,2.032096530397501,0.5157291047120118,-0.20632212302489483,0.8112305464804872,0.19610719237355712,-0.2196232137651407,0.7675399830793398,0.21779489213280323,-0.2648357313173285,0.8476770646839902,0.22443610598141595,-0.2411787311812822,0.7898598257034606,0.20889409237516232,-0.20632212302489483,0.8112305464804872,0.19610719237355712,-0.2196232137651407
15,2019-12-31,2021-01-13,2.7427084991647748,0.5472668438687447,-0.09102907406585947,2.7427084991647748,0.5472668438687447,-0.09102907406585947,1.8049580504053624,0.46962946555734875,-0.20632212302489483,1.8049580504053624,0.46962946555734875,-0.20632212302489483,1.3684602497255594,0.34864950465383115,-0.21704251735282265,1.2758389292601535,0.37657097346707835,-0.2624103630177035,1.3693564477203801,0.378812385332828,-0.2386695811382693,1.230848577440919,0.340182071720025,-0.20632212302489483,1.3684602497255594,0.34864950465383115,-0.21704251735282265
16,2020-04-08,2021-04-20,2.2717967519011357,0.4804887427631439,-0.13367307280223206,2.2717967519011357,0.4804887427631439,-0.13367307280223206,2.506119735978794,0.5567581739629774,-0.1343751690836279,2.506119735978794,0.5567581739629774,-0.1343751690836279,2.086401873687571,0.4921665304838305,-0.13485952989368255,2.087614419146054,0.5479831429945412,-0.14549297239127879,2.173657117233565,0.5474424352762381,-0.13485952989368266,2.09777743325931,0.4535929129090146,-0.13367307280223228,2.086401873687571,0.4921665304838305,-0.13485952989368255
17,2020-07-13,2021-07-22,1.647901039183376,0.3559047517245917,-0.13367307280223206,1.647901039183376,0.3559047517245917,-0.13367307280223206,1.5517142799523647,0.3351277909979429,-0.13485952989368255,1.5517142799523647,0.3351277909979429,-0.13485952989368255,2.057811842927381,0.450525244969183,-0.13485952989368233,2.251726826773178,0.5138907923358029,-0.13485952989368233,2.336121833069369,0.5210126725701392,-0.13485952989368222,0.9526016589811235,0.22388378194947522,-0.15906655475939147,2.057811842927381,0.450525244969183,-0.13485952989368233
18,2020-10-16,2021-10-28,1.4815033121206755,0.26063310129958084,-0.13367307280223195,1.4815033121206755,0.26063310129958084,-0.13367307280223195,1.2606582659347747,0.2747129103262702,-0.1771673646191565,1.2606582659347747,0.2747129103262702,-0.1771673646191565,1.1202046421505973,0.20890739709728678,-0.13485952989368277,1.1638573392935074,0.21450559202277852,-0.13485952989368277,1.1454074424200602,0.21199229433309497,-0.13485952989368277,1.2249022983918296,0.2634226048413293,-0.17716736461915672,1.1202046421505973,0.20890739709728678,-0.13485952989368277
19,2021-01-14,2022-01-26,0.3277671391029623,0.05071195683274832,-0.13367307280223206,0.3277671391029623,0.05071195683274832,-0.13367307280223206,0.4775907963874913,0.10378104905427032,-0.19167542301558083,0.4775907963874913,0.10378104905427032,-0.19167542301558083,-0.22114268566703119,-0.03951835484423405,-0.15029312463764233,0.0015066731468700322,0.0002657074349687871,-0.13485952989368233,0.07491575791931185,0.013323427597909498,-0.13485952989368233,0.563495564035463,0.1165465667811445,-0.19167542301558038,-0.22114268566703119,-0.03951835484423405,-0.15029312463764233
20,2021-04-21,2022-05-09,0.6917664668985365,0.07306861686299548,-0.0808714202611519,0.988710338893374,0.1062381616904291,-0.0808714202611519,0.2599930711224221,0.06593866556389583,-0.27293149652470383,0.2599930711224221,0.06593866556389583,-0.27293149652470383,0.21524643795207085,0.043684173890524924,-0.24102362296835822,0.37499372012880383,0.1105515918356692,-0.2988930313496533,0.7358952945395506,0.16104159960774078,-0.2163214446340388,0.8648125953940297,0.2051226981030625,-0.24329551655367798,0.6769641819344062,0.13519584389125527,-0.24102362296835822
21,2021-07-23,2022-08-05,-1.4774099623562031,-0.06820869868055612,-0.0808714202611519,-0.6294678443942405,-0.058076819371019495,-0.1119180938532095,-0.16683656104316216,-0.04210650471580557,-0.27293149652470317,-0.16683656104316216,-0.04210650471580557,-0.27293149652470317,-0.33169260478092893,-0.06348104610836236,-0.24102362296835755,0.1631769684116425,0.04822709758509869,-0.29889303134965306,0.4877467058797505,0.10458932258764686,-0.2163214446340398,0.6102508832581193,0.14174239710254355,-0.24329551655367787,-0.39956003756736025,-0.07810618879529685,-0.24102362296835755
