window,train_start,train_end,test_start,test_end,step_end,train_sharpe,test_sharpe,test_ret,test_dd,step_ret_total,n_train_obs_per_regime,mapping_size,mapping
0,2013-01-04,2016-02-18,2016-02-19,2017-03-01,2016-05-19,1.8683497379525402,1.544656749307749,0.20554968134451657,-0.06333946248531674,0.04059913283405625,92,6,"{""r0_cpi_high"": ""511010"", ""r0_cpi_mid"": ""518880"", ""r1_cpi_mid"": ""518880"", ""r2_cpi_mid"": ""511010"", ""r3_cpi_low"": ""511010"", ""r3_cpi_mid"": ""511010""}"
1,2013-04-12,2016-05-19,2016-05-20,2017-06-05,2016-08-18,1.9338628822644162,1.404947589596952,0.1670569823442729,-0.06333946248531719,0.09330267304782858,112,6,"{""r0_cpi_high"": ""511010"", ""r0_cpi_mid"": ""518880"", ""r1_cpi_mid"": ""511010"", ""r2_cpi_mid"": ""511010"", ""r3_cpi_low"": ""511010"", ""r3_cpi_mid"": ""511010""}"
2,2013-07-18,2016-08-18,2016-08-19,2017-08-31,2016-11-24,2.0792014648253208,1.712471342526548,0.1646757550736795,-0.06333946248531686,0.07344018741888103,112,6,"{""r0_cpi_high"": ""511010"", ""r0_cpi_mid"": ""518880"", ""r1_cpi_mid"": ""511010"", ""r2_cpi_mid"": ""511010"", ""r3_cpi_low"": ""511010"", ""r3_cpi_mid"": ""511010""}"
3,2013-10-24,2016-11-24,2016-11-25,2017-12-05,2017-03-01,2.351870158914537,1.1809765447647749,0.10988437136294493,-0.06333946248531697,-0.012849448111789896,88,6,"{""r0_cpi_high"": ""511010"", ""r0_cpi_mid"": ""518880"", ""r1_cpi_mid"": ""511010"", ""r2_cpi_mid"": ""511010"", ""r3_cpi_low"": ""511010"", ""r3_cpi_mid"": ""511010""}"
4,2014-01-22,2017-03-01,2017-03-02,2018-03-12,2017-06-05,2.2521850053821977,1.535815625203908,0.15822202510008454,-0.06614395787980287,0.011541553424833983,88,5,"{""r0_cpi_mid"": ""518880"", ""r1_cpi_mid"": ""511010"", ""r2_cpi_mid"": ""511010"", ""r3_cpi_low"": ""511010"", ""r3_cpi_mid"": ""511010""}"
5,2014-04-29,2017-06-05,2017-06-06,2018-06-13,2017-08-31,2.1355034016353955,1.6162732391470318,0.1551332531703491,-0.06614395787980254,0.091071931807718,88,6,"{""r0_cpi_mid"": ""518880"", ""r1_cpi_mid"": ""511010"", ""r2_cpi_low"": ""518880"", ""r2_cpi_mid"": ""511010"", ""r3_cpi_low"": ""511010"", ""r3_cpi_mid"": ""511010""}"
6,2014-07-30,2017-08-31,2017-09-01,2018-09-11,2017-12-05,2.4301538121440713,0.8019446000632898,0.0659508680262102,-0.06614395787980254,0.022940919323727993,88,6,"{""r0_cpi_mid"": ""518880"", ""r1_cpi_mid"": ""511010"", ""r2_cpi_low"": ""518880"", ""r2_cpi_mid"": ""511260"", ""r3_cpi_low"": ""511010"", ""r3_cpi_mid"": ""511010""}"
7,2014-11-04,2017-12-05,2017-12-06,2018-12-17,2018-03-12,2.3093964683519697,0.9548300854846032,0.06509093059457949,-0.06614395787980287,0.02589793671422358,88,6,"{""r0_cpi_mid"": ""518880"", ""r1_cpi_mid"": ""511010"", ""r2_cpi_low"": ""518880"", ""r2_cpi_mid"": ""518880"", ""r3_cpi_low"": ""511010"", ""r3_cpi_mid"": ""511010""}"
8,2015-02-03,2018-03-12,2018-03-13,2019-03-25,2018-06-13,1.5351154339182425,1.1014692240248838,0.05106550990461978,-0.026310251879655633,0.008309290922317247,89,6,"{""r0_cpi_mid"": ""518880"", ""r1_cpi_mid"": ""511010"", ""r2_cpi_low"": ""518880"", ""r2_cpi_mid"": ""518880"", ""r3_cpi_low"": ""511010"", ""r3_cpi_mid"": ""511260""}"
9,2015-05-12,2018-06-13,2018-06-14,2019-06-27,2018-09-11,1.6348094084805096,0.8172861948411277,0.038656685777608724,-0.039781968410718904,0.006835418855315245,81,5,"{""r0_cpi_mid"": ""518880"", ""r1_cpi_mid"": ""511010"", ""r2_cpi_low"": ""518880"", ""r2_cpi_mid"": ""518880"", ""r3_cpi_mid"": ""511260""}"
10,2015-08-10,2018-09-11,2018-09-12,2019-09-25,2018-12-17,1.640345540608081,0.39898369698897745,0.028688737267736686,-0.06712274894045467,0.012307711407918642,35,5,"{""r0_cpi_mid"": ""518880"", ""r1_cpi_mid"": ""511010"", ""r2_cpi_low"": ""518880"", ""r2_cpi_mid"": ""511010"", ""r3_cpi_mid"": ""511260""}"
11,2015-11-16,2018-12-17,2018-12-18,2019-12-30,2019-03-25,1.6541045964448238,0.6113314690529654,0.04957946873583685,-0.06712274894045489,0.024370621692848093,27,5,"{""r0_cpi_mid"": ""518880"", ""r1_cpi_mid"": ""511010"", ""r2_cpi_low"": ""518880"", ""r2_cpi_mid"": ""511010"", ""r3_cpi_mid"": ""511260""}"
12,2016-02-19,2019-03-25,2019-03-26,2020-04-07,2019-06-27,1.5419110073915778,0.45445482040572144,0.05182094509822921,-0.0805458429748751,-0.005181446767604125,47,5,"{""r0_cpi_mid"": ""518880"", ""r1_cpi_mid"": ""511260"", ""r2_cpi_low"": ""518880"", ""r2_cpi_mid"": ""511010"", ""r3_cpi_mid"": ""511260""}"
13,2016-05-20,2019-06-27,2019-06-28,2020-07-10,2019-09-25,1.5534150203759227,1.1138669969780932,0.18798300670302925,-0.13574905710308727,0.004747690547063588,61,5,"{""r0_cpi_mid"": ""518880"", ""r1_cpi_mid"": ""511260"", ""r2_cpi_low"": ""518880"", ""r2_cpi_mid"": ""511010"", ""r3_cpi_mid"": ""518880""}"
14,2016-08-19,2019-09-25,2019-09-26,2020-10-15,2019-12-30,1.1751399453713438,2.1275110007116,0.38929599797843717,-0.09102907406585958,0.032865775082534965,11,4,"{""r1_cpi_mid"": ""511260"", ""r2_cpi_low"": ""518880"", ""r2_cpi_mid"": ""518880"", ""r3_cpi_mid"": ""511260""}"
