trade_date,Q1,Q2,Q3,Q4,Q5,MKT_EW,tov_q5,tov_q1,LS,LS_cost,LS_net,Q5_ex,Q5_ex_cost,Q5_ex_net
2018-07-11,-0.138669,,,,0.036452,-0.051109,,,0.17512,0.0,0.17512,0.08756,0.0,0.08756
2018-08-08,-0.044659,-0.054216,-0.026197,-0.061306,-0.060993,-0.049474,1.0,0.96,-0.016333,0.00098,-0.017313,-0.011519,0.0005,-0.012019
2018-09-05,-0.108884,-0.108736,-0.098523,-0.102148,-0.10444,-0.104546,0.911894,0.938416,0.004445,0.000925,0.00352,0.000107,0.000456,-0.000349
2018-10-11,0.047007,0.052089,0.056857,0.059528,0.058744,0.054845,0.021176,0.024314,0.011737,2.3e-05,0.011714,0.003899,1.1e-05,0.003888
2018-11-08,0.034008,0.036503,0.035347,0.036221,0.03863,0.036142,0.208689,0.177657,0.004622,0.000193,0.004429,0.002488,0.000104,0.002384
2018-12-06,-0.025993,-0.020957,-0.018721,-0.017529,-0.022536,-0.021147,0.010769,0.018462,0.003456,1.5e-05,0.003442,-0.001389,5e-06,-0.001395
2019-01-07,0.013998,0.01787,0.008783,0.012214,0.016359,0.013845,0.010687,0.01374,0.002361,1.2e-05,0.002348,0.002514,5e-06,0.002509
2019-02-11,0.249515,0.265998,0.2683,0.271679,0.276047,0.266308,0.010638,0.010638,0.026532,1.1e-05,0.026521,0.009739,5e-06,0.009734
2019-03-11,0.054945,0.057501,0.069091,0.063115,0.067951,0.062521,0.02047,0.018954,0.013007,2e-05,0.012987,0.005431,1e-05,0.005421
2019-04-09,-0.135139,-0.134263,-0.126593,-0.122968,-0.113083,-0.126409,0.098485,0.072727,0.022055,8.6e-05,0.02197,0.013326,4.9e-05,0.013277
2019-05-10,-0.008898,-0.010627,-0.010837,-0.007693,-0.015736,-0.010758,0.189107,0.164902,-0.006838,0.000177,-0.007015,-0.004977,9.5e-05,-0.005072
2019-06-10,0.000764,0.001881,-0.000942,0.002108,0.00134,0.00103,0.01283,0.008302,0.000577,1.1e-05,0.000566,0.00031,6e-06,0.000304
2019-07-08,-0.064155,-0.063156,-0.060469,-0.053188,-0.059075,-0.060008,0.009036,0.008277,0.005081,9e-06,0.005072,0.000934,5e-06,0.000929
2019-08-05,0.076586,0.084507,0.083801,0.077646,0.089133,0.082334,0.027027,0.018755,0.012547,2.3e-05,0.012524,0.006799,1.4e-05,0.006785
2019-09-02,-0.006683,0.007046,-0.004929,-0.007435,-0.000468,-0.002494,0.207491,0.233533,0.006215,0.000221,0.005995,0.002026,0.000104,0.001923
2019-10-08,-0.010061,-0.004183,-0.007324,-0.006444,-0.009841,-0.007571,0.009709,0.010448,0.000221,1e-05,0.000211,-0.00227,5e-06,-0.002275
2019-11-05,-0.028153,-0.014387,-0.017374,-0.014266,-0.00987,-0.01681,0.30752,0.311012,0.018284,0.000309,0.017974,0.00694,0.000154,0.006787
2019-12-03,0.090976,0.086624,0.103496,0.091395,0.092862,0.093071,0.010401,0.010386,0.001887,1e-05,0.001876,-0.000208,5e-06,-0.000214
2019-12-31,-0.044918,-0.031504,-0.038524,-0.038412,-0.046819,-0.040036,0.01037,0.005917,-0.001902,8e-06,-0.00191,-0.006784,5e-06,-0.006789
2020-02-06,0.124363,0.119193,0.128808,0.119057,0.133216,0.124928,0.007375,0.013255,0.008853,1e-05,0.008842,0.008288,4e-06,0.008285
2020-03-05,-0.097609,-0.103827,-0.104015,-0.103495,-0.100025,-0.101794,0.008811,0.011005,-0.002416,1e-05,-0.002426,0.001769,4e-06,0.001765
2020-04-02,0.034443,0.02385,0.037716,0.028552,0.03397,0.031706,0.051095,0.053246,-0.000474,5.2e-05,-0.000526,0.002263,2.6e-05,0.002238
2020-05-06,0.048331,0.031994,0.049493,0.04881,0.040662,0.043858,0.203193,0.181159,-0.007669,0.000192,-0.007861,-0.003196,0.000102,-0.003298
2020-06-03,0.102657,0.104523,0.10986,0.109661,0.109985,0.107337,0.011577,0.0094,0.007328,1e-05,0.007317,0.002648,6e-06,0.002642
2020-07-03,0.088481,0.087313,0.089198,0.093428,0.10926,0.093536,0.005047,0.012257,0.020779,9e-06,0.02077,0.015724,3e-06,0.015721
2020-07-31,0.011077,0.00479,0.00634,0.002894,0.009682,0.006957,0.02149,0.027917,-0.001395,2.5e-05,-0.00142,0.002725,1.1e-05,0.002714
2020-08-28,-0.079597,-0.074409,-0.076084,-0.07058,-0.066536,-0.073441,0.181818,0.175302,0.013061,0.000179,0.012883,0.006905,9.1e-05,0.006814
2020-09-25,0.023008,0.023214,0.035762,0.030731,0.040098,0.030562,0.131969,0.12835,0.01709,0.00013,0.01696,0.009535,6.6e-05,0.009469
2020-11-02,0.017812,0.020436,0.020886,0.026818,0.020783,0.021347,0.33193,0.307638,0.002971,0.00032,0.002651,-0.000564,0.000166,-0.00073
2020-11-30,-0.054715,-0.056962,-0.064585,-0.065275,-0.061374,-0.060582,0.008368,0.009059,-0.006659,9e-06,-0.006668,-0.000792,4e-06,-0.000796
2020-12-28,-0.023948,-0.018056,-0.023062,-0.015817,-0.017139,-0.019604,0.008333,0.013889,0.006809,1.1e-05,0.006797,0.002465,4e-06,0.002461
2021-01-26,0.031601,0.034328,0.035735,0.031442,0.04395,0.035411,0.009682,0.016598,0.012349,1.3e-05,0.012336,0.008539,5e-06,0.008534
2021-03-02,-0.008386,-0.013752,-0.01593,-0.012351,-0.007039,-0.011492,0.010295,0.017159,0.001348,1.4e-05,0.001334,0.004453,5e-06,0.004448
2021-03-30,0.003494,0.015734,0.013702,0.0186,0.019708,0.014248,0.052345,0.044188,0.016214,4.8e-05,0.016166,0.00546,2.6e-05,0.005434
2021-04-28,0.051384,0.071831,0.066191,0.073652,0.063999,0.065411,0.14554,0.129443,0.012615,0.000137,0.012477,-0.001412,7.3e-05,-0.001485
2021-05-31,0.014792,0.031048,0.028439,0.027835,0.031743,0.026771,0.107895,0.128947,0.016951,0.000118,0.016832,0.004971,5.4e-05,0.004918
2021-06-29,-0.04983,-0.031312,-0.030787,-0.030818,-0.025158,-0.033581,0.01297,0.020091,0.024672,1.7e-05,0.024655,0.008423,6e-06,0.008417
2021-07-27,0.09323,0.111385,0.107033,0.118939,0.116104,0.109338,0.011583,0.017363,0.022874,1.4e-05,0.022859,0.006766,6e-06,0.00676
2021-08-24,0.000523,0.007987,0.011029,0.026238,0.016139,0.012383,0.128827,0.110969,0.015616,0.00012,0.015497,0.003756,6.4e-05,0.003692
2021-09-23,-0.051168,-0.053957,-0.050323,-0.05453,-0.053914,-0.052778,0.226498,0.191167,-0.002746,0.000209,-0.002955,-0.001136,0.000113,-0.001249
2021-10-28,0.092789,0.097381,0.102438,0.09086,0.08494,0.093681,0.148379,0.172586,-0.007849,0.00016,-0.008009,-0.008741,7.4e-05,-0.008816
2021-11-25,0.006524,0.006638,0.020528,0.022396,0.018387,0.014895,0.238272,0.230105,0.011864,0.000234,0.011629,0.003493,0.000119,0.003373
2021-12-23,-0.011336,-0.008044,-0.012961,-0.015676,-0.007466,-0.011097,0.007951,0.025672,0.00387,1.7e-05,0.003853,0.00363,4e-06,0.003626
