trade_date,n_universe,top_n_etfs,bot_n_etfs,top_n_signal_avg,bot_n_signal_avg,weights_active
2019-11-01,12,512010.SS;510050.SS;510300.SS,512660.SS;512980.SS;512880.SS,0.8970588235294118,0.19607843137254902,3
2019-12-02,12,159949.SZ;159915.SZ;512010.SS,512660.SS;512880.SS;512980.SS,0.8224400871459695,0.2494553376906318,5
2019-12-31,12,159949.SZ;510050.SS;510300.SS,512660.SS;512980.SS;518880.SS,0.872549019607843,0.2622549019607843,6
2020-02-07,12,159915.SZ;159949.SZ;512980.SS,510880.SS;512880.SS;510180.SS,0.9305555555555555,0.18518518518518515,8
2020-03-09,14,512290.SS;518880.SS;512010.SS,512690.SS;510880.SS;510050.SS,0.9192077415761627,0.16530910609857977,9
2020-04-08,17,512290.SS;512010.SS;518880.SS,510880.SS;512880.SS;512980.SS,0.9435414516683865,0.18562951496388028,6
2020-05-12,17,512290.SS;512010.SS;518880.SS,510880.SS;512880.SS;512980.SS,0.9117764330612629,0.17479360165118676,3
2020-06-10,17,512010.SS;512290.SS;159949.SZ,512880.SS;510880.SS;512480.SS,0.8789461957031617,0.16929355474247113,4
2020-07-13,18,159915.SZ;159949.SZ;510300.SS,510880.SS;510050.SS;510180.SS,0.7334368530020704,0.1879744651483782,9
2020-08-11,18,512660.SS;510300.SS;512290.SS,515880.SS;512980.SS;512480.SS,0.8914690382081686,0.15272288098375056,8
2020-09-09,18,510180.SS;510300.SS;512690.SS,512480.SS;515880.SS;512290.SS,0.8615136876006441,0.12379227053140096,7
2020-10-16,19,510050.SS;510300.SS;510180.SS,515880.SS;512480.SS;518880.SS,0.898932112890923,0.11727688787185354,6
2020-11-16,19,159980.SZ;510880.SS;512690.SS,515880.SS;512980.SS;518880.SS,0.9229595728451563,0.12814645308924486,7
2020-12-15,21,159980.SZ;512690.SS;159949.SZ,515880.SS;512980.SS;518880.SS,0.9336180124223602,0.1081996204278813,7
2021-01-14,21,510180.SS;159949.SZ;510300.SS,512980.SS;515880.SS;518880.SS,0.893300395256917,0.11185111989459816,8
2021-02-19,21,159980.SZ;510180.SS;515220.SS,518880.SS;515880.SS;512880.SS,0.9482127926421405,0.1074995354886659,10
2021-03-22,21,515210.SS;515220.SS;510880.SS,512980.SS;512480.SS;512880.SS,0.9586454849498328,0.12422519509476031,6
2021-04-21,21,515220.SS;510880.SS;515210.SS,515880.SS;512880.SS;512480.SS,0.9590301003344481,0.10925306577480491,5
2021-05-25,21,510500.SS;159949.SZ;512170.SS,515880.SS;512480.SS;512690.SS,0.8815147714604237,0.10188724319159102,8
2021-06-24,21,510880.SS;510500.SS;515220.SS,512980.SS;512690.SS;518880.SS,0.9369738207819168,0.13561969015492256,7
2021-07-23,21,512760.SS;515210.SS;515220.SS,512980.SS;510050.SS;512690.SS,0.9442220853858786,0.11624247400109468,8
2021-08-23,21,515210.SS;510880.SS;512660.SS,512690.SS;510050.SS;512980.SS,0.9494252873563219,0.11850574712643679,9
2021-09-23,21,159980.SZ;510500.SS;515220.SS,510050.SS;512690.SS;512290.SS,0.9545313881520778,0.1529251399941055,5
2021-10-29,21,159949.SZ;159915.SZ;512660.SS,512290.SS;512010.SS;512980.SS,0.8690097259062778,0.16601090480400826,7
2021-11-29,21,512660.SS;159949.SZ;159915.SZ,510880.SS;510050.SS;518880.SS,0.9115384615384615,0.2185897435897436,3
2021-12-28,21,512660.SS;510500.SS;515880.SS,512290.SS;512170.SS;512010.SS,0.8416666666666667,0.11904761904761905,6
2022-01-27,21,159980.SZ;515220.SS;510880.SS,512290.SS;512010.SS;512170.SS,0.8694444444444445,0.26264367816091955,8
2022-03-04,21,159980.SZ;515220.SS;510880.SS,512880.SS;510300.SS;510050.SS,0.9433908045977012,0.21187739463601532,4
2022-04-06,21,159980.SZ;515220.SS;510880.SS,515880.SS;512480.SS;512760.SS,0.9660919540229885,0.25584291187739466,4
2022-05-10,21,518880.SS;512660.SS;515220.SS,512880.SS;510050.SS;512010.SS,0.9194444444444444,0.08888888888888889,5
2022-06-09,21,515220.SS;510880.SS;510500.SS,512290.SS;512010.SS;512170.SS,0.8583333333333334,0.09999999999999999,5
2022-07-08,21,512660.SS;159915.SZ;515220.SS,512980.SS;518880.SS;512880.SS,0.8055555555555557,0.1416666666666667,9
2022-08-08,21,512660.SS;515880.SS;510500.SS,512880.SS;512290.SS;512980.SS,0.8291666666666666,0.09999999999999999,6
2022-09-06,21,515220.SS;510880.SS;512660.SS,512290.SS;512170.SS;512010.SS,0.9444444444444445,0.07222222222222223,6
2022-10-13,21,515220.SS;518880.SS;510880.SS,510050.SS;510180.SS;510300.SS,0.9444444444444445,0.07638888888888888,4
2022-11-11,21,518880.SS;159980.SZ;512660.SS,159915.SZ;512480.SS;510300.SS,0.9194444444444444,0.2111111111111111,6
2022-12-12,21,159980.SZ;518880.SS;510880.SS,159949.SZ;159915.SZ;515210.SS,0.8666666666666667,0.19722222222222222,5
2023-01-11,21,518880.SS;159980.SZ;510050.SS,512760.SS;512480.SS;515210.SS,0.8958333333333334,0.16666666666666666,6
2023-02-16,21,512980.SS;512690.SS;515880.SS,515220.SS;159949.SZ;515210.SS,0.8111111111111112,0.33888888888888885,9
2023-03-17,21,518880.SS;515880.SS;512980.SS,159949.SZ;159915.SZ;512170.SS,0.9138888888888888,0.13333333333333333,8
2023-04-18,21,510880.SS;515880.SS;518880.SS,159949.SZ;512170.SS;515210.SS,0.9166666666666666,0.18611111111111112,7
2023-05-22,21,518880.SS;510880.SS;515880.SS,159915.SZ;512170.SS;159949.SZ,0.9277777777777777,0.14722222222222223,4
2023-06-20,21,512980.SS;515880.SS;518880.SS,515210.SS;512170.SS;512010.SS,0.9027777777777778,0.11111111111111112,3
2023-07-21,21,518880.SS;515880.SS;159980.SZ,512170.SS;512010.SS;159915.SZ,0.9555555555555556,0.24166666666666667,5
2023-08-21,21,518880.SS;159980.SZ;510880.SS,159915.SZ;159949.SZ;512010.SS,0.9523946360153257,0.2107758620689655,6
2023-09-19,21,518880.SS;510880.SS;159980.SZ,159915.SZ;159949.SZ;512760.SS,0.9494252873563219,0.20785440613026818,4
2023-10-26,21,518880.SS;515220.SS;510880.SS,159949.SZ;159915.SZ;512170.SS,0.9444444444444443,0.18055555555555555,6
2023-11-24,21,515220.SS;518880.SS;512290.SS,510050.SS;510300.SS;159949.SZ,0.9083333333333333,0.24722222222222223,7
2023-12-25,21,515220.SS;518880.SS;159980.SZ,512760.SS;515210.SS;512170.SS,0.9611111111111111,0.18333333333333332,5
2024-01-24,21,518880.SS;515220.SS;159980.SZ,512690.SS;512480.SS;512760.SS,0.9611111111111111,0.13055555555555556,4
2024-03-01,21,518880.SS;515880.SS;515220.SS,512170.SS;512690.SS;512010.SS,0.9388888888888888,0.13055555555555556,4
2024-04-01,21,518880.SS;159980.SZ;515880.SS,512170.SS;512010.SS;512290.SS,0.9194444444444444,0.10555555555555556,7
2024-05-07,21,159980.SZ;510180.SS;510050.SS,515220.SS;512170.SS;512290.SS,0.9055555555555556,0.13888888888888887,6
2024-06-05,21,510880.SS;518880.SS;159980.SZ,515220.SS;512290.SS;512880.SS,0.9055555555555556,0.12777777777777777,5
2024-07-05,21,510880.SS;518880.SS;159980.SZ,512690.SS;512880.SS;515220.SS,0.9638888888888889,0.09027777777777778,5
2024-08-05,21,518880.SS;512660.SS;512480.SS,515220.SS;512690.SS;515210.SS,0.9138888888888889,0.2111111111111111,9
2024-09-03,21,518880.SS;159980.SZ;512880.SS,515210.SS;512170.SS;515220.SS,0.9055555555555556,0.20555555555555552,7
2024-10-11,21,518880.SS;512880.SS;512480.SS,512980.SS;159915.SZ;512290.SS,0.9416666666666668,0.2222222222222222,11
2024-11-11,21,510500.SS;512480.SS;512660.SS,515220.SS;159980.SZ;512290.SS,0.8416666666666668,0.1361111111111111,9
2024-12-10,21,515210.SS;510880.SS;512980.SS,512290.SS;512010.SS;159980.SZ,0.8805555555555556,0.11666666666666665,10
2025-01-09,21,518880.SS;512480.SS;512760.SS,512290.SS;515220.SS;512010.SS,0.9333333333333332,0.09305555555555556,8
2025-02-17,21,518880.SS;512480.SS;512980.SS,515220.SS;512690.SS;512010.SS,0.8249999999999998,0.10277777777777779,6
