trade_date,ls,q5,q1,all,tov_q5,tov_q1,gate,cost_ls_bps,cost_q5_bps,ls_after,q5_excess,q5_excess_after
2018-01-02,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
2018-01-30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
2018-03-06,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
2018-04-03,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-07,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
2018-06-04,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
2018-07-03,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
2018-07-31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
2018-08-28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
2018-09-26,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
2018-10-31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
2018-11-28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
2018-12-26,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
2019-01-25,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
2019-03-01,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
2019-03-29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
2019-04-29,0.030410,-0.042793,-0.073203,-0.052717,1.000000,1.000000,1,10.000000,5.000000,0.029410,0.009924,0.009424
2019-05-30,0.011755,0.036245,0.024489,0.032826,0.334855,0.304414,1,3.196347,1.674277,0.011436,0.003419,0.003251
2019-06-28,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0,10.000000,5.000000,-0.001000,0.000000,-0.000500
2019-07-26,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
2019-08-23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
2019-09-23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
2019-10-28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
2019-11-25,-0.008168,0.052389,0.060557,0.057029,1.000000,1.000000,1,10.000000,5.000000,-0.009168,-0.004640,-0.005140
2019-12-23,0.019108,0.060532,0.041425,0.050273,0.280832,0.255572,1,2.682021,1.404160,0.018840,0.010260,0.010119
2020-01-21,-0.002494,0.014838,0.017332,0.013643,0.278519,0.287407,1,2.829630,1.392593,-0.002777,0.001194,0.001055
2020-02-26,0.016539,-0.079168,-0.095707,-0.075466,0.283186,0.297935,1,2.905605,1.415929,0.016249,-0.003702,-0.003843
2020-03-25,0.040868,0.020852,-0.020016,0.001861,0.298969,0.319588,1,3.092784,1.494845,0.040559,0.018991,0.018841
2020-04-23,0.068036,0.026588,-0.041448,0.002678,0.336270,0.337243,1,3.367568,1.681351,0.067700,0.023910,0.023742
2020-05-26,0.049926,0.088170,0.038245,0.057080,0.336245,0.403202,1,3.697234,1.681223,0.049556,0.031090,0.030922
2020-06-23,-0.001840,0.076825,0.078665,0.083029,0.362319,0.365217,1,3.637681,1.811594,-0.002204,-0.006204,-0.006385
2020-07-23,-0.010231,0.059625,0.069856,0.067744,0.283237,0.297688,1,2.904624,1.416185,-0.010521,-0.008118,-0.008260
2020-08-20,-0.026650,-0.032898,-0.006247,-0.016786,0.290647,0.312230,1,3.014388,1.453237,-0.026952,-0.016112,-0.016257
2020-09-17,-0.010783,-0.034798,-0.024016,-0.027713,0.305278,0.324786,1,3.150322,1.526391,-0.011098,-0.007086,-0.007238
