trade_date,exposure,long_q5_etfs,short_q1_etfs,n_long,n_short,ivol_q5_avg,ivol_q1_avg
2020-06-23,0.8767820901754573,512010.SS;512170.SS;512290.SS;512480.SS;512760.SS,510050.SS;510180.SS;510300.SS;510880.SS,5,4,0.2338960869381324,0.03330301687121198
2020-07-24,0.9133354510847813,512170.SS;512290.SS;512660.SS;512690.SS;512880.SS,510050.SS;510180.SS;510300.SS;518880.SS,5,4,0.42717478796505104,0.08366652322335205
2020-08-24,0.6280043434381313,512010.SS;512290.SS;512660.SS;512880.SS;518880.SS,510050.SS;510180.SS;510300.SS;510500.SS,5,4,0.2954835892630788,0.054650335303876876
2020-09-22,0.7188681773830997,512480.SS;512660.SS;512690.SS;512760.SS;515030.SS,510050.SS;510180.SS;510300.SS;510500.SS,5,4,0.2799363632869462,0.044450432953832004
2020-10-29,0.9817795326216335,512170.SS;512290.SS;512660.SS;515030.SS;515220.SS,510050.SS;510180.SS;510300.SS;510880.SS,5,4,0.22709156658931642,0.03644134953575014
2020-11-27,0.8941566281134536,512480.SS;512660.SS;512690.SS;512760.SS;515030.SS,510050.SS;510180.SS;510300.SS;510500.SS,5,4,0.3140041663269045,0.04998784149968382
2020-12-28,0.7268311131238872,512660.SS;512690.SS;515030.SS;515210.SS;515220.SS,510050.SS;510180.SS;510300.SS;510500.SS,5,4,0.30545706900058256,0.036660571294423336
2021-01-27,0.6043810688146224,512170.SS;512480.SS;512660.SS;512690.SS;515030.SS,510050.SS;510180.SS;510300.SS;510500.SS,5,4,0.33551222455952456,0.055687653484372684
2021-03-04,0.5863845671317957,159980.SZ;512660.SS;512690.SS;515210.SS;515220.SS,510050.SS;510180.SS;510300.SS;510500.SS,5,4,0.3778924085667287,0.07401486042818635
2021-04-02,0.350658135125487,512480.SS;512660.SS;512690.SS;512760.SS;515210.SS;515220.SS,159915.SZ;510050.SS;510180.SS;510300.SS;510500.SS,6,5,0.8881247393723518,0.05258048347256098
2021-05-07,0.39323090502475283,159992.SZ;512480.SS;512690.SS;515030.SS;515210.SS;515220.SS,510050.SS;510180.SS;510300.SS;510500.SS;512980.SS,6,5,0.2966611339589867,0.053855501604835855
2021-06-07,0.6521563705958655,512480.SS;512690.SS;512880.SS;515030.SS;515210.SS;515220.SS,510050.SS;510180.SS;510300.SS;510500.SS;510880.SS,6,5,0.9153981588222679,0.05257337450647261
2021-07-07,0.8035080170532166,159857.SZ;512480.SS;512690.SS;512760.SS;515030.SS;515220.SS,510050.SS;510180.SS;510300.SS;510500.SS;510880.SS,6,5,0.40310694934012536,0.05918154458499678
2021-08-05,0.8402553761072162,159857.SZ;512480.SS;512690.SS;512760.SS;515030.SS;515210.SS,510050.SS;510180.SS;510300.SS;510500.SS;518880.SS,6,5,0.5243926231430246,0.06357000880791538
2021-09-03,0.534119356286246,159857.SZ;512480.SS;512660.SS;515030.SS;515210.SS;515220.SS,510050.SS;510180.SS;510300.SS;510500.SS;518880.SS,6,5,0.3915382959120774,0.07002688146196204
2021-10-13,0.6733903235539443,159857.SZ;159869.SZ;510880.SS;515030.SS;515210.SS;515220.SS,159819.SZ;510050.SS;510180.SS;510300.SS;518880.SS,6,5,0.459116199274413,0.06793644883634206
2021-11-11,0.9419384823503232,159755.SZ;159857.SZ;159980.SZ;512480.SS;515030.SS;515210.SS;515220.SS,510050.SS;510180.SS;510300.SS;510500.SS;588000.SS,7,5,0.3547291125205965,0.055156835101353344
2021-12-10,0.8297943375857421,159755.SZ;159857.SZ;512480.SS;512660.SS;512760.SS;515030.SS;515220.SS,510050.SS;510180.SS;510300.SS;510500.SS;518880.SS,7,5,0.2875693808909802,0.047943118606102134
2022-01-11,0.7959026545154257,159755.SZ;159857.SZ;159869.SZ;512660.SS;512980.SS;515030.SS;515220.SS,510050.SS;510180.SS;510300.SS;510500.SS;512880.SS,7,5,0.29871951202882613,0.05567516786950975
2022-02-16,0.8452474690021877,159755.SZ;159869.SZ;159890.SZ;512170.SS;512980.SS;515220.SS,510050.SS;510180.SS;510300.SS;510500.SS;518880.SS,6,5,0.3156036026690532,0.07118183967050402
2022-03-17,0.9769814709893118,159755.SZ;159869.SZ;159980.SZ;512760.SS;515030.SS;515220.SS,510050.SS;510180.SS;510300.SS;510500.SS;515880.SS,6,5,0.3125526656103158,0.06891447074086285
2022-04-19,1.290494947817552,159857.SZ;159869.SZ;512480.SS;512690.SS;512760.SS;515220.SS,510050.SS;510180.SS;510300.SS;510500.SS;518880.SS,6,5,0.2907482873141975,0.05523701136885677
2022-05-23,0.6440544621701847,159755.SZ;159857.SZ;512660.SS;512760.SS;515030.SS;515220.SS,510050.SS;510180.SS;510300.SS;510880.SS;518880.SS,6,5,0.3277863221490341,0.0777813552022746
2022-06-22,0.6691331024790239,159755.SZ;159857.SZ;159869.SZ;512480.SS;512760.SS;515030.SS;515220.SS,510050.SS;510180.SS;510300.SS;510500.SS;518880.SS,7,5,0.2954878775908695,0.06749592093101212
2022-07-21,0.7573452726685959,159755.SZ;159857.SZ;159980.SZ;159992.SZ;512480.SS;512760.SS;515220.SS,510050.SS;510180.SS;510300.SS;510500.SS;518880.SS,7,5,0.2961375034892731,0.05368828873247725
2022-08-19,0.756605990817026,159755.SZ;159857.SZ;512480.SS;512660.SS;512760.SS;515030.SS;515220.SS,510050.SS;510180.SS;510300.SS;510500.SS;518880.SS,7,5,0.2903491665997545,0.04928375099205097
2022-09-20,0.718545189898007,159755.SZ;159857.SZ;159869.SZ;510500.SS;512660.SS;515030.SS;515220.SS,159915.SZ;510050.SS;510180.SS;510300.SS;518880.SS,7,5,0.3609091800339232,0.06861877812557399
2022-10-26,0.7425526384613899,159992.SZ;512010.SS;512170.SS;512290.SS;512480.SS;512760.SS;515220.SS,510050.SS;510180.SS;510300.SS;510500.SS;518880.SS,7,5,0.32424193797146866,0.060181394578049274
2022-11-24,0.7179751089507217,159755.SZ;159869.SZ;159890.SZ;159992.SZ;512290.SS;512480.SS;512760.SS,510050.SS;510180.SS;510300.SS;510880.SS;518880.SS,7,5,0.30379323943215614,0.06329125649775635
2022-12-23,0.6967602452309412,159755.SZ;159857.SZ;159890.SZ;159992.SZ;512480.SS;512760.SS;515030.SS,510050.SS;510180.SS;510300.SS;510500.SS;518880.SS,7,5,0.23823419584869243,0.05326319584080219
2023-01-31,0.6355300494524968,159755.SZ;159857.SZ;159869.SZ;159890.SZ;159992.SZ;512980.SS;515220.SS,510050.SS;510180.SS;510300.SS;510500.SS;518880.SS,7,5,0.2341474351206178,0.04343197773002958
2023-03-01,0.658451343738316,159819.SZ;159869.SZ;159890.SZ;512480.SS;512690.SS;512760.SS;512980.SS,510050.SS;510180.SS;510300.SS;510500.SS;510880.SS,7,5,0.24426121693622665,0.03790328206490989
2023-03-30,0.46246741356447224,159819.SZ;159869.SZ;159890.SZ;512480.SS;512760.SS;512980.SS;515880.SS,510050.SS;510180.SS;510300.SS;510500.SS;510880.SS,7,5,0.30973836766774926,0.039113706707195973
2023-05-04,0.3211003501983755,159819.SZ;159869.SZ;159890.SZ;512480.SS;512760.SS;512980.SS;515880.SS,510050.SS;510180.SS;510300.SS;510500.SS;510880.SS,7,5,0.534245052863138,0.053124213310922305
2023-06-02,0.3409829701068017,159819.SZ;159857.SZ;159869.SZ;159890.SZ;512980.SS;515880.SS,510050.SS;510180.SS;510300.SS;510500.SS;518880.SS,6,5,0.33771313178496615,0.045302631909806323
2023-07-05,0.32817221961568005,159819.SZ;159869.SZ;159890.SZ;512480.SS;512980.SS;515880.SS,510050.SS;510180.SS;510300.SS;512880.SS;518880.SS,6,5,0.40793981988065614,0.043629093021605364
2023-08-03,0.3430325767703306,159819.SZ;159869.SZ;159890.SZ;512880.SS;512980.SS;515880.SS,510050.SS;510180.SS;510300.SS;510500.SS;510880.SS,6,5,0.25664162532702345,0.0336392302077191
2023-09-01,0.6754381595459803,159819.SZ;159869.SZ;159890.SZ;512480.SS;512980.SS;515880.SS,510050.SS;510180.SS;510300.SS;510500.SS;518880.SS,6,5,0.3186720153064018,0.03599810722612
2023-10-10,0.9395154025697787,159869.SZ;512480.SS;512760.SS;512980.SS;515220.SS;515880.SS,159915.SZ;510050.SS;510180.SS;510300.SS;510500.SS,6,5,0.2130192766362695,0.03310674604489054
2023-11-08,0.7375472051149783,159869.SZ;159890.SZ;512480.SS;512760.SS;512880.SS;512980.SS,510050.SS;510180.SS;510300.SS;510500.SS;518880.SS,6,5,0.25154677842602036,0.05202346042311179
2023-12-07,0.9473560483444449,159819.SZ;159869.SZ;159890.SZ;512660.SS;512980.SS;515220.SS;515880.SS,510050.SS;510180.SS;510300.SS;510500.SS;510880.SS,7,5,0.22975315591350473,0.030963333908800284
2024-01-08,0.48614324175939555,159819.SZ;159857.SZ;159869.SZ;512660.SS;512980.SS;515220.SS,159980.SZ;510050.SS;510180.SS;510300.SS;518880.SS,6,5,0.2779563515241325,0.04197386392593131
