trade_date,exposure,bond_rotation_active,long_q5_etfs,short_q1_etfs,n_long,n_short,ivol_q5_avg,ivol_q1_avg
2019-05-08,,False,159907.SZ;159915.SZ;159949.SZ;510170.SS;512660.SS;512880.SS;512980.SS,159919.SZ;510180.SS;510300.SS;510310.SS;510330.SS;518880.SS,7,6,0.23427228640043948,0.030154914980171293
2019-06-06,,False,159907.SZ;159928.SZ;510170.SS;510630.SS;512010.SS;512660.SS;512880.SS;512980.SS,159919.SZ;510050.SS;510180.SS;510300.SS;510310.SS;510330.SS,8,6,0.16868404460841424,0.027089077297775377
2019-07-08,,False,159907.SZ;159930.SZ;510170.SS;510630.SS;510650.SS;512660.SS;512880.SS;518880.SS,159919.SZ;510050.SS;510180.SS;510300.SS;510310.SS;510330.SS,8,6,0.21036025622283586,0.02131207842368099
2019-08-06,1.7181813513986057,False,159928.SZ;159949.SZ;510170.SS;510660.SS;512660.SS;512880.SS;512980.SS;518880.SS,159919.SZ;510050.SS;510180.SS;510300.SS;510310.SS;510330.SS,8,6,0.1328625598483753,0.015421537564158629
2019-09-04,1.794127043760293,False,159928.SZ;510630.SS;512010.SS;512660.SS;512690.SS;512880.SS;512980.SS;518880.SS,159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS,8,7,0.16874078678796278,0.02767647570965456
2019-10-11,1.4176858973923225,False,159915.SZ;159930.SZ;159949.SZ;512170.SS;512290.SS;512480.SS;512690.SS;512760.SS;512980.SS,159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS,9,7,0.24510247189221365,0.02385038834147763
2019-11-11,1.2845699047323025,False,159903.SZ;510660.SS;512170.SS;512290.SS;512480.SS;512690.SS;512760.SS;512980.SS;518880.SS,159901.SZ;159919.SZ;510050.SS;510180.SS;510300.SS;510310.SS;510330.SS;510880.SS,9,8,0.20175587135327971,0.024139044259616074
2019-12-10,1.4097355245359426,False,159929.SZ;159930.SZ;159967.SZ;512010.SS;512170.SS;512290.SS;512480.SS;512760.SS;512980.SS,159905.SZ;159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS,9,8,0.20329921235012408,0.02056665586536545
2020-01-09,0.7527945964676782,False,510170.SS;512170.SS;512480.SS;512660.SS;512760.SS;512880.SS;512980.SS;515880.SS;518880.SS,159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS;510880.SS,9,8,0.22728095942689816,0.023868774058141397
2020-02-17,0.5873261795975834,False,159929.SZ;159938.SZ;510660.SS;512170.SS;512290.SS;512480.SS;512660.SS;512760.SS;512980.SS,159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS;510650.SS,9,8,0.2890370012696077,0.04137055322479571
2020-03-17,0.5009803093290031,False,159907.SZ;159949.SZ;159973.SZ;512170.SS;512290.SS;512480.SS;512760.SS;515880.SS;518880.SS,159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS;510650.SS,9,8,0.3878073631917898,0.04555365805639655
2020-04-16,0.686649766463776,False,159973.SZ;159985.SZ;510630.SS;512170.SS;512290.SS;512480.SS;512760.SS;512980.SS;515880.SS;518880.SS,159901.SZ;159919.SZ;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS;510880.SS,10,8,0.29490539591779213,0.036952801348711754
2020-05-20,1.2834159784509416,False,159928.SZ;510630.SS;512010.SS;512170.SS;512290.SS;512480.SS;512660.SS;512690.SS;512760.SS;515880.SS,159901.SZ;159905.SZ;159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS,10,9,0.25549926324995154,0.029693516030146867
2020-06-18,1.6499768985835526,False,159929.SZ;159938.SZ;159967.SZ;159973.SZ;510660.SS;512010.SS;512170.SS;512290.SS;512480.SS;512760.SS,159901.SZ;159905.SZ;159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS,10,9,0.20978748448908383,0.03453921521126429
2020-07-21,1.046932741825476,False,159967.SZ;510660.SS;512170.SS;512290.SS;512480.SS;512660.SS;512690.SS;512880.SS;515030.SS,159905.SZ;159919.SZ;510050.SS;510210.SS;510300.SS;510310.SS;510330.SS;518880.SS,9,8,0.38937254437883734,0.05702185876760973
2020-08-19,0.7592871343054924,False,159938.SZ;159949.SZ;159967.SZ;510170.SS;510660.SS;512010.SS;512290.SS;512660.SS;518880.SS,159905.SZ;159919.SZ;510050.SS;510180.SS;510210.SS;510300.SS;510310.SS;510330.SS,9,8,0.29510111356708923,0.04208632763552124
