alpha,horizon,ic_mean,icir,tstat,n_dates
alpha_01,1,0.005728938595689556,0.08855804892827211,3.1683490777339016,1280
alpha_01,5,0.011642881128469264,0.17136924296282427,6.121505096407199,1276
alpha_01,20,0.02362265244517181,0.33279300947808416,11.817666732717695,1261
alpha_01,60,0.044582920354877396,0.7006612282741974,24.483072467747775,1221
alpha_02,1,0.01430487034871204,0.04278393234416338,1.3117305267546961,940
alpha_02,5,0.0005188839149791961,0.0015663608754144956,0.04792142801440074,936
alpha_02,20,-0.01723099857516038,-0.0585598524837781,-1.777173338031782,921
alpha_02,60,-0.042749164454684845,-0.15668514769430797,-4.650672798911641,881
alpha_03,1,0.0031868881796398895,0.09954252825493545,3.561341757283667,1280
alpha_03,5,0.007534548729537016,0.22509251547165748,8.040561753089971,1276
alpha_03,20,0.01750437804646934,0.492565450894107,17.491275889016883,1261
alpha_03,60,0.032115417274256555,0.8515102960798338,29.75416284601011,1221
alpha_04,1,0.007720454481006768,0.10891389079941839,3.8966218163438153,1280
alpha_04,5,0.012022036757972858,0.16021013237884119,5.722888920422557,1276
alpha_04,20,0.020095090154897407,0.24766035362813968,8.7945582951829,1261
alpha_04,60,0.03379290104351344,0.42712992208131273,14.925119891702943,1221
alpha_05,1,0.0020682836810089447,0.05589446472084362,1.9997411629083224,1280
alpha_05,5,0.00392109808869243,0.10346047168869696,3.6957262211658506,1276
alpha_05,20,0.008893011197065951,0.20487338881673112,7.275169136622331,1261
alpha_05,60,0.016221452687725988,0.331066181512537,11.568382816838215,1221
alpha_06,1,0.005248330365069779,0.0849694442227588,3.0399592526794477,1280
alpha_06,5,0.010182765735817452,0.15807675083604175,5.646682094967531,1276
alpha_06,20,0.020093390370944073,0.29824050019125303,10.590687716027162,1261
alpha_06,60,0.03781499033759766,0.6304876763709217,22.031011347141842,1221
alpha_07,1,0.004345103340786329,0.08227800022596313,2.870311405384515,1217
alpha_07,5,0.007495300542933784,0.14715372557875753,5.1250919590210415,1213
alpha_07,20,0.011982461849562075,0.22815123336611356,7.896801654670176,1198
alpha_07,60,0.02037499134214846,0.41640007786784855,14.169844416026228,1158
alpha_08,1,0.0009348725657741464,0.03148904481168817,1.126586315927549,1280
alpha_08,5,0.0034059629942732876,0.10906139113304054,3.8957974610822994,1276
alpha_08,20,0.010788074771026588,0.2993776815222148,10.631069663968466,1261
alpha_08,60,0.020768903010870803,0.6181652754999726,21.600432029597496,1221
