alpha,horizon,ic_mean,icir,tstat,n
alpha_v1,5,0.007534548729537016,0.22509251547165748,8.040561753089971,1276
alpha_v1,20,0.01750437804646934,0.492565450894107,17.491275889016883,1261
alpha_v1,60,0.032115417274256555,0.8515102960798338,29.75416284601011,1221
alpha_v2,5,0.007506800630252387,0.22418629162952386,8.008190402361006,1276
alpha_v2,20,0.01745436976564008,0.4918423221060165,17.465597179491436,1261
alpha_v2,60,0.03210513288839292,0.8533266794005904,29.817632384036113,1221
alpha_v3,5,0.007855119435109316,0.2208418495362149,7.888723110769651,1276
alpha_v3,20,0.017858473280624367,0.4813006560898573,17.091256696853414,1261
alpha_v3,60,0.03315275957225384,0.8774947840096529,30.66213388158469,1221
alpha_v4,5,0.0057144640745075866,0.17105199745157618,6.110172724387916,1276
alpha_v4,20,0.01424130756501404,0.4245499662359608,15.07600781708589,1261
alpha_v4,60,0.027434850959919505,0.8635817837739036,30.175974551983057,1221
alpha_v5,5,0.006630253481002011,0.22144463654478674,7.910255351218545,1276
alpha_v5,20,0.015720003853404066,0.5046942726992892,17.92197716540172,1261
alpha_v5,60,0.029232694923431186,0.9086678137237921,31.751407149081448,1221
alpha_v6,5,0.007191167581165099,0.21707268745560374,7.754084336117123,1276
alpha_v6,20,0.01721761131099794,0.4976564196230201,17.672059048733296,1261
alpha_v6,60,0.03245019334264762,0.8861194502830275,30.963503960105058,1221
alpha_v7,5,0.005769036939349755,0.2022572213603922,7.224858964985853,1276
alpha_v7,20,0.013370450612150009,0.43668860815503513,15.507057811232066,1261
alpha_v7,60,0.024391716255197107,0.7516767699792387,26.265698869985552,1221
alpha_v8,5,0.006812876792617155,0.21591462604578132,7.712717059821701,1276
alpha_v8,20,0.015865398269027605,0.47109225417658646,16.728750609739773,1261
alpha_v8,60,0.029038917784607238,0.812879972322473,28.40431076652,1221
