ic_mean,icir,tstat,n,alpha,horizon
0.022658603781541903,0.28156755793634275,11.339869040892243,1622,alpha_sum_none,20
0.040066119547374324,0.5072737116787271,20.17648905440226,1582,alpha_sum_none,60
0.018728529301455278,0.27169590074963595,10.925418858647037,1617,alpha_sum_size,20
0.03568301313615938,0.5582543947646472,22.169096678601164,1577,alpha_sum_size,60
0.016050566128090322,0.4128966035769496,16.587963674485316,1614,alpha_sum_ind,20
0.03162592549800638,0.8475212039167085,33.62427558733696,1574,alpha_sum_ind,60
0.011832951997786497,0.338323084441807,13.562494339619553,1607,alpha_sum_indxsize,20
0.0246132132327228,0.7520470876324732,29.770047801436796,1567,alpha_sum_indxsize,60
0.022734312618695168,0.27156912577415354,10.937191572776033,1622,alpha_med_none,20
0.03898181634320127,0.4705516567118201,18.715892687910067,1582,alpha_med_none,60
0.01870008476351136,0.26911250032979445,10.821535319776931,1617,alpha_med_size,20
0.03493898902762873,0.5640412932930091,22.398902864002704,1577,alpha_med_size,60
0.014881520759137136,0.4399962215143197,17.67668049618654,1614,alpha_med_ind,20
0.030150215945805244,0.9444345546844243,37.46918377281544,1574,alpha_med_ind,60
0.010405186223138305,0.3025041571300989,12.126606511516462,1607,alpha_med_indxsize,20
0.02175820411585934,0.6978782546602135,27.62575554440687,1567,alpha_med_indxsize,60
