alpha,year,ls_sharpe,ls_mean_monthly,q5_excess_monthly,n
alpha_01,2020,1.498640796661589,0.006593869491411418,0.0026462636835235687,13
alpha_01,2021,1.443027695728892,0.009847659459596314,0.0035526830683331977,12
alpha_01,2022,0.7660297653368963,0.00664685940710779,0.0032093949966225215,12
alpha_01,2023,2.566638807695232,0.009278223102814577,0.0037221051386290916,12
alpha_01,2024,1.1156110253814788,0.006229033477206349,0.0037368150726413314,12
alpha_01,2025,,-0.007023525337118498,-0.002926540384643326,3
alpha_02,2020,,-0.0021903529153362473,-0.006380236672672308,4
alpha_02,2021,-1.7272107494732674,-0.04443405625102176,-0.05257441547060874,6
alpha_02,2022,-0.7062932149625849,-0.014841735995595936,-0.014978718270808829,8
alpha_02,2023,-0.2628075226047651,-0.003931867136312696,-0.004052750548448497,12
alpha_02,2024,0.2802978519169267,0.007460338672429783,0.01064549062870999,12
alpha_02,2025,,-0.022353771238041557,-0.015049006300652295,3
alpha_03,2020,1.2381022485508215,0.003941686603195723,0.001967057144617996,13
alpha_03,2021,3.584194130942558,0.011962414506014325,0.005683035366366974,12
alpha_03,2022,1.5911584526973588,0.004716001511887738,0.0019167729253041083,12
alpha_03,2023,5.079574257402231,0.009127968644850187,0.004033729871453241,12
alpha_03,2024,1.3743610674469169,0.006370794134267204,0.0031974489522156382,12
alpha_03,2025,,-0.004849752150080387,-0.0015794712400954633,3
alpha_04,2020,2.037448586638193,0.008680685407588078,0.0005688975127959434,13
alpha_04,2021,0.6845114291024783,0.004272704569914525,0.0046559951700848486,12
alpha_04,2022,0.29940353843450923,0.0020020575425385326,0.0029045641933361467,12
alpha_04,2023,0.4159245329380736,0.002335721344550968,0.0020082797300062967,12
alpha_04,2024,0.21922107542267508,0.0022805959963194196,0.0026287757163551903,12
alpha_04,2025,,-0.007442265571930187,-0.003188150465772196,3
alpha_05,2020,0.6027308170807558,0.0019969441801698817,0.00044140221857528333,13
alpha_05,2021,0.3888030462143922,0.0021533062512180605,0.0013806081820524896,12
alpha_05,2022,0.25744029501107246,0.0009917328183345457,0.000755090496830267,12
alpha_05,2023,4.812869845044625,0.009396863718036934,0.004908166345720377,12
alpha_05,2024,0.11583102329792189,0.0008517132538760991,0.0010289840499322009,12
alpha_05,2025,,0.002131953340840903,0.0017038652225274849,3
alpha_06,2020,1.5373785909598978,0.006321370806820766,0.0012746407689016442,13
alpha_06,2021,1.3233723900734569,0.008771045346607118,0.0048945909892601155,12
alpha_06,2022,0.5853445972770032,0.0040443360568424265,0.004255590893919744,12
alpha_06,2023,1.2992316424175998,0.005282636578409264,0.0019603444020491073,12
alpha_06,2024,0.9595826609122988,0.005047579546300962,0.002927205948124959,12
alpha_06,2025,,-0.006458254825936457,-0.0032959243042400867,3
alpha_07,2020,2.1942682548136343,0.0200485103672295,0.009490532522389628,9
alpha_07,2021,0.7647271229273228,0.004714155512832752,0.0008773722888655872,13
alpha_07,2022,0.3901064579258262,0.0020740544235218037,0.001535808249111318,12
alpha_07,2023,0.9917761809610931,0.0037199720996650035,0.0016014872905106958,12
alpha_07,2024,-0.1996930033875319,-0.0008138611398023976,-0.00205761108545301,12
alpha_07,2025,,-0.007906736740676951,-0.003324594148686806,2
alpha_08,2020,0.9919002433023191,0.0036336463805242284,0.00283847688469617,13
alpha_08,2021,2.5560144664098834,0.009150597599651233,0.003886057646704768,12
alpha_08,2022,0.8801876896756458,0.0023214397464587145,0.0013664545348194392,12
alpha_08,2023,2.422110952800179,0.0065594428187481955,0.0026744803010236356,12
alpha_08,2024,1.733642843329136,0.007077938238086408,0.003545910333417345,12
alpha_08,2025,,-0.00428216483623714,-0.0025561265381471264,3
