alpha,year,ls_sharpe
alpha_v1,2020,1.2381022485508215
alpha_v1,2021,3.584194130942558
alpha_v1,2022,1.5911584526973588
alpha_v1,2023,5.079574257402231
alpha_v1,2024,1.3743610674469169
alpha_v2,2020,1.1874704049009903
alpha_v2,2021,3.5850018180419303
alpha_v2,2022,1.6228412384149724
alpha_v2,2023,5.135135961365703
alpha_v2,2024,1.411145035467891
alpha_v3,2020,1.178652294970894
alpha_v3,2021,2.911612268752974
alpha_v3,2022,1.4012118985645576
alpha_v3,2023,5.654195498147656
alpha_v3,2024,1.3316771703592074
alpha_v4,2020,1.6094343034034058
alpha_v4,2021,3.3006635562954467
alpha_v4,2022,1.7611656617927194
alpha_v4,2023,4.307496219590744
alpha_v4,2024,1.6445113583687048
alpha_v5,2020,1.825704921373754
alpha_v5,2021,3.4026743408628977
alpha_v5,2022,1.891237199182158
alpha_v5,2023,4.926268853295524
alpha_v5,2024,1.551467545051632
alpha_v6,2020,1.5096416518437588
alpha_v6,2021,3.998065801252647
alpha_v6,2022,1.6273060516486257
alpha_v6,2023,4.400192231859965
alpha_v6,2024,1.1148465672524661
alpha_v7,2020,1.0826343169599677
alpha_v7,2021,2.811193543408111
alpha_v7,2022,1.5622733160925153
alpha_v7,2023,3.502172377940488
alpha_v7,2024,1.8136047622818658
alpha_v8,2020,0.9213104181877998
alpha_v8,2021,3.446307737711973
alpha_v8,2022,1.8741941525377857
alpha_v8,2023,4.9203800731093645
alpha_v8,2024,1.5353287241515443
