alpha,year,LS_mean,LS_std,Q5ex_mean,Q5ex_std,n,LS_sharpe,Q5ex_ir,LS_ann_ret,Q5ex_ann
alpha_sum_none,2018,0.0248,0.0772,0.0131,0.0382,6.0,1.1142,1.1865,0.3424,0.1687
alpha_sum_none,2019,0.0008,0.0241,-0.0008,0.0116,13.0,0.1096,-0.2483,0.0092,-0.01
alpha_sum_none,2020,0.0097,0.0091,0.0044,0.0065,12.0,3.6923,2.3482,0.123,0.0545
alpha_sum_none,2021,0.0109,0.0227,0.0039,0.013,12.0,1.6713,1.029,0.1396,0.0474
alpha_sum_none,2022,0.0059,0.0326,0.0027,0.0186,12.0,0.6258,0.5074,0.0729,0.0332
alpha_sum_none,2023,0.0092,0.0132,0.0039,0.006,12.0,2.4136,2.2465,0.116,0.0481
alpha_sum_none,2024,0.0054,0.024,0.0037,0.0118,12.0,0.7792,1.0769,0.0666,0.0449
alpha_sum_size,2018,0.025,0.077,0.0127,0.0382,6.0,1.1262,1.1541,0.3456,0.1637
alpha_sum_size,2019,0.0007,0.023,-0.0007,0.0105,13.0,0.1083,-0.2163,0.0087,-0.0078
alpha_sum_size,2020,0.0099,0.009,0.0048,0.0069,12.0,3.8031,2.4126,0.1256,0.0592
alpha_sum_size,2021,0.0114,0.0228,0.0039,0.0133,12.0,1.7304,1.0062,0.1458,0.0474
alpha_sum_size,2022,0.0072,0.0321,0.0031,0.0183,12.0,0.7768,0.5905,0.0898,0.0381
alpha_sum_size,2023,0.008,0.0124,0.0027,0.0053,12.0,2.2237,1.7298,0.1001,0.0325
alpha_sum_size,2024,0.0055,0.0236,0.0037,0.011,12.0,0.8034,1.1622,0.0678,0.0452
alpha_sum_ind,2018,0.0316,0.071,0.015,0.0362,6.0,1.5436,1.4321,0.4533,0.1951
alpha_sum_ind,2019,0.0053,0.0105,0.0016,0.007,13.0,1.7389,0.7765,0.065,0.0189
alpha_sum_ind,2020,0.0044,0.0107,0.0027,0.0077,12.0,1.4372,1.2222,0.0546,0.0332
alpha_sum_ind,2021,0.0126,0.011,0.0061,0.006,12.0,3.9688,3.4862,0.1627,0.0751
alpha_sum_ind,2022,0.0041,0.0121,0.0018,0.0076,12.0,1.1798,0.8008,0.0507,0.0213
alpha_sum_ind,2023,0.0093,0.006,0.0042,0.0053,12.0,5.3914,2.7641,0.1181,0.0517
alpha_sum_ind,2024,0.0064,0.0159,0.0034,0.0123,12.0,1.3882,0.9616,0.0791,0.0416
alpha_sum_indxsize,2018,0.0303,0.0713,0.0152,0.0356,6.0,1.4725,1.4728,0.4312,0.1978
alpha_sum_indxsize,2019,0.0074,0.0102,0.003,0.0045,13.0,2.5174,2.2866,0.0931,0.0361
alpha_sum_indxsize,2020,0.0028,0.0141,0.0026,0.0059,12.0,0.6761,1.5342,0.0335,0.0319
alpha_sum_indxsize,2021,0.0097,0.0111,0.0044,0.0054,12.0,3.0532,2.8136,0.1234,0.0539
alpha_sum_indxsize,2022,0.002,0.0093,0.0014,0.0053,12.0,0.7516,0.8974,0.0245,0.0166
alpha_sum_indxsize,2023,0.0066,0.0095,0.0028,0.0038,12.0,2.3924,2.6101,0.0815,0.0347
alpha_sum_indxsize,2024,0.0061,0.0137,0.0032,0.0084,12.0,1.5405,1.3149,0.0758,0.0388
alpha_med_none,2018,0.0257,0.0759,0.0116,0.0388,6.0,1.1714,1.0357,0.3554,0.1484
alpha_med_none,2019,0.0001,0.0259,-0.001,0.0127,13.0,0.0156,-0.2684,0.0014,-0.0117
alpha_med_none,2020,0.0106,0.0076,0.0052,0.004,12.0,4.84,4.543,0.1348,0.0642
alpha_med_none,2021,0.0091,0.022,0.0029,0.0135,12.0,1.4359,0.7402,0.1148,0.035
alpha_med_none,2022,0.0071,0.0333,0.0036,0.0186,12.0,0.742,0.6748,0.0892,0.0444
alpha_med_none,2023,0.0084,0.0141,0.0032,0.007,12.0,2.0654,1.5994,0.1055,0.0396
alpha_med_none,2024,0.0042,0.0249,0.0032,0.0101,12.0,0.5836,1.0806,0.0515,0.0386
