alpha,strategy,step_days,ic20,icir20,ic60,icir60,tov_q5_avg,tov_q1_avg,n,ann_ret,ann_vol,sharpe,max_dd,hit
v1_baseline,LS_net,20,0.0149,0.44,0.0302,0.9444,0.0969,0.096,82,0.1024,0.074,1.3226,-0.0185,0.7073
v1_baseline,LS_gross,20,0.0149,0.44,0.0302,0.9444,0.0969,0.096,82,0.1049,0.0738,1.3569,-0.0184,0.7073
v1_baseline,Q5_ex_net,20,0.0149,0.44,0.0302,0.9444,0.0969,0.096,82,0.0436,0.0384,1.113,-0.0134,0.6707
v1_baseline,Q5_ex,20,0.0149,0.44,0.0302,0.9444,0.0969,0.096,82,0.0448,0.0383,1.1463,-0.0133,0.6829
v2_ema20,LS_net,20,0.0148,0.4384,0.03,0.9522,0.0924,0.0916,82,0.1003,0.0744,1.2887,-0.0289,0.7073
v2_ema20,LS_gross,20,0.0148,0.4384,0.03,0.9522,0.0924,0.0916,82,0.1027,0.0742,1.3221,-0.027,0.7073
v2_ema20,Q5_ex_net,20,0.0148,0.4384,0.03,0.9522,0.0924,0.0916,82,0.0437,0.0394,1.0888,-0.0253,0.6829
v2_ema20,Q5_ex,20,0.0148,0.4384,0.03,0.9522,0.0924,0.0916,82,0.0448,0.0392,1.1207,-0.0234,0.6829
v3_ema60,LS_net,20,0.0147,0.4351,0.0297,0.9562,0.0872,0.0867,82,0.0978,0.074,1.267,-0.0291,0.7073
v3_ema60,LS_gross,20,0.0147,0.4351,0.0297,0.9562,0.0872,0.0867,82,0.1001,0.0737,1.2989,-0.026,0.7195
v3_ema60,Q5_ex_net,20,0.0147,0.4351,0.0297,0.9562,0.0872,0.0867,82,0.0413,0.0389,1.0428,-0.025,0.6951
v3_ema60,Q5_ex,20,0.0147,0.4351,0.0297,0.9562,0.0872,0.0867,82,0.0423,0.0387,1.0735,-0.0231,0.6951
v4_ema120,LS_net,20,0.0144,0.4246,0.0291,0.9582,0.08,0.0788,82,0.0951,0.0744,1.2262,-0.0277,0.7317
v4_ema120,LS_gross,20,0.0144,0.4246,0.0291,0.9582,0.08,0.0788,82,0.0971,0.0742,1.255,-0.025,0.7439
v4_ema120,Q5_ex_net,20,0.0144,0.4246,0.0291,0.9582,0.08,0.0788,82,0.0406,0.0388,1.0255,-0.0235,0.7073
v4_ema120,Q5_ex,20,0.0144,0.4246,0.0291,0.9582,0.08,0.0788,82,0.0416,0.0387,1.0536,-0.0216,0.7073
v5_consensus,LS_net,20,0.0129,0.3929,0.0273,0.9168,0.1293,0.1336,82,0.0997,0.0746,1.2784,-0.027,0.7073
v5_consensus,LS_gross,20,0.0129,0.3929,0.0273,0.9168,0.1293,0.1336,82,0.1031,0.0744,1.3243,-0.0232,0.7195
v5_consensus,Q5_ex_net,20,0.0129,0.3929,0.0273,0.9168,0.1293,0.1336,82,0.0435,0.0388,1.1004,-0.0242,0.7073
v5_consensus,Q5_ex,20,0.0129,0.3929,0.0273,0.9168,0.1293,0.1336,82,0.0451,0.0386,1.1443,-0.0223,0.7073
v6_sticky_10pct,LS_net,20,0.0149,0.44,0.0302,0.9444,0.0729,0.0712,82,0.0982,0.0737,1.2771,-0.0195,0.7317
v6_sticky_10pct,LS_gross,20,0.0149,0.44,0.0302,0.9444,0.0729,0.0712,82,0.1001,0.0735,1.3032,-0.0195,0.7317
v6_sticky_10pct,Q5_ex_net,20,0.0149,0.44,0.0302,0.9444,0.0729,0.0712,82,0.0429,0.0379,1.1109,-0.0139,0.7195
v6_sticky_10pct,Q5_ex,20,0.0149,0.44,0.0302,0.9444,0.0729,0.0712,82,0.0438,0.0378,1.1367,-0.0122,0.7195
v7_bimonthly,LS_net,40,0.0149,0.44,0.0302,0.9444,0.1606,0.1594,41,0.1481,0.0968,1.4348,-0.0132,0.8049
v7_bimonthly,LS_gross,40,0.0149,0.44,0.0302,0.9444,0.1606,0.1594,41,0.1523,0.0966,1.4774,-0.0127,0.8049
v7_bimonthly,Q5_ex_net,40,0.0149,0.44,0.0302,0.9444,0.1606,0.1594,41,0.0668,0.0498,1.3022,-0.0092,0.7561
v7_bimonthly,Q5_ex,40,0.0149,0.44,0.0302,0.9444,0.1606,0.1594,41,0.0688,0.0497,1.3437,-0.009,0.7805
v8_horizon_blend,LS_net,20,0.019,0.3268,0.0314,0.5666,0.0943,0.0933,81,0.0762,0.0351,2.0995,-0.0189,0.7037
v8_horizon_blend,LS_gross,20,0.019,0.3268,0.0314,0.5666,0.0943,0.0933,81,0.0785,0.0349,2.1703,-0.0186,0.7037
v8_horizon_blend,Q5_ex_net,20,0.019,0.3268,0.0314,0.5666,0.0943,0.0933,81,0.032,0.0205,1.5402,-0.0132,0.6914
v8_horizon_blend,Q5_ex,20,0.019,0.3268,0.0314,0.5666,0.0943,0.0933,81,0.0332,0.0204,1.6035,-0.0131,0.6914
