alpha,split,period,n,ls_net_sharpe,ls_net_ann_ret,ls_max_dd,q5ex_net_ir,q5ex_net_ann,q5ex_max_dd,tov_q5_avg
v1_baseline,Train,2018-2021,43,1.3431,0.1359,-0.0183,1.1215,0.056,-0.0133,0.1226
v1_baseline,Validate,2022-2023,24,2.4127,0.0802,-0.0126,1.7728,0.0338,-0.0071,0.0768
v1_baseline,Test,2024-2025,15,0.9474,0.0451,-0.0185,0.868,0.0239,-0.0134,0.0574
v1_baseline,Full,2018-2025,82,1.3226,0.1024,-0.0185,1.113,0.0436,-0.0134,0.0969
v2_ema20,Train,2018-2021,43,1.2523,0.1281,-0.0289,1.0379,0.0532,-0.0253,0.118
v2_ema20,Validate,2022-2023,24,2.7453,0.0851,-0.0127,1.863,0.0346,-0.0089,0.0718
v2_ema20,Test,2024-2025,15,0.9993,0.0472,-0.0182,1.0616,0.0312,-0.0124,0.0539
v2_ema20,Full,2018-2025,82,1.2887,0.1003,-0.0289,1.0888,0.0437,-0.0253,0.0924
v3_ema60,Train,2018-2021,43,1.2028,0.1221,-0.0291,0.9803,0.05,-0.025,0.111
v3_ema60,Validate,2022-2023,24,2.6649,0.0806,-0.0121,1.7717,0.032,-0.008,0.0652
v3_ema60,Test,2024-2025,15,1.2004,0.0574,-0.0111,1.1554,0.0313,-0.0087,0.0556
v3_ema60,Full,2018-2025,82,1.267,0.0978,-0.0291,1.0428,0.0413,-0.025,0.0872
v4_ema120,Train,2018-2021,43,1.2119,0.1232,-0.0277,0.9488,0.0484,-0.0235,0.1022
v4_ema120,Validate,2022-2023,24,2.6806,0.0802,-0.0114,2.2009,0.0381,-0.0063,0.0585
v4_ema120,Test,2024-2025,15,0.8243,0.0405,-0.0168,0.816,0.0223,-0.0134,0.0523
v4_ema120,Full,2018-2025,82,1.2262,0.0951,-0.0277,1.0255,0.0406,-0.0235,0.08
v5_consensus,Train,2018-2021,43,1.3385,0.1383,-0.027,1.1403,0.0584,-0.0242,0.1555
v5_consensus,Validate,2022-2023,24,2.9127,0.0748,-0.0055,2.4132,0.0349,-0.004,0.109
v5_consensus,Test,2024-2025,15,0.7117,0.0329,-0.0198,0.5475,0.0155,-0.0134,0.0887
v5_consensus,Full,2018-2025,82,1.2784,0.0997,-0.027,1.1004,0.0435,-0.0242,0.1293
v6_sticky_10pct,Train,2018-2021,43,1.2793,0.1292,-0.0194,1.1045,0.0548,-0.0139,0.096
v6_sticky_10pct,Validate,2022-2023,24,2.2961,0.081,-0.0168,1.5763,0.0334,-0.0097,0.0536
v6_sticky_10pct,Test,2024-2025,15,0.9673,0.0398,-0.0195,1.1008,0.0244,-0.0121,0.039
v6_sticky_10pct,Full,2018-2025,82,1.2771,0.0982,-0.0195,1.1109,0.0429,-0.0139,0.0729
v7_bimonthly,Train,2018-2021,22,1.2547,0.1743,-0.0124,1.0377,0.0707,-0.0091,0.1844
v7_bimonthly,Validate,2022-2023,12,3.3275,0.1139,-0.0131,3.2864,0.0595,-0.0068,0.1452
v7_bimonthly,Test,2024-2025,7,2.6569,0.1262,-0.0132,2.4612,0.0672,-0.0092,0.1154
v7_bimonthly,Full,2018-2025,41,1.4348,0.1481,-0.0132,1.3022,0.0668,-0.0092,0.1606
v8_horizon_blend,Train,2018-2021,42,2.5046,0.0835,-0.0109,1.7629,0.0325,-0.011,0.1203
v8_horizon_blend,Validate,2022-2023,24,2.5603,0.0826,-0.0135,1.7343,0.0343,-0.0111,0.0739
v8_horizon_blend,Test,2024-2025,15,0.9289,0.0457,-0.0189,0.9381,0.0269,-0.0132,0.056
v8_horizon_blend,Full,2018-2025,81,2.0995,0.0762,-0.0189,1.5402,0.032,-0.0132,0.0943
