alpha,period,n_rebalances,ls_gross_sharpe,ls_net_sharpe,q5_excess_ir,q1_excess_ir,ls_net_max_dd,q5_max_dd,avg_t_q5,avg_t_q1,ls_cost_bps_avg,ic_mean,ic_ir
alpha_01,full,87,1.802832405116106,1.714404111795436,1.2009351552236216,-2.0200306810092084,-0.0736011094069261,-0.04232062636788825,0.6465091138983501,0.673308144284293,6.599086290913215,0.08287178885414494,15.10999350235417
alpha_01,train,60,1.8587586170425068,1.7615288539013745,1.0976549184249609,-2.2163481419965856,-0.06339420680042585,-0.02250682089504219,0.6426416165167367,0.6742992078126643,6.584704121647002,0.08136724601918559,16.283724879940642
alpha_01,validate,12,2.460392258262386,2.3656723749629482,2.408871192897732,-2.1718104510381986,-0.02790089417492747,-0.006958032972837147,0.6392587701414246,0.6746133727447914,6.569360714431079,0.09093945427064856,17.304838249677825
alpha_01,test,15,1.3494640787906234,1.2855535978031607,1.0784041144859124,-1.4248861876693126,-0.07360110940692621,-0.04232062636788814,0.6677793784303445,0.6682997074024092,6.680395429163768,0.08236689665880943,11.290827243322832
alpha_02,full,87,1.7721622259546037,1.7007340058772087,1.0065704836341174,-2.0841072507167597,-0.0770035985299673,-0.03117470034017611,0.6053839245988628,0.6231792165181301,6.142815705584964,0.09241504648584095,14.836514142404512
alpha_02,train,60,1.7538028392329057,1.6767891925864564,0.8843192498128786,-2.1684539007339074,-0.06087366082106649,-0.027105294111793632,0.6022749472135744,0.6234238146143357,6.12849380913955,0.09110304421554978,15.541701309266596
alpha_02,validate,12,2.256818090755168,2.1780360026811665,1.637033507444256,-2.1802515262166544,-0.0236715066081713,-0.008710182728907112,0.5991745995461979,0.6260098108568636,6.125922052015307,0.0943424744062201,16.28192809716252
alpha_02,test,15,1.5788707220917455,1.5256915243604454,1.0250865210635922,-1.8181165427443748,-0.0770035985299673,-0.031174700340175998,0.6227872941821484,0.619936348662321,6.213618214222348,0.09622248692438955,12.254019457489619
alpha_03,full,85,1.5359689528511276,1.506174861262995,1.1113694332845552,-1.7444134715261632,-0.13538222118551457,-0.04492921599760591,0.3067353815206567,0.3077019836481578,3.0721868258440725,0.09445157281531666,13.204396599136048
alpha_03,train,58,1.8029197474510918,1.7655167464345727,1.1212611146469285,-2.171450220242464,-0.052153615175052126,-0.03466065785612904,0.30977131244183775,0.3126758280210175,3.1122357023142757,0.09073656971067288,14.057919994790911
alpha_03,validate,12,2.3900584134328793,2.354810445442635,1.9747024881343858,-2.3444078941840734,-0.04610208197361376,-0.014426167005077262,0.2919021987155376,0.3033866706411112,2.976444346783244,0.11789489438522106,17.441387658032333
alpha_03,test,15,0.9261266884278462,0.9087564844555104,0.827895377734706,-0.9763356767266455,-0.13538222118551457,-0.04492921599760591,0.3068629948695188,0.29192203581207116,2.99392515340795,0.08989236254904977,9.358561598498838
alpha_04,full,87,0.9449913764826702,0.8281994046055319,0.4418025617150635,-1.2315976318360524,-0.11178438850341788,-0.06346304433640582,0.8046902425908549,0.7752961066026086,7.899931745967314,0.046938749755280264,8.136234483913398
