alpha,stack,ic_full,ic_ir_full,ic_test
alpha_01,full,0.008714617323860797,2.143886069645003,0.006495033641757815
alpha_01,vol,0.01709993505061713,3.4735291976539417,0.015011835458990926
alpha_01,rev,0.06801727747810421,12.993232280086094,0.05686607177555465
alpha_01,volrev,0.007275687935363071,1.701808079401196,9.764293481757378e-05
alpha_02,full,0.008922459037538301,1.467552045872806,0.003943315583394933
alpha_02,vol,0.028045273212963632,4.007770479850703,0.035480027104695444
alpha_02,rev,0.07487348421843287,11.600733156953806,0.056805720947906285
alpha_02,volrev,0.011355199060108288,1.7764257260068015,0.0012514390783122512
alpha_03,full,0.016559867453387358,4.20516844717334,0.017004570062343446
alpha_03,vol,0.03224584688011475,6.898638962398167,0.029972868379424006
alpha_03,rev,0.08523326454188787,12.722459841060711,0.07508865210688809
alpha_03,volrev,0.028827072429875044,6.908769660472411,0.026088611330587815
alpha_04,full,0.005877324870782237,1.758800427042301,-0.0009107817451710214
alpha_04,vol,0.030077281155321146,5.4361540064146565,0.04685004586221484
alpha_04,rev,0.000811580938520814,0.18000508401230558,-0.010041128842959664
alpha_04,volrev,0.005935609463697508,1.5623452250369017,-0.0008516299277550081
alpha_05,full,-0.013458431369496286,-1.8454820267955347,-0.001346294168135578
alpha_05,vol,0.013455232510144249,2.134814958906336,0.011580801451464558
alpha_05,rev,0.05247203496637676,11.380581330216119,0.034322740415778936
alpha_05,volrev,0.008164512398242896,1.3989816374647939,0.0023133919177789116
alpha_06,full,0.003354620114456097,0.5446134675811684,0.004912520205498418
alpha_06,vol,0.008873346112594572,1.3528864834745096,0.0022029079484953192
alpha_06,rev,0.07869776344118722,11.592289442621057,0.06415222184409164
alpha_06,volrev,0.008335465999000811,1.3152574221196975,0.001049199687370094
alpha_07,full,0.007638918039453978,3.989546621623468,0.007386819547140796
alpha_07,vol,0.007698978730923382,2.896240263878474,0.005012277189205385
alpha_07,rev,0.003963071107486358,1.6534364823982604,0.004541035615588805
alpha_07,volrev,0.004690334269564079,2.06747748991337,0.003806908294350299
alpha_08,full,0.019588435514830926,2.992177530744088,0.012685977734601126
alpha_08,vol,0.04136834276960156,5.199491444944531,0.05092033191774163
alpha_08,rev,0.08479649985578684,15.479181238855704,0.06933059530791935
alpha_08,volrev,0.027233173444888025,3.7459347352565873,0.017301898394132487
