ts_code,etf_name,group,weeks_held,pct_weeks
515980.SH,AI_ETF,科技成长,56,0.14854111405835543
512690.SH,酒ETF,大消费,55,0.14588859416445624
515210.SH,钢铁ETF,周期资源,53,0.14058355437665782
159890.SZ,云计算ETF,科技成长,52,0.13793103448275862
512010.SH,医药ETF,大消费,48,0.1273209549071618
159980.SZ,有色ETF,周期资源,42,0.11140583554376658
159713.SZ,稀土ETF,周期资源,41,0.10875331564986737
515880.SH,通信ETF,科技成长,39,0.10344827586206896
515080.SH,红利ETF,红利,37,0.09814323607427056
512200.SH,房地产ETF,地产链,35,0.09283819628647215
515220.SH,煤炭ETF,周期资源,33,0.08753315649867374
515030.SH,新能源车ETF,新能源,33,0.08753315649867374
159779.SZ,消费电子ETF,科技成长,31,0.08222811671087533
512660.SH,军工ETF,高端制造,30,0.07957559681697612
512480.SH,半导体ETF,科技成长,30,0.07957559681697612
