spec,ann_ret,ann_vol,sharpe,max_dd,turnover_ann,worst_year_sharpe,best_year_sharpe,sharpe_ex_best_year,n_weeks,family
A7_lam10_m4_t4_b,0.2697900301859,0.19842047388557352,1.3596884681440906,-0.14617614237337517,19.316037735849058,-0.377263024346909,3.242236701520019,1.2373154974761975,424,A
A2_lam10_m4_t4,0.26433907253438793,0.20174187233765836,1.310283628635902,-0.16015357634673077,20.133647798742135,-0.4731760113806316,3.242236701520019,1.1976492913991785,424,A
A6_lam10_m4_t8,0.2559388219249974,0.20175505606399052,1.2685621214063723,-0.15531386604650776,19.60220125786163,-0.35480149820706397,2.6902318096738482,1.0844461325191812,424,A
A1_lam05_m4_t4,0.2692494699405701,0.23094317572466516,1.1658689160037117,-0.22286546527119366,22.218553459119494,-0.3360748079713708,2.352186257638334,1.1055398093407394,424,A
A4_lam10_m8_t4,0.211876131221721,0.18966751780021143,1.117092339685192,-0.17459778839267226,15.023584905660378,-0.5727507708432703,2.544344812960135,1.0562265573038285,424,A
A5_lam10_m12_t4,0.21225890568020556,0.190973068239254,1.11145989137214,-0.264775873396895,12.570754716981131,-0.703023756797527,2.7447768478847623,0.915410457693511,424,A
A8_lam00_pure_m4,0.2302505972079072,0.25042441701274737,0.9194414824022001,-0.36572843714249514,22.913522012578618,-0.5867966660182489,2.087170827896161,0.9080445800934256,424,A
A3_lam15_m4_t4,0.1725986568436595,0.18861775179546317,0.9150711171174665,-0.17364373958681645,17.35377358490566,-0.7223505738467331,1.793886361600819,0.9055014315422445,424,A
B2_m4_K8_t4,0.2528313502109847,0.19887753784729648,1.271291634780371,-0.16571755818694178,24.753144654088047,-0.2941186910276804,3.4031979665945133,1.1698788247214662,424,B
B6_m4_K10_t8,0.23315684613611376,0.19456923476525034,1.1983232930808396,-0.1452651375564623,22.504716981132077,-0.03397303977904056,3.7098613666085205,1.1065600086098069,424,B
B3_m4_K14_t4,0.22161473197150183,0.18546554228014897,1.1949105437426693,-0.18306761865775534,21.932389937106915,-0.1653231585782518,2.0400825582608793,1.0689627175828043,424,B
B8_m4_K10_dturn,0.24601381391192856,0.2073928506786796,1.1862212853859926,-0.18690423511065468,26.020440251572325,-0.6572197310482341,2.2551848990382473,1.0325540303159997,424,B
B1_m4_K10_t4,0.21835408033746262,0.19220290625433187,1.136060242754739,-0.14165814799237564,22.83176100628931,-0.11178525678954793,2.103751463231323,1.0988960181417091,424,B
B5_m12_K10_t4,0.1934721436886453,0.19022243941960526,1.0170837062070874,-0.308337776166005,16.863207547169807,-1.0916748645389178,2.103921516559744,0.8825297511297229,424,B
B7_m4_K10_t4_br,0.14488840954870774,0.1688393866391039,0.8581434251381662,-0.16542968048646367,21.952830188679243,-0.5715281447203833,2.919021142490891,0.8358220473974277,424,B
B4_m8_K10_t4,0.16161386516185505,0.1895558510205786,0.8525923325063172,-0.2681842149883372,19.520440251572328,-1.3163139820727856,2.4106140590415386,0.8423738023210103,424,B
C1_rev1w,0.05369526752229481,0.22185204891909086,0.24203187567529477,-0.3479931347142965,45.39779874213836,-1.4625615222099169,1.7815899874968055,0.17702140239992245,424,C
C2_rev2w,0.036193115874846304,0.22210287269368137,0.1629565409753296,-0.4425419336338934,35.62735849056604,-2.0735230923529024,1.448109267522021,0.22505119326614098,424,C
C7_rev2w_long,0.036193115874846304,0.22210287269368137,0.1629565409753296,-0.4425419336338934,35.62735849056604,-2.0735230923529024,1.448109267522021,0.22505119326614098,424,C
C4_rev4w,0.014499842964407872,0.19874222734160166,0.072958037948751,-0.38353555077351786,25.407232704402514,-1.5391526989393973,1.3539023948468427,0.010438090425922641,424,C
C6_rev4w_crowdx,0.014004847077233151,0.21586634280540923,0.0648774000394202,-0.3699021315974791,24.875786163522008,-0.9382857575486365,1.0473241310420154,0.13914473330199015,424,C
C3_rev3w,-0.007323138354201286,0.21808038723647724,-0.03357999518893178,-0.4340687625899866,29.127358490566035,-2.0792741904750014,1.2740456108195475,0.03805986274115017,424,C
C5_rev2w_crowdx,-0.01489758064482738,0.23045565325055992,-0.06464402341490916,-0.4585845553958269,34.23742138364779,-1.961736932845341,1.169177062215935,0.002241234688570295,424,C
C8_rev2w_LS,-0.1868420235693622,0.21417790571501302,-0.8723683376471886,-0.8159549123789827,68.22955974842768,-1.7705810619852769,-0.08834080379838997,-0.946562776431922,424,C
EQW_BENCH,0.15670653947924684,0.18582144983195356,0.8433178172969988,-0.28324372365799333,0.06132075471698112,-1.177863977276593,2.150283569914286,0.7506542531352921,424,bench
