ts_code,etf_name,group,weeks_held,pct_weeks
159890.SZ,云计算ETF,科技成长,94,0.2493368700265252
159980.SZ,有色ETF,周期资源,94,0.2493368700265252
515080.SH,红利ETF,红利,90,0.23872679045092837
515980.SH,AI_ETF,科技成长,73,0.19363395225464192
159779.SZ,消费电子ETF,科技成长,70,0.1856763925729443
159713.SZ,稀土ETF,周期资源,60,0.15915119363395225
515210.SH,钢铁ETF,周期资源,56,0.14854111405835543
561120.SH,家电ETF,大消费,55,0.14588859416445624
516750.SH,建材ETF,地产链,44,0.11671087533156499
159867.SZ,畜牧ETF,农业,43,0.11405835543766578
561360.SH,石油ETF,周期资源,33,0.08753315649867374
515230.SH,软件ETF,科技成长,30,0.07957559681697612
562500.SH,机器人ETF,高端制造,29,0.07692307692307693
159883.SZ,医疗器械ETF,大消费,24,0.0636604774535809
159869.SZ,游戏ETF,科技成长,23,0.0610079575596817
515170.SH,食品ETF,大消费,20,0.05305039787798409
512200.SH,房地产ETF,地产链,18,0.04774535809018567
515030.SH,新能源车ETF,新能源,18,0.04774535809018567
515220.SH,煤炭ETF,周期资源,14,0.03713527851458886
159326.SZ,电网设备ETF,新能源,9,0.023872679045092837
159892.SZ,非银ETF,大金融,9,0.023872679045092837
159857.SZ,光伏ETF,新能源,8,0.021220159151193633
515880.SH,通信ETF,科技成长,8,0.021220159151193633
159870.SZ,化工ETF,周期资源,8,0.021220159151193633
512010.SH,医药ETF,大消费,5,0.013262599469496022
