etf_name,ts_code,first,last,n,group,years
黄金ETF,159934.SZ,2015-01-05,2026-04-22,2745,周期资源,11.293634496919918
医药ETF,512010.SH,2015-01-05,2026-04-22,2743,大消费,11.293634496919918
军工ETF,512660.SH,2016-08-08,2026-04-22,2355,高端制造,9.702943189596168
证券ETF,512880.SH,2016-08-08,2026-04-22,2355,大金融,9.702943189596168
银行ETF,512800.SH,2017-08-03,2026-04-22,2115,大金融,8.71731690622861
房地产ETF,512200.SH,2017-09-25,2026-04-22,2078,地产链,8.572210814510608
酒ETF,512690.SH,2019-05-06,2026-04-22,1690,大消费,6.962354551676934
半导体ETF,512480.SH,2019-06-12,2026-04-22,1664,科技成长,6.861054072553046
通信ETF,515880.SH,2019-09-06,2026-04-22,1603,科技成长,6.625598904859685
有色ETF,159980.SZ,2019-12-24,2026-04-22,1532,周期资源,6.327173169062286
红利ETF,515080.SH,2019-12-27,2026-04-22,1529,红利,6.31895961670089
AI_ETF,515980.SH,2020-02-10,2026-04-22,1505,科技成长,6.195756331279945
钢铁ETF,515210.SH,2020-03-02,2026-04-22,1490,周期资源,6.138261464750171
煤炭ETF,515220.SH,2020-03-02,2026-04-22,1490,周期资源,6.138261464750171
新能源车ETF,515030.SH,2020-03-04,2026-04-22,1488,新能源,6.132785763175907
创新药ETF,159992.SZ,2020-04-10,2026-04-22,1462,大消费,6.031485284052019
食品ETF,515170.SH,2021-01-13,2026-04-22,1276,大消费,5.270362765229295
光伏ETF,159857.SZ,2021-02-24,2026-04-22,1251,新能源,5.155373032169747
软件ETF,515230.SH,2021-03-02,2026-04-22,1247,科技成长,5.138945927446954
化工ETF,159870.SZ,2021-03-03,2026-04-22,1246,周期资源,5.136208076659822
游戏ETF,159869.SZ,2021-03-05,2026-04-22,1244,科技成长,5.130732375085558
畜牧ETF,159867.SZ,2021-03-05,2026-04-22,1244,农业,5.130732375085558
云计算ETF,159890.SZ,2021-04-02,2026-04-22,1224,科技成长,5.054072553045859
医疗器械ETF,159883.SZ,2021-04-30,2026-04-22,1205,大消费,4.97741273100616
电池ETF,159755.SZ,2021-06-24,2026-04-22,1170,新能源,4.826830937713894
稀土ETF,159713.SZ,2021-08-16,2026-04-22,1133,周期资源,4.681724845995893
非银ETF,159892.SZ,2021-10-19,2026-04-22,1094,大金融,4.506502395619439
建材ETF,516750.SH,2021-11-05,2026-04-22,1081,地产链,4.459958932238193
消费电子ETF,159779.SZ,2021-11-26,2026-04-22,1066,科技成长,4.402464065708419
机器人ETF,562500.SH,2021-12-29,2026-04-22,1043,高端制造,4.312114989733059
家电ETF,561120.SH,2022-02-15,2026-04-22,1015,大消费,4.180698151950718
石油ETF,561360.SH,2023-10-31,2026-04-22,600,周期资源,2.4750171115674195
电网设备ETF,159326.SZ,2024-09-09,2026-04-22,389,新能源,1.6153319644079398
航空航天ETF,159227.SZ,2025-05-16,2026-04-22,228,高端制造,0.9336071184120466
