year,ann_ret,sharpe,max_dd,n,spec
2019,0.15220248007912152,1.6575477738418607,-0.05108022766966713,51,A7_lam10_m4_t4_b
2020,0.5334612790046669,2.1991284284639008,-0.13574066028130927,52,A7_lam10_m4_t4_b
2021,0.24675249177484027,0.9522413860414783,-0.15647072146395613,55,A7_lam10_m4_t4_b
2022,-0.1675310551848257,-0.7357744782367345,-0.2494493867718156,50,A7_lam10_m4_t4_b
2023,0.2102426109586255,0.8786190249217525,-0.16290974126516256,50,A7_lam10_m4_t4_b
2024,-0.03298838411350569,-0.10540610879492124,-0.32236581398216846,51,A7_lam10_m4_t4_b
2025,0.7925911777579624,2.3887035021013023,-0.12465879895178944,53,A7_lam10_m4_t4_b
2026,0.07078361403110245,0.19921292827288622,-0.17794977902161924,15,A7_lam10_m4_t4_b
2019,0.04862876391038107,0.3310506675154149,-0.12848532912282096,51,A2_lam10_m4_t4
2020,0.5334612790046669,2.1991284284639008,-0.13574066028130927,52,A2_lam10_m4_t4
2021,0.24675249177484027,0.9522413860414783,-0.15647072146395613,55,A2_lam10_m4_t4
2022,-0.1675310551848257,-0.7357744782367345,-0.2494493867718156,50,A2_lam10_m4_t4
2023,0.2102426109586255,0.8786190249217525,-0.16290974126516256,50,A2_lam10_m4_t4
2024,-0.03298838411350569,-0.10540610879492124,-0.32236581398216846,51,A2_lam10_m4_t4
2025,0.7925911777579624,2.3887035021013023,-0.12465879895178944,53,A2_lam10_m4_t4
2026,0.07078361403110245,0.19921292827288622,-0.17794977902161924,15,A2_lam10_m4_t4
2019,0.0,,0.0,51,B6_m4_K10_t8
2020,0.176364876587509,1.1267759587552368,-0.06578154644456247,52,B6_m4_K10_t8
2021,0.22594674358292366,1.3445215246517686,-0.07980681519507693,55,B6_m4_K10_t8
2022,-0.18929780660140727,-0.8513290667587978,-0.2660286698569213,50,B6_m4_K10_t8
2023,0.07388539392489646,0.35117172335589075,-0.2246746421394087,50,B6_m4_K10_t8
2024,0.09666891970815272,0.3218732369921428,-0.27890878667885566,51,B6_m4_K10_t8
2025,0.65891490290567,2.6211755357513176,-0.10795881956195841,53,B6_m4_K10_t8
2026,0.1414567739632271,0.3915908402593129,-0.18763502961101364,15,B6_m4_K10_t8
2019,0.13934426338221173,0.7911741024016266,-0.10066364242071857,51,G_top3_1each
2020,0.5147993135887987,2.086280531021541,-0.13401755540422033,52,G_top3_1each
2021,0.3877388234744419,1.5902924079492637,-0.17301854387999083,55,G_top3_1each
2022,-0.17500781711696423,-0.8051023104971353,-0.2059006823045305,50,G_top3_1each
2023,0.1373643764163801,0.7665913145088858,-0.0959186782822653,50,G_top3_1each
2024,-0.1019167224327776,-0.3198519728874304,-0.2812222326457683,51,G_top3_1each
2025,0.5648162362462412,2.3745703520970545,-0.09329760749940474,53,G_top3_1each
2026,0.12373214314599545,0.43049762417233467,-0.12549327012624345,15,G_top3_1each
