name,ts_code,group
半导体ETF,512480.SH,科技成长
消费电子ETF,159779.SZ,科技成长
软件ETF,515230.SH,科技成长
通信ETF,515880.SH,科技成长
云计算ETF,159890.SZ,科技成长
AI_ETF,515980.SH,科技成长
游戏ETF,159869.SZ,科技成长
光伏ETF,159857.SZ,新能源
电池ETF,159755.SZ,新能源
新能源车ETF,515030.SH,新能源
电网设备ETF,159326.SZ,新能源
机器人ETF,562500.SH,高端制造
航空航天ETF,159227.SZ,高端制造
军工ETF,512660.SH,高端制造
银行ETF,512800.SH,大金融
证券ETF,512880.SH,大金融
非银ETF,159892.SZ,大金融
酒ETF,512690.SH,大消费
家电ETF,561120.SH,大消费
食品ETF,515170.SH,大消费
医药ETF,512010.SH,大消费
创新药ETF,159992.SZ,大消费
医疗器械ETF,159883.SZ,大消费
有色ETF,159980.SZ,周期资源
煤炭ETF,515220.SH,周期资源
钢铁ETF,515210.SH,周期资源
石油ETF,561360.SH,周期资源
化工ETF,159870.SZ,周期资源
稀土ETF,159713.SZ,周期资源
黄金ETF,159934.SZ,周期资源
房地产ETF,512200.SH,地产链
建材ETF,516750.SH,地产链
畜牧ETF,159867.SZ,农业
红利ETF,515080.SH,红利
