mom_w,turn_w,lambda,mu,top_n,gate,vol_target,rebalance_w,is_sharpe,is_calmar,is_ann_ret,is_max_dd,is_worst_year,ann_tov
4,4,0.5,0.0,3,none,none,1,0.6974311512437353,0.4479559572991035,0.15772768026643513,-0.3521053302146827,-0.7362594384479353,20.25287356321839
4,4,0.5,0.0,3,none,none,2,0.702526092820065,0.4207587255883061,0.16325394755594846,-0.3879989590891699,-0.8632512532525906,13.724137931034482
4,4,0.5,0.0,3,none,none,4,0.5960760574386665,0.443037376307092,0.1398952558193336,-0.31576400389831893,-0.35312489441004835,9.770114942528735
4,4,0.5,0.0,3,none,0.15,1,0.8422500726041697,0.49233571496274997,0.1296004567614979,-0.2632359441388554,-0.7941251148287753,12.471606376628031
4,4,0.5,0.0,3,none,0.15,2,0.7827936872881773,0.41112043772919316,0.1242950496636932,-0.3023324511674287,-0.9418945755615211,8.692917482645335
4,4,0.5,0.0,3,none,0.15,4,0.742914776284004,0.6455263778069869,0.11655296877087684,-0.18055492816085406,-0.2092663646358569,6.385220314362706
4,4,0.5,0.0,3,none,0.2,1,0.7884121611902338,0.4874495775009049,0.15283300345436635,-0.31353602610124864,-0.7143039903369596,16.006273881725125
4,4,0.5,0.0,3,none,0.2,2,0.7240957294603451,0.4004837685673304,0.14221431665132944,-0.35510631844101814,-0.8572695629346694,10.922387904221582
4,4,0.5,0.0,3,none,0.2,4,0.6709413642000063,0.5644046487117724,0.13182161613775012,-0.23355870019608604,-0.31686639040694936,8.009382836581793
4,4,0.5,0.0,3,br30,none,1,0.6367975729312938,0.3665002644129365,0.125242445346178,-0.34172538878462344,-1.6796066012984303,16.068965517241377
4,4,0.5,0.0,3,br30,none,2,0.7600964479538025,0.5088178081180796,0.15803202820661477,-0.3105866691087604,-1.347975194736838,10.597701149425287
4,4,0.5,0.0,3,br30,none,4,0.6022763802011158,0.41014128221117174,0.12950785343499005,-0.31576400389831916,-1.8152316627541785,7.632183908045977
4,4,0.5,0.0,3,br30,0.15,1,0.7505612627040478,0.40476889706612745,0.1095034449572152,-0.2705332493453061,-1.574153623051755,10.84653850240208
4,4,0.5,0.0,3,br30,0.15,2,0.8646121174149399,0.5241260595223194,0.13208709319357204,-0.2520139779234679,-1.3704529258353553,7.360055998920764
4,4,0.5,0.0,3,br30,0.15,4,0.7178172908593661,0.4680816876102901,0.10680663290554326,-0.22817947322576537,-1.9461871573696625,5.364117672258345
4,4,0.5,0.0,3,br30,0.2,1,0.7025653575772978,0.39653036343400483,0.1226919529018724,-0.30941376554204836,-1.6544875562367043,13.079124427344697
4,4,0.5,0.0,3,br30,0.2,2,0.8108946480366834,0.5091597389009844,0.14728667966681241,-0.2892740105192313,-1.3660606935553699,8.73018843421113
4,4,0.5,0.0,3,br30,0.2,4,0.6830138313091857,0.48880050612137976,0.12392187136052257,-0.25352238757655887,-1.9117528600489753,6.34173421087558
4,4,0.5,0.0,3,br40,none,1,0.8572599277951202,0.7870668112129625,0.16035243478422379,-0.2037342097262389,-0.9765849384527899,14.0
