year,ann_ret,vol,sharpe,max_dd,n_weeks,spec,family
2018,-0.08342828098898203,0.18606279680458565,-0.448387761668462,-0.11833992692741657,50,A7_lam10_m4_t4_b,A
2019,0.3720091407073365,0.1764247470082072,2.1085995418206878,-0.09315468398538473,51,A7_lam10_m4_t4_b,A
2020,0.4832547268158349,0.2557483675080257,1.8895711105591702,-0.12117915784407463,52,A7_lam10_m4_t4_b,A
2021,0.4298474449799523,0.15472167987484792,2.778197892678321,-0.05234307870508448,52,A7_lam10_m4_t4_b,A
2022,0.044932383268202036,0.191806915808802,0.2342584107498594,-0.14617614237337562,50,A7_lam10_m4_t4_b,A
2023,0.057285887761659104,0.1243224860091419,0.46078460623323325,-0.09042286032246327,50,A7_lam10_m4_t4_b,A
2024,0.4236550455207917,0.29664080087703704,1.4281752350594696,-0.10819383652078085,51,A7_lam10_m4_t4_b,A
2025,0.42305211579343416,0.1466486061921228,2.884801477343726,-0.08260945731315628,53,A7_lam10_m4_t4_b,A
2026,0.787074758904484,0.18494841634118883,4.255644760171969,-0.046347404399982306,15,A7_lam10_m4_t4_b,A
2018,-0.11626345379443515,0.2137224247795548,-0.5439927696607211,-0.16015357634673077,50,A2_lam10_m4_t4,A
2019,0.3720091407073365,0.1764247470082072,2.1085995418206878,-0.09315468398538473,51,A2_lam10_m4_t4,A
2020,0.4832547268158349,0.2557483675080257,1.8895711105591702,-0.12117915784407463,52,A2_lam10_m4_t4,A
2021,0.4298474449799523,0.15472167987484792,2.778197892678321,-0.05234307870508448,52,A2_lam10_m4_t4,A
2022,0.044932383268202036,0.191806915808802,0.2342584107498594,-0.14617614237337562,50,A2_lam10_m4_t4,A
2023,0.057285887761659104,0.1243224860091419,0.46078460623323325,-0.09042286032246327,50,A2_lam10_m4_t4,A
2024,0.4236550455207917,0.29664080087703704,1.4281752350594696,-0.10819383652078085,51,A2_lam10_m4_t4,A
2025,0.42305211579343416,0.1466486061921228,2.884801477343726,-0.08260945731315628,53,A2_lam10_m4_t4,A
2026,0.787074758904484,0.18494841634118883,4.255644760171969,-0.046347404399982306,15,A2_lam10_m4_t4,A
2018,-0.09429386068577983,0.2151584616367894,-0.4382530901571419,-0.15300199195217368,50,A6_lam10_m4_t8,A
2019,0.2684743550128541,0.16640653065467848,1.613364294998635,-0.12327340298239553,51,A6_lam10_m4_t8,A
2020,0.5179618798982613,0.26052526746666016,1.988144508726186,-0.11015053167499689,52,A6_lam10_m4_t8,A
2021,0.3390094319811092,0.16321631995133556,2.0770559713770536,-0.0753184726205054,52,A6_lam10_m4_t8,A
2022,0.017139751538050252,0.19584292083239685,0.08751785086333817,-0.15531386604650776,50,A6_lam10_m4_t8,A
2023,0.0682840264190081,0.1319487424690202,0.5175041848924046,-0.10965587491151851,50,A6_lam10_m4_t8,A
2024,0.451841243337046,0.2769018797563278,1.6317738389304686,-0.10312646329899178,51,A6_lam10_m4_t8,A
2025,0.4852121583721467,0.15177144587033373,3.196992395965502,-0.0746524731195084,53,A6_lam10_m4_t8,A
2026,0.7542999356488254,0.220016614367592,3.428377160592887,-0.06988524499030213,15,A6_lam10_m4_t8,A
2018,-0.07143762266502574,0.1910843088816604,-0.3738539448012315,-0.16571755818694178,50,B2_m4_K8_t4,B
2019,0.268568252473234,0.1729393598849796,1.5529619899822475,-0.1090102290825804,51,B2_m4_K8_t4,B
2020,0.40442029034025717,0.23764492980993535,1.70178379426696,-0.0790180585528375,52,B2_m4_K8_t4,B
2021,0.3488609296071705,0.18374969828886661,1.8985659995954833,-0.09217295107625312,52,B2_m4_K8_t4,B
2022,0.06610860867736612,0.21621854303176088,0.30574902480799376,-0.1224202021238141,50,B2_m4_K8_t4,B
2023,0.0738346201616149,0.11992569356382006,0.6156697365466794,-0.0729783378488068,50,B2_m4_K8_t4,B
2024,0.3802002033586358,0.27556847271493473,1.3796941268819916,-0.1481862671665849,51,B2_m4_K8_t4,B
2025,0.5336593569930117,0.16666635355604564,3.2019621573682278,-0.08351909663125423,53,B2_m4_K8_t4,B
2026,0.7116289854828917,0.1622936751229686,4.384822667572819,-0.029321972170019972,15,B2_m4_K8_t4,B
2018,-0.026754977378181888,0.203326103024238,-0.13158653503034232,-0.1452651375564623,50,B6_m4_K10_t8,B
2019,0.24006993357015016,0.176842434055201,1.3575357908453851,-0.12281545490840273,51,B6_m4_K10_t8,B
2020,0.46121599142769787,0.22701376223145375,2.0316653355908056,-0.07800654532011841,52,B6_m4_K10_t8,B
2021,0.25723721470725547,0.18385900933973137,1.3991004065073427,-0.07755092495747651,52,B6_m4_K10_t8,B
2022,0.10523319124358643,0.21070144494264828,0.4994421906894388,-0.13671066268087628,50,B6_m4_K10_t8,B
2023,0.059835903840005145,0.1268165859162741,0.47183026894849195,-0.08732491149113009,50,B6_m4_K10_t8,B
2024,0.41926730064118156,0.25778689280405326,1.6264104667255965,-0.11932343234193332,51,B6_m4_K10_t8,B
2025,0.2983545950754376,0.15844671642125235,1.882996390295782,-0.07115565197879681,53,B6_m4_K10_t8,B
2026,0.7061634580021223,0.14743769930442382,4.78957187567111,-0.02390667707451266,15,B6_m4_K10_t8,B
2018,-0.03759850462812042,0.18809197875137723,-0.199894247897826,-0.14165814799237564,50,B1_m4_K10_t4,B
2019,0.33490919771115046,0.1723010586022355,1.9437442835699748,-0.08430829465259859,51,B1_m4_K10_t4,B
2020,0.47635338392395177,0.22615536152518548,2.1063103731498463,-0.07779540292524845,52,B1_m4_K10_t4,B
2021,0.2194941506053918,0.17566997522470812,1.2494687855715014,-0.08213939649131718,52,B1_m4_K10_t4,B
2022,0.05549431558725959,0.2082921255099992,0.26642541311335144,-0.1398386220562493,50,B1_m4_K10_t4,B
2023,0.04674948130840506,0.12683113431638027,0.36859625643486305,-0.08336944856723583,50,B1_m4_K10_t4,B
2024,0.39795935000113003,0.26750033468072104,1.487696643356055,-0.12800981130188815,51,B1_m4_K10_t4,B
2025,0.30280995040422787,0.15731433920166255,1.924871896236066,-0.07115565197879681,53,B1_m4_K10_t4,B
2026,0.3282153987853773,0.13955137783977423,2.3519323410924504,-0.03455645690311837,15,B1_m4_K10_t4,B
2018,-0.3389143984781585,0.2587409055094688,-1.3098601390871134,-0.3479931347142965,50,C1_rev1w,C
2019,0.389917293105023,0.19588812809443146,1.9905100778596252,-0.12352690797356247,51,C1_rev1w,C
2020,0.32852288932795415,0.20326541285530428,1.6162262173044422,-0.09482687867487871,52,C1_rev1w,C
2021,-0.04337798059812503,0.22787827922843515,-0.19035592486039904,-0.20153808961876252,52,C1_rev1w,C
2022,0.12484427762669026,0.22611598558756943,0.5521249517245697,-0.13317539286012336,50,C1_rev1w,C
2023,-0.11067146098776026,0.15598954651971872,-0.7094799841204117,-0.20836962570401774,50,C1_rev1w,C
2024,0.07363860720663795,0.2759241049889121,0.26687993500820484,-0.1978957884789586,51,C1_rev1w,C
2025,0.1821688852211305,0.21064038870147692,0.8648335978875509,-0.1416663097154317,53,C1_rev1w,C
