basket,short_w,ratio,stay_off,fg_on_rate,combined_on_rate,full_sh,full_cal,full_dd,dd_2020,dd_2022,full_ann,ann_tov
V7gold,2,2.0,2,0.9045092838196287,0.5411140583554377,1.7397211955303638,2.321735066184775,-0.10946351895973261,-0.08531899890394723,-0.08275862068965556,0.2541452904367931,9.73626192673481
V7gb7030,2,2.0,2,0.9045092838196287,0.5411140583554377,1.6726759029622955,2.031587081707544,-0.11545246935424147,-0.06626528776755747,-0.056850240744960256,0.23455174529131306,10.030068236408797
V7gold,2,2.0,3,0.870026525198939,0.5225464190981433,1.731927780833412,2.0870693262400306,-0.12006805718040281,-0.08531899890394723,-0.08275862068965512,0.25059035920245276,9.520433754104351
V7gb7030,2,2.0,3,0.870026525198939,0.5225464190981433,1.6492812164654156,1.9302211939417944,-0.11835163345081989,-0.069244117089727,-0.0568502407449597,0.22844483122440318,9.836776199457576
V7gold,2,2.0,4,0.8408488063660478,0.506631299734748,1.6592066662075902,1.5634406150079858,-0.15328320294186115,-0.08531899890394723,-0.08275862068965523,0.2396491850778173,9.54964115245651
V7gb7030,2,2.0,4,0.8408488063660478,0.506631299734748,1.6135204353865553,1.5233324361728495,-0.1461707501493349,-0.0798418598202254,-0.056850240744960145,0.22266664492219923,9.88427824486481
V7gold,2,2.0,6,0.7851458885941645,0.47480106100795755,1.6809490451071758,1.9494163914991915,-0.12401356508569084,-0.08531899890394723,-0.08275862068965589,0.24175407654629755,8.9094518665724
V7gb7030,2,2.0,6,0.7851458885941645,0.47480106100795755,1.6396960574633441,1.9140286162985995,-0.11758852546020881,-0.0820645652462797,-0.05685024074495992,0.22506780267919613,9.305203874247999
V7gold,2,2.5,2,0.9496021220159151,0.5702917771883289,1.8655034311061807,2.8350930607558826,-0.0967718080697566,-0.08531899890394723,-0.08275862068965534,0.2743570815353671,9.545385504466557
V7gb7030,2,2.5,2,0.9496021220159151,0.5702917771883289,1.808970147638734,2.5429753514092788,-0.10047762844757979,-0.06626528776755747,-0.056850240744960034,0.2555121325102552,9.780324168576122
V7gold,2,2.5,3,0.9310344827586207,0.5596816976127321,1.830458032335198,2.4820545406568844,-0.10785255755745138,-0.08531899890394723,-0.08275862068965556,0.26769593020693017,9.364041336309713
V7gb7030,2,2.5,3,0.9310344827586207,0.5596816976127321,1.7469587810301024,2.125973071336759,-0.11544086386038066,-0.069244117089727,-0.05685024074495992,0.2454241678990221,9.636690353765776
V7gold,2,2.5,4,0.9151193633952255,0.5517241379310345,1.8319555497962843,2.481057397512038,-0.1078385194093695,-0.08531899890394723,-0.08275862068965578,0.26755355631736166,9.228927546717959
V7gb7030,2,2.5,4,0.9151193633952255,0.5517241379310345,1.7556469318430765,2.134313164674479,-0.11545246935424158,-0.0798418598202254,-0.056850240744960145,0.24641172523693466,9.527939135117236
V7gold,2,2.5,6,0.883289124668435,0.53315649867374,1.735227344272403,1.6560654783600335,-0.15328320294186104,-0.08531899890394723,-0.08275862068965545,0.2538470208044712,9.14200849901569
V7gb7030,2,2.5,6,0.883289124668435,0.53315649867374,1.6788812711305112,1.6119392533545898,-0.14617075014933478,-0.0820645652462797,-0.056850240744960145,0.235618369857999,9.406883292258383
V7gold,2,3.0,2,0.986737400530504,0.596816976127321,1.9096468833583082,3.0287311014116542,-0.09416893398591808,-0.09416893398591797,-0.08275862068965545,0.28521237914993103,9.00922746040848
V7gb7030,2,3.0,2,0.986737400530504,0.596816976127321,1.8384735904770027,3.258077822321912,-0.08112963890675384,-0.08112963890675373,-0.05685024074495981,0.26432667725507963,9.122017039377274
V7gold,2,3.0,3,0.9814323607427056,0.596816976127321,1.9096468833583082,3.0287311014116542,-0.09416893398591808,-0.09416893398591797,-0.08275862068965545,0.28521237914993103,9.00922746040848
V7gb7030,2,3.0,3,0.9814323607427056,0.596816976127321,1.8384735904770027,3.258077822321912,-0.08112963890675384,-0.08112963890675373,-0.05685024074495981,0.26432667725507963,9.122017039377274
V7gold,2,3.0,4,0.9761273209549072,0.596816976127321,1.9096468833583082,3.0287311014116542,-0.09416893398591808,-0.09416893398591797,-0.08275862068965545,0.28521237914993103,9.00922746040848
V7gb7030,2,3.0,4,0.9761273209549072,0.596816976127321,1.8384735904770027,3.258077822321912,-0.08112963890675384,-0.08112963890675373,-0.05685024074495981,0.26432667725507963,9.122017039377274
V7gold,2,3.0,6,0.9655172413793104,0.596816976127321,1.9096468833583082,3.0287311014116542,-0.09416893398591808,-0.09416893398591797,-0.08275862068965545,0.28521237914993103,9.00922746040848
V7gb7030,2,3.0,6,0.9655172413793104,0.596816976127321,1.8384735904770027,3.258077822321912,-0.08112963890675384,-0.08112963890675373,-0.05685024074495981,0.26432667725507963,9.122017039377274
V7gold,2,3.5,2,0.9893899204244032,0.5994694960212201,1.876513040360225,2.5649887516741834,-0.10943018248172565,-0.10943018248172542,-0.08275862068965545,0.28068718715927954,9.14048142779883
V7gb7030,2,3.5,2,0.9893899204244032,0.5994694960212201,1.788872119326673,2.4717992263085216,-0.10423446434158434,-0.10423446434158434,-0.05685024074495981,0.25764666831421135,9.235156603685141
V7gold,2,3.5,3,0.9840848806366048,0.596816976127321,1.9096468833583082,3.0287311014116542,-0.09416893398591808,-0.09416893398591797,-0.08275862068965545,0.28521237914993103,9.00922746040848
V7gb7030,2,3.5,3,0.9840848806366048,0.596816976127321,1.8384735904770027,3.258077822321912,-0.08112963890675384,-0.08112963890675373,-0.05685024074495981,0.26432667725507963,9.122017039377274
V7gold,2,3.5,4,0.9787798408488063,0.596816976127321,1.9096468833583082,3.0287311014116542,-0.09416893398591808,-0.09416893398591797,-0.08275862068965545,0.28521237914993103,9.00922746040848
V7gb7030,2,3.5,4,0.9787798408488063,0.596816976127321,1.8384735904770027,3.258077822321912,-0.08112963890675384,-0.08112963890675373,-0.05685024074495981,0.26432667725507963,9.122017039377274
V7gold,2,3.5,6,0.9681697612732095,0.596816976127321,1.9096468833583082,3.0287311014116542,-0.09416893398591808,-0.09416893398591797,-0.08275862068965545,0.28521237914993103,9.00922746040848
V7gb7030,2,3.5,6,0.9681697612732095,0.596816976127321,1.8384735904770027,3.258077822321912,-0.08112963890675384,-0.08112963890675373,-0.05685024074495981,0.26432667725507963,9.122017039377274
V7gold,3,2.0,2,0.9363395225464191,0.5649867374005305,1.8902208055201022,2.6020705705704708,-0.10783851940936962,-0.06688062098999747,-0.08275862068965545,0.2806034377290132,9.16318251829436
V7gb7030,3,2.0,2,0.9363395225464191,0.5649867374005305,1.8148429553577827,2.2424071380865276,-0.1154524693542418,-0.06045786239709583,-0.05685024074495981,0.2588914413896679,9.376553194004165
V7gold,3,2.0,3,0.9177718832891246,0.5570291777188329,1.9203702809136576,2.55080567286813,-0.11148522140118511,-0.06688062098999747,-0.08275862068965545,0.2843771351911024,9.053135613598842
V7gb7030,3,2.0,3,0.9177718832891246,0.5570291777188329,1.856063048665873,2.2334469945740865,-0.11835163345081989,-0.06952502315309894,-0.05685024074495981,0.2643321000336676,9.299133471466408
V7gold,3,2.0,4,0.8992042440318302,0.5490716180371353,1.7815784971971969,1.7244393971401888,-0.15328320294186104,-0.06688062098999747,-0.08275862068965545,0.26432759407278006,9.135680583767696
V7gb7030,3,2.0,4,0.8992042440318302,0.5490716180371353,1.7410956170900207,1.69684672233663,-0.1461707501493349,-0.06489843330995715,-0.05685024074495981,0.24802935829238537,9.36357847376099
V7gold,3,2.0,6,0.8620689655172413,0.5278514588859416,1.904896799615754,2.776739675481326,-0.10167963841286731,-0.06688062098999747,-0.08275862068965545,0.28233788616960376,8.857835253543882
V7gb7030,3,2.0,6,0.8620689655172413,0.5278514588859416,1.8715413741214328,2.6174729297793617,-0.10163813465098215,-0.07023909969088649,-0.05685024074495981,0.2660350660822155,9.118316576305318
V7gold,3,2.5,2,0.9708222811671088,0.583554376657825,1.9172427049143428,2.6380564883813458,-0.1078385194093695,-0.06688062098999747,-0.08275862068965545,0.2844841058253249,9.122636791855973
V7gb7030,3,2.5,2,0.9708222811671088,0.583554376657825,1.8398869711609718,2.2703311179430066,-0.11545246935424147,-0.0535733850889496,-0.05685024074495981,0.26211533381829577,9.271165404383028
V7gold,3,2.5,3,0.9628647214854111,0.5809018567639257,1.9562683946602204,2.6015737112091584,-0.111485221401185,-0.06688062098999747,-0.08275862068965545,0.29003702118565555,9.125347309213213
V7gb7030,3,2.5,3,0.9628647214854111,0.5809018567639257,1.8789782954866339,2.259530651093734,-0.11835163345081967,-0.0535733850889496,-0.05685024074495981,0.2674191433891375,9.273966545511113
V7gold,3,2.5,4,0.9549071618037135,0.5782493368700266,1.8106157161301986,1.7546876106766303,-0.15328320294186115,-0.06688062098999747,-0.08275862068965545,0.26896413712691536,9.269852028638391
V7gb7030,3,2.5,4,0.9549071618037135,0.5782493368700266,1.7572380070465348,1.7113854432899813,-0.14617075014933478,-0.0535733850889496,-0.05685024074495981,0.2501544940403484,9.403847152085847
V7gold,3,2.5,6,0.9389920424403183,0.5729442970822282,1.930786853099802,2.8153748282517426,-0.10167963841286709,-0.06688062098999747,-0.08275862068965545,0.28626629453332497,9.154101393453342
V7gb7030,3,2.5,6,0.9389920424403183,0.5729442970822282,1.8867062035330404,2.6341986011709855,-0.10163813465098182,-0.0535733850889496,-0.05685024074495981,0.26773503212324457,9.325502684705935
V7gold,3,3.0,2,1.0,0.6047745358090185,1.9113265088624845,3.2145010825115645,-0.08886689571606177,-0.08886689571606177,-0.08275862068965545,0.28566273247872287,9.059284911885467
V7gb7030,3,3.0,2,1.0,0.6047745358090185,1.8115638922773638,2.935644405997203,-0.08886689571606188,-0.08886689571606177,-0.05685024074495981,0.26088160528719384,9.136626734779261
V7gold,3,3.0,3,1.0,0.6047745358090185,1.9113265088624845,3.2145010825115645,-0.08886689571606177,-0.08886689571606177,-0.08275862068965545,0.28566273247872287,9.059284911885467
V7gb7030,3,3.0,3,1.0,0.6047745358090185,1.8115638922773638,2.935644405997203,-0.08886689571606188,-0.08886689571606177,-0.05685024074495981,0.26088160528719384,9.136626734779261
V7gold,3,3.0,4,1.0,0.6047745358090185,1.9113265088624845,3.2145010825115645,-0.08886689571606177,-0.08886689571606177,-0.08275862068965545,0.28566273247872287,9.059284911885467
V7gb7030,3,3.0,4,1.0,0.6047745358090185,1.8115638922773638,2.935644405997203,-0.08886689571606188,-0.08886689571606177,-0.05685024074495981,0.26088160528719384,9.136626734779261
V7gold,3,3.0,6,1.0,0.6047745358090185,1.9113265088624845,3.2145010825115645,-0.08886689571606177,-0.08886689571606177,-0.08275862068965545,0.28566273247872287,9.059284911885467
V7gb7030,3,3.0,6,1.0,0.6047745358090185,1.8115638922773638,2.935644405997203,-0.08886689571606188,-0.08886689571606177,-0.05685024074495981,0.26088160528719384,9.136626734779261
V7gold,3,3.5,2,1.0,0.6047745358090185,1.9113265088624845,3.2145010825115645,-0.08886689571606177,-0.08886689571606177,-0.08275862068965545,0.28566273247872287,9.059284911885467
V7gb7030,3,3.5,2,1.0,0.6047745358090185,1.8115638922773638,2.935644405997203,-0.08886689571606188,-0.08886689571606177,-0.05685024074495981,0.26088160528719384,9.136626734779261
V7gold,3,3.5,3,1.0,0.6047745358090185,1.9113265088624845,3.2145010825115645,-0.08886689571606177,-0.08886689571606177,-0.08275862068965545,0.28566273247872287,9.059284911885467
V7gb7030,3,3.5,3,1.0,0.6047745358090185,1.8115638922773638,2.935644405997203,-0.08886689571606188,-0.08886689571606177,-0.05685024074495981,0.26088160528719384,9.136626734779261
V7gold,3,3.5,4,1.0,0.6047745358090185,1.9113265088624845,3.2145010825115645,-0.08886689571606177,-0.08886689571606177,-0.08275862068965545,0.28566273247872287,9.059284911885467
V7gb7030,3,3.5,4,1.0,0.6047745358090185,1.8115638922773638,2.935644405997203,-0.08886689571606188,-0.08886689571606177,-0.05685024074495981,0.26088160528719384,9.136626734779261
