ts_code,etf_name,group,weeks_held,pct_weeks
515080.SH,红利ETF,红利,192,0.5092838196286472
512660.SH,军工ETF,高端制造,79,0.20954907161803712
512690.SH,酒ETF,大消费,61,0.16180371352785147
512200.SH,房地产ETF,地产链,57,0.15119363395225463
515030.SH,新能源车ETF,新能源,56,0.14854111405835543
515980.SH,AI_ETF,科技成长,56,0.14854111405835543
515210.SH,钢铁ETF,周期资源,54,0.14323607427055704
159890.SZ,云计算ETF,科技成长,52,0.13793103448275862
512010.SH,医药ETF,大消费,52,0.13793103448275862
515880.SH,通信ETF,科技成长,49,0.129973474801061
512480.SH,半导体ETF,科技成长,45,0.11936339522546419
159980.SZ,有色ETF,周期资源,43,0.11405835543766578
159713.SZ,稀土ETF,周期资源,42,0.11140583554376658
515220.SH,煤炭ETF,周期资源,38,0.10079575596816977
159867.SZ,畜牧ETF,农业,32,0.08488063660477453
562500.SH,机器人ETF,高端制造,32,0.08488063660477453
159779.SZ,消费电子ETF,科技成长,31,0.08222811671087533
159857.SZ,光伏ETF,新能源,30,0.07957559681697612
515230.SH,软件ETF,科技成长,28,0.07427055702917772
159934.SZ,黄金ETF,周期资源,27,0.07161803713527852
