trade_week,BASE_A_cash,B_A_red,C_ens_cash,BC_ens_red
2019-01-04,1.0,1.0,1.0,1.0
2019-01-11,1.0,1.0,1.0,1.0
2019-01-18,1.0,1.0,1.0,1.0
2019-01-25,1.0,1.0,1.0,1.0
2019-02-01,1.0,1.0,1.0,1.0
2019-02-15,1.0,1.0,1.0,1.0
2019-02-22,1.0,1.0,1.0,1.0
2019-03-01,1.0,1.0,1.0,1.0
2019-03-08,1.0,1.0,1.0,1.0
2019-03-15,1.0,1.0,1.0,1.0
2019-03-22,1.0,1.0,1.0,1.0
2019-03-29,1.0,1.0,1.0,1.0
2019-04-04,1.0,1.0,1.0,1.0
2019-04-12,1.0,1.0,1.0,1.0
2019-04-19,1.0,1.0,1.0,1.0
2019-04-26,1.0,1.0,1.0,1.0
2019-04-30,1.0,1.0,1.0,1.0
2019-05-10,1.0,1.0,1.0,1.0
2019-05-17,1.0,1.0,1.0,1.0
2019-05-24,1.0,1.0,1.0,1.0
2019-05-31,1.0,1.0,1.0,1.0
2019-06-06,1.0,1.0,1.0,1.0
2019-06-14,1.0,1.0,1.0,1.0
2019-06-21,1.0,1.0,1.0,1.0
2019-06-28,1.0,1.0,1.0,1.0
2019-07-05,1.0,1.0,1.003800188767378,1.003800188767378
2019-07-12,1.0,1.0,0.9919681774677851,0.9919681774677851
2019-07-19,1.0,1.0,0.994580021686188,0.994580021686188
2019-07-26,1.0,1.0,0.9939190826855746,0.9939190826855746
2019-08-02,1.0,1.0,0.9758892544013683,0.9758892544013683
2019-08-09,1.0,1.0,1.009174092759886,1.009174092759886
2019-08-16,1.0148481408279413,1.0148481408279413,1.0193574031985166,1.0193574031985166
2019-08-23,1.049379783533159,1.049379783533159,1.048825832149419,1.048825832149419
2019-08-30,1.0685011301437903,1.0685011301437903,1.0691840582301706,1.0691840582301706
2019-09-06,1.0925744429012214,1.0925744429012214,1.0841431247944375,1.0841431247944375
2019-09-12,1.0902504738711258,1.0902504738711258,1.0819560666913715,1.0819560666913715
2019-09-20,1.090090366284524,1.090090366284524,1.0787484719345428,1.0787484719345428
2019-09-27,1.055906361462546,1.055906361462546,1.0367686970015262,1.0367686970015262
2019-09-30,1.045640510955429,1.045640510955429,1.0235370873303884,1.0235370873303884
2019-10-11,1.0647686883329341,1.0647686883329341,1.0327710620070778,1.0327710620070778
2019-10-18,1.0607094819445808,1.0607094819445808,1.0235580901173291,1.0235580901173291
2019-10-25,1.0683262346650413,1.0683262346650413,1.027105133182683,1.027105133182683
2019-11-01,1.0870425352249657,1.0870425352249657,1.0415485397880069,1.0415485397880069
2019-11-08,1.0929226123647797,1.0929226123647797,1.0453661076154037,1.0453661076154037
2019-11-15,1.0983988917890894,1.0983988917890894,1.0550844296979915,1.0550844296979915
2019-11-22,1.078561164553078,1.078561164553078,1.034130442624491,1.034130442624491
2019-11-29,1.0677585726897065,1.0677585726897065,1.0268380670087451,1.0268380670087451
2019-12-06,1.1146999719668615,1.1146999719668615,1.0961422317152827,1.0961422317152827
2019-12-13,1.142058244856928,1.142058244856928,1.12044844401005,1.12044844401005
2019-12-20,1.1516722567765132,1.1516722567765132,1.1300431886274767,1.1300431886274767
2019-12-27,1.1463431962874304,1.1463431962874304,1.1238635148903982,1.1238635148903982
2020-01-03,1.1888146749666384,1.1888146749666384,1.1688866739294101,1.1688866739294101
2020-01-10,1.2106647913429318,1.2106647913429318,1.1844821381074893,1.1844821381074893
2020-01-17,1.2346244369322943,1.2346244369322943,1.2064437796923984,1.2064437796923984
2020-01-23,1.2443315308608291,1.2443315308608291,1.2204124819060496,1.2204124819060496
2020-02-07,1.2395786741409611,1.2395786741409611,1.2234872498798908,1.2234872498798908
2020-02-14,1.2700464399369609,1.2700464399369609,1.256577634252645,1.256577634252645
2020-02-21,1.4011252447374054,1.4011252447374054,1.3892705840879407,1.3892705840879407
2020-02-28,1.3306128059476068,1.3306128059476068,1.323850507626537,1.323850507626537
2020-03-06,1.3648720752517534,1.3648720752517534,1.3463369209351135,1.3463369209351135
2020-03-13,1.3389311779990452,1.3389311779990452,1.3264034551562032,1.3264034551562032
2020-03-20,1.2715684666775604,1.2715684666775604,1.2658104199704057,1.2658104199704057
2020-03-27,1.2713476935959627,1.2713476935959627,1.2656043116318125,1.2656043116318125
