trade_week,V1_BASE,V2_RED,V3_GOLD,V4_RED_GOLD,V5_HALF_RED,V6_HALF_GOLD,V7_ENS_GOLD,V8_A_vt10,V9_A_top5,V10_MA60_vt10
2019-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-04,1.0,1.0,1.002997924936846,1.002997924936846,1.0,1.001498962468423,1.002997924936846,1.0,1.0,1.0
2019-04-12,1.0,1.0,1.0037195061778077,1.0037195061778077,1.0,1.0018592138937712,1.0037195061778077,1.0,1.0,1.0
2019-04-19,1.0,1.0,0.9903702532200149,0.9903702532200149,1.0,0.995196958157957,0.9903702532200149,1.0,1.0,1.0
2019-04-26,1.0,1.0,0.9936173688043426,0.9936173688043426,1.0,0.9968284285811667,0.9936173688043426,1.0,1.0,1.0
2019-04-30,1.0,1.0,0.9943389500453043,0.9943389500453043,1.0,0.9971903851638032,0.9943389500453043,1.0,1.0,1.0
2019-05-10,1.0,1.0,1.0055234592802118,1.0055234592802118,1.0,1.002798676517228,1.0055234592802118,1.0,1.0,1.0
2019-05-17,1.0,1.0,1.022841409063294,1.022841409063294,1.0,1.0114341871869137,1.022841409063294,1.0,1.0,1.0
2019-05-24,1.0,1.0,1.0232021996837748,1.0232021996837748,1.0,1.011612570641444,1.0232021996837748,1.0,1.0,1.0
2019-05-31,1.0,1.0,1.0300572214729116,1.0300572214729116,1.0,1.0150012587306874,1.0300572214729116,1.0,1.0,1.0
2019-06-06,1.0,1.0,1.0600028429728245,1.0600028429728245,1.0,1.0297552174828146,1.0600028429728245,1.0,1.0,1.0
2019-06-14,1.0,1.0,1.0812894895811962,1.0812894895811962,1.0,1.0400948290947079,1.0812894895811962,1.0,1.0,1.0
2019-06-21,1.0,1.0,1.1040192986714918,1.1040192986714918,1.0,1.0510267567278357,1.1040192986714918,1.0,1.0,1.0
2019-06-28,1.0,1.0,1.1144822266654373,1.1144822266654373,1.0,1.056007112274422,1.1144822266654373,1.0,1.0,1.0
2019-07-05,1.0,1.0,1.114203606108771,1.114203606108771,1.0,1.0558751113853875,1.118531722466876,1.0,1.0,1.0
2019-07-12,1.0,1.0,1.114203606108771,1.114203606108771,1.0,1.0558751113853875,1.1053473456085368,1.0,1.0,1.0
2019-07-19,1.0,1.0,1.114203606108771,1.114203606108771,1.0,1.0558751113853875,1.1082577162630918,1.0,1.0,1.0
2019-07-26,1.0,1.0,1.114203606108771,1.114203606108771,1.0,1.0558751113853875,1.1075212337966864,1.0,1.0,1.0
2019-08-02,1.0,1.0,1.114203606108771,1.114203606108771,1.0,1.0558751113853875,1.0874306469327017,1.0,1.0,1.0
2019-08-09,1.0,1.0,1.114203606108771,1.114203606108771,1.0,1.0558751113853875,1.1245198485465222,1.0,1.0,1.0
2019-08-16,1.0148481408279413,1.0148481408279413,1.1307474581632742,1.1307474581632742,1.0148481408279413,1.071552893735956,1.1358670826801633,1.0148481408279413,1.0245143402143848,1.0148481408279413
2019-08-23,1.049379783533159,1.049379783533159,1.1692227389902874,1.1692227389902874,1.049379783533159,1.1080139958236481,1.1687036700425553,1.049379783533159,1.0601987050867385,1.049379783533159
2019-08-30,1.0685011301437903,1.0685011301437903,1.1905278123375083,1.1905278123375083,1.0685011301437903,1.128203749805987,1.191388784011736,1.0685011301437903,1.0707205452006685,1.0685011301437903
2019-09-06,1.0925744429012214,1.0925744429012214,1.2173503842228224,1.2173503842228224,1.0925744429012214,1.1536221615951547,1.2080576297420529,1.0925744429012214,1.0987767955627528,1.0925744429012214
2019-09-12,1.0902504738711258,1.0902504738711258,1.2147610095490047,1.2147610095490047,1.0902504738711258,1.1511683405366464,1.2056205970591227,1.0902504738711258,1.102867411953399,1.0902504738711258
2019-09-20,1.090090366284524,1.090090366284524,1.2145826170986476,1.2145826170986476,1.090090366284524,1.1509992869208097,1.202046383257931,1.090090366284524,1.1112547421991261,1.090090366284524
2019-09-27,1.055906361462546,1.055906361462546,1.1764946756547598,1.1764946756547598,1.055906361462546,1.1149052470218048,1.155268438314268,1.055906361462546,1.0852636219233536,1.055906361462546
2019-09-30,1.045640510955429,1.045640510955429,1.1650564279999567,1.1650564279999567,1.045640510955429,1.104065790974137,1.140524492933424,1.045640510955429,1.0732976498064735,1.045640510955429
2019-10-11,1.0647686883329341,1.0647686883329341,1.186369112212261,1.186369112212261,1.0647686883329341,1.1242627573932096,1.150813884901975,1.0647686883329341,1.098841883359228,1.0647686883329341
2019-10-18,1.0607094819445808,1.0607094819445808,1.1818463298164181,1.1818463298164181,1.0607094819445808,1.1199767423957707,1.1405478962797435,1.0607094819445808,1.0871619662957757,1.0607094819445808
2019-10-25,1.0683262346650413,1.0683262346650413,1.1903329431643939,1.1903329431643939,1.0683262346650413,1.1280190820228817,1.1445003563748413,1.0683262346650413,1.0947677502684638,1.0683262346650413
2019-11-01,1.0870425352249657,1.0870425352249657,1.2111867127412772,1.2111867127412772,1.0870425352249657,1.1477811579613142,1.1605946036656098,1.0870425352249657,1.1182220020261775,1.0870425352249657
2019-11-08,1.0929226123647797,1.0929226123647797,1.2177383158946558,1.2177383158946558,1.0929226123647797,1.15398978506627,1.1648485087409375,1.0929226123647797,1.125084088602943,1.0929226123647797
2019-11-15,1.0983988917890894,1.0983988917890894,1.223840006177281,1.223840006177281,1.0983988917890894,1.1597720522133905,1.1756776076593916,1.0983988917890894,1.1209911009784252,1.0983988917890894
2019-11-22,1.078561164553078,1.078561164553078,1.2017367389539149,1.2017367389539149,1.078561164553078,1.138825889758434,1.152328638894351,1.078561164553078,1.106984466771633,1.078561164553078
2019-11-29,1.0677585726897065,1.0677585726897065,1.1897004521444252,1.1897004521444252,1.0677585726897065,1.127419701871446,1.1442027652895932,1.0677585726897065,1.0997209141277329,1.0677585726897065
2019-12-06,1.1146999719668615,1.1146999719668615,1.242002728494823,1.242002728494823,1.1146999719668615,1.176983957061798,1.2214282007804167,1.1146999719668615,1.1445755484316453,1.1146999719668615
2019-12-13,1.142058244856928,1.142058244856928,1.272485414805843,1.272485414805843,1.142058244856928,1.2058708764969088,1.2485125446657235,1.1392425596808549,1.1724662701566406,1.1392425596808549
2019-12-20,1.1516722567765132,1.1516722567765132,1.2831973815558175,1.2831973815558175,1.1516722567765132,1.2160220724033612,1.2592039415628873,1.1475928876667036,1.1784545247300227,1.1475928876667036
2019-12-27,1.1463431962874304,1.1463431962874304,1.2772597231417098,1.2772597231417098,1.1463431962874304,1.2103952500658715,1.2523179485268572,1.1429571195880424,1.173766814176954,1.1429571195880424
