ts_code,etf_name,group,avg_weight,weeks_held,pct_weeks,dollar_time_yrs
159934.SZ,黄金ETF,周期资源,0.353026999822788,140,0.3713527851458886,2.559445748715213
512690.SH,酒ETF,大消费,0.026729125799571297,55,0.14588859416445624,0.1937861620468919
515980.SH,AI_ETF,科技成长,0.02492253587073113,55,0.14588859416445624,0.1806883850628007
512010.SH,医药ETF,大消费,0.024786614566279105,48,0.1273209549071618,0.17970295560552352
515210.SH,钢铁ETF,周期资源,0.02240407120400277,53,0.14058355437665782,0.16242951622902008
159890.SZ,云计算ETF,科技成长,0.022378434807603473,51,0.13527851458885942,0.16224365235512517
512200.SH,房地产ETF,地产链,0.01931805235327527,35,0.09283819628647215,0.1400558795612457
515880.SH,通信ETF,科技成长,0.019221358587771475,39,0.10344827586206896,0.13935484976134319
512480.SH,半导体ETF,科技成长,0.0173532077436359,30,0.07957559681697612,0.12581075614136025
159980.SZ,有色ETF,周期资源,0.01730815183698452,42,0.11140583554376658,0.12548410081813777
512660.SH,军工ETF,高端制造,0.016094540435272257,30,0.07957559681697612,0.11668541815572385
515080.SH,红利ETF,红利,0.015556735098545025,37,0.09814323607427056,0.11278632946445143
515220.SH,煤炭ETF,周期资源,0.014909600493080315,33,0.08753315649867374,0.10809460357483228
159713.SZ,稀土ETF,周期资源,0.013896226480611819,40,0.10610079575596817,0.10074764198443568
515030.SH,新能源车ETF,新能源,0.013144210909720615,33,0.08753315649867374,0.09529552909547445
159869.SZ,游戏ETF,科技成长,0.012573686639675877,24,0.0636604774535809,0.09115922813765011
159857.SZ,光伏ETF,新能源,0.01218086368208506,28,0.07427055702917772,0.08831126169511669
515230.SH,软件ETF,科技成长,0.012117211335802987,27,0.07161803713527852,0.08784978218457165
159779.SZ,消费电子ETF,科技成长,0.011051092568750049,30,0.07957559681697612,0.08012042112343785
159867.SZ,畜牧ETF,农业,0.009654756811913379,26,0.06896551724137931,0.069996986886372
515170.SH,食品ETF,大消费,0.009345354904982364,23,0.0610079575596817,0.06775382306112213
512800.SH,银行ETF,大金融,0.008138861393120301,14,0.03713527851458886,0.05900674510012219
561360.SH,石油ETF,周期资源,0.0074355046781271715,24,0.0636604774535809,0.05390740891642199
159992.SZ,创新药ETF,大消费,0.0069404894342281285,17,0.04509283819628647,0.05031854839815393
516750.SH,建材ETF,地产链,0.006829419120421354,19,0.050397877984084884,0.04951328862305482
