basket,full_sh,full_sortino,full_cal,full_dd,full_ann,is_sh,is_cal,is_dd,oos_sh,oos_cal,oos_dd,ann_tov
V7_gold,1.9113265088624845,3.3084451741345555,3.2145010825115645,-0.08886689571606177,0.28566273247872287,1.8555177066799724,2.93306573928661,-0.08886689571606177,2.0363541363772852,4.500495133718541,-0.07590363129403477,9.059284911885467
V7_gb_70_30,1.8115638922773638,2.9491710707816656,2.935644405997203,-0.08886689571606188,0.26088160528719384,1.773126527510204,2.6859588006012833,-0.08886689571606188,1.9042020556659736,4.004864732688822,-0.07749648370792195,9.136626734779261
V7_g_b5_silver,1.7155940534062308,2.865082814840569,2.7847906091915853,-0.08886689571606166,0.24747569665809643,1.6525064825557518,2.512327766657352,-0.08886689571606166,1.8532288393835983,3.9401358039021313,-0.07655309179015823,9.117979065304205
V7_gb10_50_50,1.7271201432909955,2.6996454063636364,2.753565885211664,-0.08886689571606199,0.24470085236841088,1.693508136692269,2.5150378056030456,-0.08886689571606199,1.8110805067139968,3.731920944710645,-0.07822449986588709,9.175262655410672
V7_gb_50_50,1.724511411043901,2.6825480089044493,2.7466118146461036,-0.08886689571606188,0.24408286570465876,1.6969669707821686,2.5170459220105665,-0.08886689571606188,1.7970824126571943,3.70075866939944,-0.07822418528108765,9.175156023814615
V7_gb_30_70,1.6273501131996266,2.4351807051423333,2.560888617858372,-0.08886689571606177,0.22757822174366948,1.6037786058565453,2.3456746437272513,-0.08886689571606177,1.6918966272037852,3.4341595859407064,-0.07864785612404368,9.197433871794292
V7_rp_g_b10,1.6042694613695856,2.364030841605379,2.5183880230348197,-0.08886689571606199,0.22380132581561485,1.6043428932701358,2.342813362069197,-0.08886689571606199,1.6238528882020844,3.286067461564532,-0.0786121008808297,9.291792751928122
V7_rp_g_b5,1.5795025417112156,2.2931299161779304,2.475269789614029,-0.08886689571606188,0.21996954226274834,1.5902190224474313,2.317274631558776,-0.08886689571606188,1.5792794104472914,3.186969320484426,-0.0787501572521826,9.281603176332913
V7_bond10,1.4608048770536288,2.1574208023573993,2.2905867980826558,-0.08886689571606166,0.20355733811379895,1.425796138026141,2.078554489012753,-0.08886689571606166,1.543748955724537,3.128112690077735,-0.07846426811531604,9.239707259057107
V7_bond5,1.4553651246102357,2.11769935156433,2.2780976421124786,-0.08886689571606177,0.20244746559261584,1.4322892260733417,2.082868729023517,-0.08886689571606177,1.5162768016897032,3.0624659373207597,-0.07867494832442568,9.242667049526764
