alpha,horizon,ic_mean,ic_std,ic_ir,icn_mean,icn_ir,n_dates
alpha_01,5,-0.05715657047819363,0.1556017227790471,-15.418946914952631,-0.04980183828447629,-17.44197112179019,1762
alpha_01,20,-0.0737394427783822,0.15625871604454916,-19.724320580027463,-0.059460489056672915,-21.274010690857757,1747
alpha_01,60,-0.06860701443193742,0.12442025841916968,-22.782122465953318,-0.05441551835312582,-24.70504667785954,1707
alpha_02,5,-0.033769873506470705,0.13999256477704228,-9.95770506498584,-0.024959602203645008,-10.101306752703474,1704
alpha_02,20,-0.0441367739747092,0.13799672115627665,-13.144577881817723,-0.02988809039398961,-11.94924211456674,1689
alpha_02,60,-0.04019532440355653,0.11302254231380134,-14.441782294593802,-0.02746410236170496,-13.607304158038676,1649
alpha_03,5,-0.022517606153842986,0.13846169934424718,-6.593916874927058,-0.016239376508163313,-6.584599783086322,1644
alpha_03,20,-0.03600072123555771,0.1372228524907378,-10.588764775008336,-0.02628997116075459,-10.500585568832326,1629
alpha_03,60,-0.04249986449930602,0.12506388333692123,-13.546203146845118,-0.03530600466661234,-16.107855165849084,1589
alpha_04,5,-0.024858885801249044,0.1258922877199775,-7.806601714422419,-0.016917101853349922,-7.385667360220268,1563
alpha_04,20,-0.03534498325375258,0.12490280496946889,-11.133739785217177,-0.024639436593918346,-10.366771070387765,1548
alpha_04,60,-0.03759563435230375,0.10608713029512651,-13.761804568910286,-0.031593725568387444,-16.12113091785558,1508
alpha_05,5,-0.015160712452556162,0.1541914746262098,-3.8884598873270897,-0.01098328269154793,-3.478786571059206,1564
alpha_05,20,-0.020060393400434216,0.1510636726113374,-5.226429729598724,-0.011137343215420994,-3.546177968871888,1549
alpha_05,60,-0.007016675354834665,0.13713113749584366,-1.9876500530106143,-4.601800343060088e-05,-0.017069064975285472,1509
alpha_06,5,-0.028755993887529665,0.10075855535021964,-11.846473554717956,-0.018939437295450827,-10.645642335045428,1723
alpha_06,20,-0.03560775846033173,0.09762741067949333,-15.07359344509423,-0.01976607944914881,-11.239202502607371,1708
alpha_06,60,-0.03415239351510301,0.07723769833511633,-18.058839810078705,-0.023529608785700776,-16.58265839648684,1668
alpha_07,5,-0.038325924460414405,0.14153330171080075,-11.109027943529082,-0.03175350763936684,-12.109659835652801,1683
alpha_07,20,-0.05549645962504543,0.1474872432987235,-15.367698916807344,-0.0431126794992331,-15.557622275980389,1668
alpha_07,60,-0.05901850112017534,0.12981620786554737,-18.343679648977083,-0.049712797987873855,-21.487647830850797,1628
alpha_08,5,-0.009621443227557301,0.13422147231289874,-2.833986076455854,-0.007792998578105055,-3.031853262776628,1563
alpha_08,20,-0.01682449977245071,0.13280286647215947,-4.9844838093057415,-0.014936627288316165,-5.794772561297117,1548
alpha_08,60,-0.026028366463987814,0.11308049229182378,-8.938402206659514,-0.024925731909585785,-11.179264007419768,1508
