alpha,horizon,ic_mean,ic_std,ic_ir,icn_mean,icn_ir
alpha_09,5,-0.008813613583308094,0.11317242941888765,-3.194886431750343,-0.006010206854941271,-2.914072433735168
alpha_09,20,-0.008884802609054502,0.10615913143753504,-3.418129009957641,-0.004521239370288361,-2.373084209797289
alpha_09,60,-0.0011957161109725544,0.09324244391348924,-0.5174181194760349,0.003415250601919136,2.1800007356858475
alpha_10,5,-0.00511408538932731,0.11265617783277261,-1.8623230586148711,0.0006768909685135467,0.35976375796247
alpha_10,20,-0.004985018860196808,0.10829169668309867,-1.8800511741814043,0.0032810891306758977,1.787302630902275
alpha_10,60,-0.0048438857058926525,0.09012828202488844,-2.1685028366350583,0.004187810629820982,2.760136327321394
alpha_11,5,0.002580121067092967,0.11373573165757583,0.9198013987968714,0.007073059406030284,3.551342179142295
alpha_11,20,0.0017278980957977667,0.1063249546843691,0.6559088063999482,0.008849053955131867,4.673945953642441
alpha_11,60,0.00795481627323119,0.10685041711033136,2.9676718709222927,0.012932104125206787,7.32188526101642
alpha_12,5,0.011699526336094532,0.09850844663194819,4.695418401032009,0.011411171301293615,6.274096148482644
alpha_12,20,0.014947396368144803,0.09195654301777753,6.39541002080964,0.015840958845705955,9.090738193839671
alpha_12,60,0.0237280683624895,0.08594261920076143,10.721473352488026,0.02038261717827361,13.101485544537368
alpha_13,5,0.0044527764353829305,0.11027974018394499,1.59681105544738,0.006003949522847117,2.768538544627734
alpha_13,20,0.007226090518728927,0.10348373860712735,2.7482548059623264,0.00955764750644758,4.581575464105205
alpha_13,60,0.022041061904761575,0.09668161033740033,8.855911315012548,0.020963883805411403,11.428734155051753
alpha_14,5,0.003223666563918997,0.11341226303427085,1.1660902288996158,0.006656270824835924,3.2831868930162873
alpha_14,20,0.0034500867977495194,0.11106032711942695,1.2687296695952637,0.010393858698787893,5.13281344354593
alpha_14,60,0.014472009988758376,0.1058101472462994,5.518597693934176,0.018524106428440167,10.431986973133112
alpha_15,5,0.015029533670184989,0.10520417251148699,5.647965431682339,0.012782885949250063,6.295815500765715
alpha_15,20,0.022257166101473276,0.10180849901198148,8.601442896338925,0.01859048154522922,9.447736877631915
alpha_15,60,0.030077335274767816,0.09390452133747859,12.438085116086906,0.024052804285228078,13.557326865825036
alpha_16,5,2.1535509648300368e-05,0.11357654052866734,0.007496283571670118,0.0007550611609014592,0.34239426660333905
alpha_16,20,0.0033821775610927197,0.10644000956769846,1.2501927531883485,0.003676343377242763,1.7754151325646772
alpha_16,60,0.013151318052975003,0.09420616683086334,5.421139945120109,0.011371015906586911,6.514608234172351
