trial,ls_full,ls_train,ls_valid,ls_test,q5_test,maxdd,worst_year_all,worst_year_active,on_frac
0,0.26978831136241216,0.024386275293818906,-0.2155479873497018,1.183025463014026,0.6887779988465452,-0.06280765346242256,-1.4653281179271413,-1.4653281179271413,0.4157303370786517
1,0.7515641737664353,0.8379892220445085,0.8367160640837843,0.20445618578731506,-0.913286735819611,-0.04967916844418463,-1.0301841321789158,-1.0301841321789158,0.4044943820224719
2,0.9369282927352822,1.1673739206967582,-0.017840720433018195,0.8286028093920099,-0.24416585884436712,-0.034160482960383654,-0.017840720433018195,-0.017840720433018195,0.33707865168539325
3,0.5153440841093544,0.47036619310413513,-0.033743509102616254,0.9951442055471154,0.8715147477766603,-0.06256360375650083,-1.454641601169681,-1.454641601169681,0.4157303370786517
4,0.6464733166513222,0.3879901063515577,-1.0914859952090865,2.2798714566744605,1.3125492987965302,-0.09245302305893144,-1.4653281179271413,-1.4653281179271413,0.34831460674157305
5,0.216963571941221,0.3554900223196137,-0.9904941334583433,0.46247803677069643,-0.6562608608395112,-0.05998629693256319,-1.1131572735574589,-1.1131572735574589,0.3707865168539326
6,1.0682091405216043,0.9569190347784727,1.9841572507914291,1.1992405562255348,0.6285071595329867,-0.03022397939774768,-1.0,-1.0,0.42696629213483145
7,0.45031028370495146,0.29892604783937093,-1.3479841063433795,1.7211324646543948,1.0352703119573732,-0.06673321820750988,-1.3479841063433795,-1.3479841063433795,0.42696629213483145
8,-0.07270832624236649,-0.10662818969843943,-0.5197297542337775,0.456058697696199,-0.036388899628151374,-0.08654912261978331,-1.2176239753765759,-1.2176239753765759,0.2696629213483146
9,0.9560645279963405,0.8928368885686122,0.42240524018983744,1.479840375001721,0.7759600416712102,-0.05744452585979887,-1.1131572735574589,-1.1131572735574589,0.3707865168539326
10,0.29027378792200814,0.22512879192360874,-0.4913331664026221,1.0615375561423461,-0.7781657565674829,-0.06840429605918519,-0.5764654454820283,-0.5764654454820283,0.30337078651685395
11,0.4500855134951248,0.6148707125097909,-1.1523888945099303,1.0300252988553258,0.9925309581475769,-0.07384115976360994,-1.1523888945099303,-1.1523888945099303,0.34831460674157305
12,0.2685601521545377,0.41377595775338766,-0.6319237597352951,0.5621915023348161,-0.8724832844463455,-0.06741321891057572,-1.0,-1.0,0.34831460674157305
13,0.40367379616733917,0.6219776991663606,0.7694060299324215,-0.622713013701997,-0.9824260889566085,-0.06037899175598638,-1.2209983492819414,-1.2209983492819414,0.34831460674157305
14,0.2195555358230037,-0.5126830793945613,1.4845721163898413,1.2313385466080042,1.2479843092876504,-0.10698727844231781,-1.243322472136233,-1.243322472136233,0.34831460674157305
15,-0.37670435971713623,-0.4425231483948988,-1.3050292511959136,0.7532289552710116,-0.6373096371792134,-0.15309351553486172,-1.4121825466557039,-1.4121825466557039,0.3146067415730337
16,0.5701381885358515,0.2705121803873811,1.5711697263794837,1.249439037089843,0.08005920740951826,-0.047718259295389864,-1.0301841321789158,-1.0301841321789158,0.3258426966292135
17,0.5528981282787024,0.6874583282195971,1.0933079577834655,-0.5432977394330274,-1.2468932280834448,-0.05979670316786112,-2.4638056511402087,-2.4638056511402087,0.3707865168539326
18,0.41801642724917637,0.5013558809521154,-0.17583667403543984,0.6089295163318592,0.6422867038732332,-0.055998429661261895,-1.3370804032956325,-1.3370804032956325,0.3595505617977528
19,0.3704037432986553,-0.05092651491287602,1.1034602448005741,1.638828267106426,1.0978311623485466,-0.09420953187685643,-1.3370804032956325,-1.3370804032956325,0.38202247191011235
20,0.49276984399003976,0.5733111964908976,-0.2894041362021459,0.8843727982322853,0.9843067421918589,-0.07147125800967369,-1.2591332765703733,-1.2591332765703733,0.449438202247191
21,0.18403690875432757,0.14283909183604201,-0.42738212940019904,0.7505664860999591,0.7434012203597526,-0.08655154393235032,-1.2591332765703733,-1.2591332765703733,0.4044943820224719
22,0.629891843917863,0.4015186469219339,1.33213123553278,1.3326584775135608,0.11586859152009478,-0.04701347892560237,-1.1131572735574589,-1.1131572735574589,0.33707865168539325
23,0.6361137581301778,0.5999746698025311,-0.45040170498760795,1.560549382808645,1.1160312779685841,-0.07529405135698386,-1.5216676008946701,-1.5216676008946701,0.4606741573033708
24,0.6568042150723233,0.44403135413321265,,1.6035676308089502,1.4031134069694942,-0.07874997161755026,-1.0301841321789158,-1.0301841321789158,0.33707865168539325
25,0.4589244991477097,0.5280333425941026,-0.10543727688935406,0.5235534850974246,0.5339577672767867,-0.059669047897364824,-1.1131572735574589,-1.1131572735574589,0.33707865168539325
26,0.6517014853462895,0.5580702096766356,0.10974330271538152,1.222438434922075,0.999020909273782,-0.05065999958690581,-1.0456645180538464,-1.0456645180538464,0.34831460674157305
27,0.446571640819603,0.4175546905107649,1.7729071431550438,-0.4185979128627118,-0.9568469142151537,-0.04925476055490041,-1.3370804032956325,-1.3370804032956325,0.33707865168539325
28,0.6339431325375731,0.7503793456148992,-0.3114889624339791,1.2086548610511716,-0.5880020542804172,-0.08062632935283498,-0.3114889624339791,-0.3114889624339791,0.3707865168539326
29,0.48470161133946554,0.4751892189159509,2.3621457545131572,-0.7731074096237259,-0.5461786618560686,-0.05311014850571638,-0.19409673062139643,-0.19409673062139643,0.38202247191011235
30,0.7509854758922331,0.7050524428068004,-0.47964219785126583,1.5691738086702394,0.6854438843602799,-0.055374577516063006,-1.1131572735574589,-1.1131572735574589,0.42696629213483145
31,0.182791398478583,0.04627425587040773,-0.5253717940275202,1.0831333227144122,-0.2275361427476507,-0.1119029469034809,-1.1131572735574589,-1.1131572735574589,0.43820224719101125
32,0.4925257312832132,0.3563652239923767,-0.6518425080940348,1.64601062832403,0.9798316924196818,-0.08904053574352899,-1.4653281179271413,-1.4653281179271413,0.42696629213483145
33,0.6249763759548119,0.5319852295801941,-0.051533648834638686,1.3352091322719344,0.5477606092916413,-0.06335905748236015,-1.0,-1.0,0.39325842696629215
34,0.38149598404347373,0.23427597125347574,-2.00182469070175,2.0284790240237385,0.8978764412874769,-0.10226329175403304,-2.00182469070175,-2.00182469070175,0.38202247191011235
35,0.41009455680946383,0.06906719769982984,1.3404616184322897,1.5148675609886153,-0.29818978355606535,-0.06280765346242256,-1.4653281179271413,-1.4653281179271413,0.3707865168539326
36,0.6172904322044062,0.45840653260299763,-0.27403534525751927,1.5481122817194541,1.3455213680789941,-0.05247678936277178,-1.2209766406908742,-1.2209766406908742,0.43820224719101125
37,0.4348626225193091,0.3286300660816235,0.6206081749239243,0.6297548864656943,0.8836274820974838,-0.05324069369601281,-1.0301841321789158,-1.0301841321789158,0.3146067415730337
38,-0.09068686855855487,-0.06014561085758614,-0.09217206229707453,-0.2739789005532895,-1.1025234533028603,-0.062100690071624554,-1.2591332765703733,-1.2591332765703733,0.29213483146067415
39,0.4519658807631179,0.37455002651723596,,0.82272334961183,0.7116101005669375,-0.08694095949891023,-1.512628190837657,-1.512628190837657,0.39325842696629215
40,0.5602390846680869,0.5317669442882486,0.44187198292969077,0.794923439017191,-0.7572229716865284,-0.06771915526219241,-0.556420751716764,-0.556420751716764,0.4606741573033708
41,0.20403472458671884,0.037569168366628845,-0.4890961568160706,1.279922785526422,-0.38783580462525563,-0.07874997161755026,-1.0301841321789158,-1.0301841321789158,0.47191011235955055
42,0.9760515629227078,1.1533266911082503,-0.12637448802622017,1.2695699495614958,0.6430710166743242,-0.05032359455055835,-0.12637448802622017,-0.12637448802622017,0.3258426966292135
43,0.12296817695574122,-0.12865608161015823,-0.5016428336581907,1.4111945078466834,0.686837279285014,-0.09227200657128665,-1.2591332765703733,-1.2591332765703733,0.3595505617977528
44,0.3900724805773578,0.22817903860916444,-0.43180010709121686,1.319924678162613,1.038960699688627,-0.09437588890003723,-1.2591332765703733,-1.2591332765703733,0.33707865168539325
45,0.7444714899161246,0.687361191626877,0.5747839363553054,1.0397348579753127,0.8754432480318679,-0.052657574819929276,0.0,0.19059449609818854,0.3707865168539326
46,0.444949914252935,0.2076517740684419,0.2625720955012964,1.3742361256279887,0.9357941798485072,-0.08655154393235032,-1.8441283917892266,-1.8441283917892266,0.39325842696629215
47,0.43700716332448547,0.3915287674299819,0.29043372267617984,0.7581239082429744,-0.22391834581839853,-0.09245221019610361,-1.2591332765703733,-1.2591332765703733,0.3595505617977528
48,0.6900187928110361,0.5792212089428224,0.6563966423540308,1.1236737231700549,1.0404105688588259,-0.08936974277414711,-1.3370804032956325,-1.3370804032956325,0.42696629213483145
49,0.57754450762048,0.6778628259782213,0.4913530050655223,0.05467047869549978,-0.881806047087517,-0.054911624203847764,-1.0,-1.0,0.38202247191011235
50,0.2140049280660328,0.31219605429015423,-0.8431715190629754,0.6826632868580463,0.9677661462521276,-0.06579901722473458,-1.1131572735574589,-1.1131572735574589,0.3258426966292135
51,0.01593587678514452,-0.3269618172078907,-0.45889642300244915,1.0477159388661013,1.0117628986836524,-0.1007224726052256,-1.5584991299098236,-1.5584991299098236,0.3146067415730337
52,0.3055235722534245,0.27946142552141173,-0.027198633272445396,0.691366892173573,0.9400721350660977,-0.0627883413490059,-1.0,-1.0,0.33707865168539325
53,0.4172045053837323,0.21354376260185237,0.1844262159461296,1.101344098670489,1.2320168154201432,-0.10357585181170281,-1.2591332765703733,-1.2591332765703733,0.4606741573033708
54,0.5867420397437972,0.7267021611701097,-0.9171597623718467,1.1489700368402405,-0.09266911564889148,-0.056258182173386184,-1.2591332765703733,-1.2591332765703733,0.3595505617977528
55,0.45274555859440185,0.14021102804346627,0.037340283778244,1.696182230691797,1.0487262975196139,-0.056136885644812895,-1.3370804032956325,-1.3370804032956325,0.3707865168539326
56,0.44609412976998286,0.4528617428299795,0.24158497263160275,0.6108705995340914,0.8037421008787606,-0.07939821849948281,-0.501814284754888,-0.501814284754888,0.30337078651685395
57,0.5366074259407688,0.4617196374461661,0.8283394019505069,0.6400791313732991,0.7145842157484608,-0.05247678936277189,0.0,0.13678129448801202,0.4044943820224719
58,0.6450805368003577,0.6448379208913132,-0.24937071311937936,1.1402739417694068,0.0626482810290453,-0.04631539542920393,-1.0,-1.0,0.38202247191011235
59,0.4109936501278202,0.3055349826556831,-0.9209710663325804,1.326567921746644,0.6792624970053867,-0.06974121492659835,-1.3688133756841783,-1.3688133756841783,0.42696629213483145
60,0.5856289595502888,0.5130754571661814,0.09089412241238826,1.1246657846417119,0.7138297399960823,-0.0523450572520312,-1.2591332765703733,-1.2591332765703733,0.449438202247191
61,0.5417458605058576,0.5048563572283258,0.27268675052003666,1.008546100615339,-0.7457543150292106,-0.09525220412363311,-1.3370804032956325,-1.3370804032956325,0.3707865168539326
62,1.0293169318607132,0.8658210357291777,1.1924156402707493,1.6041969216165397,-0.6258132027334645,-0.018861012556207202,-1.0,-1.0,0.3595505617977528
63,0.463662643345072,0.1303452720488414,1.17814115028848,1.5481647938467795,0.6429839582299901,-0.06280765346242256,-1.4653281179271413,-1.4653281179271413,0.29213483146067415
64,1.0101599973758344,0.7822343549070385,1.8332762054571166,1.5787108912996446,0.7269119453073818,-0.022482075656926837,-1.1131572735574589,-1.1131572735574589,0.3258426966292135
65,0.5730759911551242,0.449673971737984,0.794376149664362,0.833719448139156,0.9052612119805223,-0.029696644270055583,-1.1131572735574589,-1.1131572735574589,0.3146067415730337
66,0.4051175861736617,0.2283013538716678,0.1315250607617332,1.0519284205770822,1.3900770435447223,-0.055998429661261895,-1.3370804032956325,-1.3370804032956325,0.4044943820224719
67,0.44277835119779985,0.5928884660029836,-0.9502474241062474,0.755332245255102,-0.8957261990761841,-0.06435210416064219,-0.9635907102025069,-0.9635907102025069,0.30337078651685395
68,0.4273698392215176,0.141674521295048,0.3147044704204968,1.1541100809445368,1.2191438042822085,-0.0862217706915529,-1.1828420082267994,-1.1828420082267994,0.3258426966292135
69,0.37643599519408744,0.49156712555392706,-1.1682114486191995,0.936079431712195,-1.170976953400281,-0.0773733410065296,-1.2591332765703733,-1.2591332765703733,0.4157303370786517
70,0.645831411940322,0.5124521339863061,0.3288284552368763,1.2196229535890661,0.7539053482751699,-0.057764267523870094,-1.0301841321789158,-1.0301841321789158,0.43820224719101125
71,-0.12164378084703677,-0.023675973272168735,-0.9039190241671257,0.0579160703908356,-0.4485954110036609,-0.0956717910509236,-1.2591332765703733,-1.2591332765703733,0.34831460674157305
72,0.18055386163446902,0.12472026263876045,0.19413444675227354,0.4624790378909523,-0.37922862956844,-0.07473816812363088,-1.0301841321789158,-1.0301841321789158,0.2808988764044944
73,0.38721875978160863,0.07682589989066493,-1.2019019960347122,2.026137483618683,0.7458193054002702,-0.07778323883198779,-1.6106302597766937,-1.6106302597766937,0.3707865168539326
74,0.7546591847504412,0.6823656725567254,1.2563392990934914,0.9003221294798602,0.9937424278180542,-0.045409450045120314,-1.0301841321789158,-1.0301841321789158,0.3595505617977528
75,0.05644948585156914,-0.3917471410016812,0.021153689347403692,1.2258745188166114,0.5009030128072375,-0.09871105229360755,-1.5534346510550916,-1.5534346510550916,0.33707865168539325
76,1.1725378150684629,1.1960934431674566,0.6282853600171404,1.597121920725174,0.9266885696895532,-0.03154076535464956,-1.4653281179271413,-1.4653281179271413,0.43820224719101125
77,0.43693284432378954,0.7179659924176894,-0.26202226395220823,-0.4848838301051523,-0.6013330140126671,-0.045884642686318866,-1.0301841321789158,-1.0301841321789158,0.38202247191011235
78,0.7847308398316012,0.7351966291142018,-1.0771954853332992,1.8821522308673009,1.1675674311017903,-0.05934710207044536,-1.4653281179271413,-1.4653281179271413,0.3146067415730337
79,0.2984202834999829,0.2574881743039787,-1.3050292511959136,1.4017991355848807,1.1419137914419923,-0.115372204330639,-1.3050292511959136,-1.3050292511959136,0.3707865168539326
80,0.49285999450448725,0.07432396884669411,0.04093220142732359,1.9904988407402597,1.2259464297798837,-0.09548139320583549,-1.5216676008946701,-1.5216676008946701,0.43820224719101125
81,0.678040287107381,0.7037193135595073,-0.3302248955184209,1.1776803112462677,1.1015931497107694,-0.056136885644812895,-1.0,-1.0,0.33707865168539325
82,0.5696566039919063,0.3613671212613493,1.763983061873568,0.8196902887056533,0.7471325844096544,-0.059669047897364824,-1.2315298855230834,-1.2315298855230834,0.3595505617977528
83,0.7636822589927169,0.3818510885289033,1.1228416047324243,1.5735353862523689,0.7171435374628077,-0.07720565908997556,-1.0,-1.0,0.43820224719101125
84,1.1021277015645272,0.7908909577289457,1.7286233067253034,1.8654434484093707,0.8342346070312235,-0.043296310249144376,-1.0301841321789158,-1.0301841321789158,0.3707865168539326
85,1.014768877841238,1.0920371771755562,0.7802681770567058,1.0342199528331593,0.6011925995526742,-0.03964511410771021,-1.1131572735574589,-1.1131572735574589,0.4044943820224719
86,0.4842711752184871,0.4374668731420072,0.018736696553929878,0.9771088674135535,-0.5095350024874193,-0.06233405002868875,-1.5216676008946701,-1.5216676008946701,0.43820224719101125
87,0.09916611857395231,-0.07556149747910018,-0.5083320754042219,1.0785886371125348,0.9946193214763326,-0.08655154393235032,-1.2591332765703733,-1.2591332765703733,0.4157303370786517
88,0.022883039530011452,-0.16415259028412282,0.4310911648510055,0.4795762693394252,0.2976724894916582,-0.08104312975669015,-1.54210103739214,-1.54210103739214,0.30337078651685395
89,0.1910172718479461,0.21442817513850335,0.8103787762048824,-0.4232909788452948,-0.8941267887986951,-0.10236618273909726,-1.3370804032956325,-1.3370804032956325,0.42696629213483145
90,0.5298309351580235,0.4612429422050071,0.11659464873594982,1.0872793903598814,1.1078844372655217,-0.07444792621408292,-1.6918563053953282,-1.6918563053953282,0.39325842696629215
91,0.8672963799488506,0.8326898646393391,-0.48746154049810114,2.0008421547090514,0.712079365775602,-0.08812866440793687,-0.48746154049810114,-0.48746154049810114,0.43820224719101125
92,0.7243995800868803,0.5056805500943803,1.6494065961742785,1.2099088957679567,0.354237112676023,-0.06101667704868252,-1.0,-1.0,0.4157303370786517
93,0.26613383212584607,0.5486648739351465,-1.2797785862511948,0.5907070765566986,-0.7441029471590115,-0.08966049068267812,-1.2797785862511948,-1.2797785862511948,0.3146067415730337
94,1.103886184295688,1.030403295747866,-0.019367922333575496,2.0110937755032534,1.3803955466066289,-0.04072408420960316,-1.4653281179271413,-1.4653281179271413,0.42696629213483145
95,0.22721824306636065,-0.1485001829788624,-0.22871412032151772,1.4850242901910147,0.8200102116394319,-0.1072726816289612,-1.8321349045636344,-1.8321349045636344,0.4157303370786517
96,0.07006938505125818,-0.2647655330966696,1.4966578479756418,1.1453941703375936,0.4531120573439779,-0.07205683629722681,-1.1700618597919317,-1.1700618597919317,0.2696629213483146
97,0.36633923011551056,0.42969064259202416,-0.6111549567851879,0.9419610898411518,0.7497601550696099,-0.06731564038417759,-1.2591332765703733,-1.2591332765703733,0.3707865168539326
98,0.17271247155379008,0.22148902586949104,-0.7588527272210476,0.47102329247410424,0.7082020083433518,-0.05733598527469996,-1.3370804032956325,-1.3370804032956325,0.4157303370786517
99,0.5698829678235577,0.2578281835456731,0.2554848430562579,1.7387645539514693,0.40408196924553874,-0.06811550800698207,-1.4131278594815355,-1.4131278594815355,0.3707865168539326
