year,sharpe_ls,sharpe_q5_excess,ann_ret_ls,ann_ret_q5_excess,n_days,factor
2020,-1.5581022093473267,-1.4101629702099319,-0.12476513323674444,-0.060162609155330934,243,f1_ag_yoy_raw
2021,1.6160275423193673,1.5686737535156792,0.17404133060078733,0.08209704820485851,243,f1_ag_yoy_raw
2022,1.3715916729667552,1.2414801575314678,0.16479854230151952,0.07107837373732202,242,f1_ag_yoy_raw
2023,1.5373579688390027,0.811970252061833,0.13577280932494423,0.03635100365988768,242,f1_ag_yoy_raw
2024,0.240502862488691,0.06831346577891342,0.028514270463024086,0.005131285886520136,242,f1_ag_yoy_raw
2025,-1.5942466659272996,-1.258908951647109,-0.14054852638136528,-0.06664227939058358,68,f1_ag_yoy_raw
2020,-1.6772350675324366,-1.5412527670761622,-0.12853240340619657,-0.06495500834736001,243,f2_ag_yoy_ind
2021,1.8526266562892557,1.7753175464581468,0.16945486354972605,0.07887230516935263,243,f2_ag_yoy_ind
2022,1.3576511336697923,0.8293249913707857,0.12268134717916898,0.03326067807897265,242,f2_ag_yoy_ind
2023,2.1856134642820297,1.6517941642306964,0.13673391432393905,0.04593351089286314,242,f2_ag_yoy_ind
2024,0.21421385445728544,-0.060310801523964806,0.022172545763924363,-0.003988023099430855,242,f2_ag_yoy_ind
2025,-1.7102852425317665,-1.277801692473087,-0.12301931964027235,-0.05931388102833063,68,f2_ag_yoy_ind
2020,-2.0325824595370268,-2.1375548230699692,-0.10571047782035511,-0.061721028558213986,243,f3_ag_yoy_ind_size
2021,1.6565747930371968,1.3002078638656283,0.10666567450324031,0.03574707185808449,243,f3_ag_yoy_ind_size
2022,0.9400000743279324,-0.665198802572104,0.0665258388741316,-0.016835338631117084,242,f3_ag_yoy_ind_size
2023,1.0238746091217048,-0.04598037179278526,0.05584513549184647,-0.0009539186523851469,242,f3_ag_yoy_ind_size
2024,0.014204954291613928,-0.30256928881694356,0.0010363457842222786,-0.012679705294941557,242,f3_ag_yoy_ind_size
2025,-2.443400194025429,-1.7577763628663325,-0.15403119585134106,-0.06673978511346239,68,f3_ag_yoy_ind_size
2020,-1.6691144407634757,-1.5819776118852085,-0.12791149852477496,-0.06727660260497344,243,f4_ag_log_yoy_ind
2021,1.9478297013573043,1.812438966187542,0.17720967910111193,0.08230739882149335,243,f4_ag_log_yoy_ind
2022,1.380738323983775,0.9163838216308975,0.12479783176577403,0.03767090444565921,242,f4_ag_log_yoy_ind
2023,2.1659654034710805,1.6168889793221335,0.13615641357124944,0.046359405943913176,242,f4_ag_log_yoy_ind
2024,0.19151344160169495,-0.07106615041954856,0.01987535304165513,-0.004758061906121102,242,f4_ag_log_yoy_ind
2025,-1.6944077225937002,-1.175998282301184,-0.1218415950516562,-0.055538191916036664,68,f4_ag_log_yoy_ind
2020,-1.1787369805462842,-0.6355924607985944,-0.08762201194619956,-0.027812784506533624,189,f5_ag_2y_ind
2021,1.8285837305187473,2.063267824150488,0.16991859810193355,0.09656348704849307,243,f5_ag_2y_ind
2022,1.373680158393196,0.7747387990713069,0.1195063076542369,0.02963220183894213,242,f5_ag_2y_ind
2023,1.5718222406544302,1.383619196308376,0.10358770594801255,0.0377692713067328,242,f5_ag_2y_ind
2024,0.6723661646115978,0.17546297101672284,0.07829855078601042,0.013023713709937414,242,f5_ag_2y_ind
2025,-1.2443623459303352,-0.5858465992448622,-0.10608402621073944,-0.030130020139534353,68,f5_ag_2y_ind
2020,-2.451522021674947,-2.256705376173597,-0.13115822229478585,-0.06230988320088448,243,f6_ag_qoq_ind
2021,1.105444009406385,1.474314933938451,0.06911176558224368,0.04390457485554119,243,f6_ag_qoq_ind
2022,0.4189352824924586,-0.3160628945320981,0.027494885112818064,-0.008780701638193545,242,f6_ag_qoq_ind
2023,1.7591598154883856,0.6548271892909348,0.06663990528600455,0.011971972141391743,242,f6_ag_qoq_ind
2024,-0.5799185767431108,-0.6055299546128147,-0.035848641127051314,-0.022604370285061997,242,f6_ag_qoq_ind
2025,-0.39078897215715125,0.0032357621125925387,-0.020573262165313574,0.00010037361242247369,68,f6_ag_qoq_ind
2020,-1.9078429893836084,-1.756597673963584,-0.13726019102735576,-0.07122141865919271,243,f7_ag_rank_ind
2021,1.9666733140372674,1.835749368447148,0.1515638547922849,0.07930900370943356,243,f7_ag_rank_ind
2022,1.1588095767223867,0.5912016969902996,0.07983709043633726,0.02213977913556455,242,f7_ag_rank_ind
2023,2.3027859284963035,2.025283565680892,0.10067745177828602,0.04938055816318295,242,f7_ag_rank_ind
2024,0.3655443529093983,-0.07891080969238205,0.03332114376914675,-0.004823470673612289,242,f7_ag_rank_ind
2025,-1.7039609717214557,-0.8457365145581488,-0.10381885223016678,-0.03503486129244232,68,f7_ag_rank_ind
2020,-1.6728111778089876,-1.5362517234445656,-0.12844593751882563,-0.06525071268632608,243,f8_ag_composite
2021,1.9496642821558012,1.8396529866644953,0.17751452712540228,0.08282769787695402,243,f8_ag_composite
2022,1.3658923205159454,0.8599849208548709,0.12331279181114585,0.03508301836868052,242,f8_ag_composite
2023,2.1295442203642687,1.5727388570284215,0.1344526085822278,0.044917409626437914,242,f8_ag_composite
2024,0.20304333840262745,-0.07058375193283697,0.02112810346192752,-0.004703224716419373,242,f8_ag_composite
2025,-1.6564135051267193,-1.2632025402382858,-0.11889914622588062,-0.059309890140202985,68,f8_ag_composite
