,f2,f5,g1,g2,g3,g4,cma_2y,cma_triple,ag_orth_plus_nsi,g5
f2,1.0,0.629,0.393,0.393,0.402,0.29,0.535,0.798,0.608,0.347
f5,0.629,1.0,0.323,0.323,0.325,0.486,0.849,0.821,0.942,0.262
g1,0.393,0.323,1.0,0.999,0.995,0.671,0.593,0.714,0.483,0.675
g2,0.393,0.323,0.999,1.0,0.996,0.671,0.593,0.714,0.483,0.678
g3,0.402,0.325,0.995,0.996,1.0,0.669,0.594,0.72,0.485,0.706
g4,0.29,0.486,0.671,0.671,0.669,1.0,0.859,0.623,0.706,0.461
cma_2y,0.535,0.849,0.593,0.593,0.594,0.859,1.0,0.848,0.961,0.436
cma_triple,0.798,0.821,0.714,0.714,0.72,0.623,0.848,1.0,0.87,0.543
ag_orth_plus_nsi,0.608,0.942,0.483,0.483,0.485,0.706,0.961,0.87,1.0,0.37
g5,0.347,0.262,0.675,0.678,0.706,0.461,0.436,0.543,0.37,1.0
