factor,horizon,ic_mean,ic_tstat,n_days
r3_nsi_yoy_raw,fwd_ret_1,0.00847887334050714,5.02342476762134,1280
r3_nsi_yoy_raw,fwd_ret_5,0.013896832380290327,7.837182013239015,1276
r3_nsi_yoy_raw,fwd_ret_20,0.0238870058592746,13.06047256958221,1261
r3_nsi_yoy_raw,fwd_ret_60,0.04151984488932555,24.18328228064096,1221
r3_nsi_yoy_ind,fwd_ret_1,0.0077321306112480784,5.15655379769269,1280
r3_nsi_yoy_ind,fwd_ret_5,0.012523711195362172,7.969810197605436,1276
r3_nsi_yoy_ind,fwd_ret_20,0.021743181795319862,13.470101208810801,1261
r3_nsi_yoy_ind,fwd_ret_60,0.03725955066610398,24.698010103521675,1221
r3_nsi_log_ind,fwd_ret_1,0.0077347943029575875,5.157622257076562,1280
r3_nsi_log_ind,fwd_ret_5,0.01252780464970929,7.971386801965385,1276
r3_nsi_log_ind,fwd_ret_20,0.021749806982574785,13.472777349855498,1261
r3_nsi_log_ind,fwd_ret_60,0.03726268785473116,24.698061290199096,1221
r3_nsi_2y_ind,fwd_ret_1,0.006428927145831037,4.966294769089455,1246
r3_nsi_2y_ind,fwd_ret_5,0.009184804785891001,6.946589503690819,1242
r3_nsi_2y_ind,fwd_ret_20,0.01388255036597939,9.84427457022472,1227
r3_nsi_2y_ind,fwd_ret_60,0.026571568097308967,20.70272933233934,1187
r3_cma_2y,fwd_ret_1,0.007920120061943876,3.701047504557363,1246
r3_cma_2y,fwd_ret_5,0.013128719936170104,5.9689697193749245,1242
r3_cma_2y,fwd_ret_20,0.022714017934205397,9.743693599221293,1227
r3_cma_2y,fwd_ret_60,0.04283407121631998,18.8581708999035,1187
r3_cma_triple,fwd_ret_1,0.004964325257976682,1.6566659554212362,1264
r3_cma_triple,fwd_ret_5,0.011192726150795149,3.8492965516135915,1260
r3_cma_triple,fwd_ret_20,0.02882934830191036,9.450640596790057,1245
r3_cma_triple,fwd_ret_60,0.046242098260080154,14.22529141082874,1205
r3_ag_orth_nsi,fwd_ret_1,0.007813172651016324,3.411443721991867,1244
r3_ag_orth_nsi,fwd_ret_5,0.013685226042840068,5.841382673033866,1240
r3_ag_orth_nsi,fwd_ret_20,0.024864191214709865,10.16941420897006,1225
r3_ag_orth_nsi,fwd_ret_60,0.044592891853124116,18.239915342670002,1185
r3_nsi_rank_ind,fwd_ret_1,0.007276124620570154,5.035627243404283,1280
r3_nsi_rank_ind,fwd_ret_5,0.0116632159984855,7.752217372049416,1276
r3_nsi_rank_ind,fwd_ret_20,0.020252000220141897,13.151752358169615,1261
r3_nsi_rank_ind,fwd_ret_60,0.034452792483031874,23.873350104239623,1221
