expression,bin,fwd_ret,n_obs
r2_lt_rev_60d,0,0.009232362333280704,5582
r2_lt_rev_60d,1,0.006069773358380654,4212
r2_lt_rev_60d,2,0.012268996386422216,5415
r2_lt_rev_60d,3,0.019584898229875667,4212
r2_lt_rev_60d,4,0.014349203219727383,5418
r2_lt_rev_120d,0,0.004376671526022355,5342
r2_lt_rev_120d,1,-0.0011722071498625416,4033
r2_lt_rev_120d,2,0.006325007751351623,5174
r2_lt_rev_120d,3,0.00990326625888616,4032
r2_lt_rev_120d,4,0.0012632460767452883,5178
r2_lt_rev_250d,0,0.009807871490191553,4822
r2_lt_rev_250d,1,0.01000837861941516,3642
r2_lt_rev_250d,2,0.003807193649132032,4655
r2_lt_rev_250d,3,0.002698666560959311,3642
r2_lt_rev_250d,4,-0.011593512182503242,4658
r2_vol_scaled_lt_120,0,0.007894038585753433,5342
r2_vol_scaled_lt_120,1,-0.0026514456925815044,4033
r2_vol_scaled_lt_120,2,0.003544970267142949,5174
r2_vol_scaled_lt_120,3,0.014198168728870097,4032
r2_vol_scaled_lt_120,4,-0.0017798475126671097,5178
r2_deep_dip_rev,0,0.005523298356294708,13558
r2_deep_dip_rev,1,0.01062063520823878,3636
r2_deep_dip_rev,2,0.01257315113300575,3113
r2_deep_dip_rev,3,0.021055206250318797,1987
r2_deep_dip_rev,4,0.03050044370900366,971
r2_rsi_extreme_os,0,0.007432139072374456,4842
r2_rsi_extreme_os,1,0.03851177260559057,475
r2_rsi_extreme_os,2,0.0346851074205441,180
r2_rsi_extreme_os,3,0.11587026762271328,31
r2_rsi_extreme_os,4,0.14215187551724262,4
r2_vol_confirmed_lt60,0,0.01778395380800743,5582
r2_vol_confirmed_lt60,1,0.010818764380466545,4214
r2_vol_confirmed_lt60,2,0.011207616348627929,5413
r2_vol_confirmed_lt60,3,0.012756859420111441,4212
r2_vol_confirmed_lt60,4,0.008215965175867831,5418
r2_residual_rev,0,0.012365163285408397,5582
r2_residual_rev,1,0.014074978109822,4212
r2_residual_rev,2,0.012015221336102841,5415
r2_residual_rev,3,0.01569517056519444,4212
r2_residual_rev,4,0.008175801132844588,5418
