expression,bin,fwd_ret,n_obs
r1_trend_sharpe_20d,0,-0.0003289657537935829,9397
r1_trend_sharpe_20d,1,0.000578765518031961,8084
r1_trend_sharpe_20d,2,0.0009986442215887098,8062
r1_trend_sharpe_20d,3,0.0020476968855593376,8082
r1_trend_sharpe_20d,4,0.0023296981441808928,8653
r1_trend_sharpe_60d,0,0.000625850474861285,9326
r1_trend_sharpe_60d,1,0.001285346798853509,8016
r1_trend_sharpe_60d,2,0.000701495863119847,7997
r1_trend_sharpe_60d,3,0.0008744014194095119,8014
r1_trend_sharpe_60d,4,0.0022045324608301136,8585
r1_pullback_in_uptrend,0,0.001918438674743852,1426
r1_vol_adj_mom_4w,0,-0.0002800061011228186,9320
r1_vol_adj_mom_4w,1,0.0005905773495557738,8007
r1_vol_adj_mom_4w,2,0.0010293560330025134,7995
r1_vol_adj_mom_4w,3,0.0020520835879775934,8004
r1_vol_adj_mom_4w,4,0.002391608424154321,8578
r1_rel_strength_zscore,0,0.0003437034294539715,9320
r1_rel_strength_zscore,1,0.00040374360299454896,8007
r1_rel_strength_zscore,2,0.000638907424904243,7995
r1_rel_strength_zscore,3,0.0019162458963795004,8004
r1_rel_strength_zscore,4,0.002379004843953441,8578
r1_low_drawdown_20d,0,-0.0001310836384361236,9548
r1_low_drawdown_20d,1,0.0008156927951381997,8397
r1_low_drawdown_20d,2,0.0023591484657181534,8600
r1_low_drawdown_20d,3,0.0007508914127627621,8703
r1_low_drawdown_20d,4,0.0019808552849317628,7030
r1_kitchen_sink,0,-5.315002574046654e-05,9557
r1_kitchen_sink,1,9.714909905870827e-05,8047
r1_kitchen_sink,2,0.0009531566678797767,8045
r1_kitchen_sink,3,0.001978476752647451,8091
r1_kitchen_sink,4,0.0026232230547693805,8538
