expression,horizon_days,ic_mean,ic_std,ic_tstat,n_days,icir_ann
r1_trend_sharpe_20d,5,0.01762772308920222,0.3580815266521451,1.9629663977298089,1590,0.7814740722938259
r1_trend_sharpe_20d,10,0.025915121157759236,0.34937834004650076,2.953057475677017,1585,1.1774908387923562
r1_trend_sharpe_20d,20,0.0280061921802225,0.3247702266710852,3.4223004570763926,1575,1.368920182830557
r1_trend_sharpe_60d,5,0.016372617471529117,0.3672078485451711,1.7722896593571114,1580,0.7077932725971442
r1_trend_sharpe_60d,10,0.012749933942955947,0.3493200510712363,1.448520676473427,1575,0.5794082705893709
r1_trend_sharpe_60d,20,0.01275531694799193,0.3254206660890983,1.5506125542076927,1565,0.6222234797273913
r1_pullback_in_uptrend,5,0.00968111253452301,0.17392556547511015,2.21603429761795,1585,0.883613036788784
r1_pullback_in_uptrend,10,0.00522428935355448,0.19402749870189098,1.0702678538185617,1580,0.42742922005455425
r1_pullback_in_uptrend,20,-0.03133393811785898,0.1898382975905723,-6.540048620276911,1570,-2.620181772856117
r1_vol_adj_mom_4w,5,0.020278185525653258,0.35519200413041657,2.268595030893587,1579,0.9062879003460159
r1_vol_adj_mom_4w,10,0.028181806901763844,0.34862828975444066,3.20707099069854,1574,1.283235837419205
r1_vol_adj_mom_4w,20,0.030225527109634096,0.32445734105998625,3.684127509331497,1564,1.478824200124624
r1_rel_strength_zscore,5,0.013095850158186338,0.37353866520488826,1.3931221575542294,1579,0.5565425904146564
r1_rel_strength_zscore,10,0.015801425063096414,0.3644192599285922,1.7202727030134002,1574,0.6883276326103327
r1_rel_strength_zscore,20,0.010220547776568703,0.3415778858394577,1.1833216240094466,1564,0.47499025201586276
r1_low_drawdown_20d,5,0.02075324091105749,0.3473009889087733,2.382749953706444,1590,0.9485935733461299
r1_low_drawdown_20d,10,0.03368628750886136,0.34159998640391076,3.9259967841906835,1585,1.5654369359854576
r1_low_drawdown_20d,20,0.04309770703483506,0.3306241150621585,5.173207716708227,1575,2.069283086683291
r1_breakout_vol_conf,5,,,,1590,
r1_breakout_vol_conf,10,,,,1585,
r1_breakout_vol_conf,20,,,,1575,
r1_kitchen_sink,5,0.020205532661944293,0.36068984117350567,2.233752005600562,1590,0.8892761884920698
r1_kitchen_sink,10,0.02882423321780846,0.3498464612665272,3.2801591138121804,1585,1.307918094418265
r1_kitchen_sink,20,0.028214189835787003,0.3276839908574859,3.417060269864877,1575,1.3668241079459509
