expression,year,n_days,mean_ann,vol_ann,sharpe
r1_trend_sharpe_20d,2019,184,0.0829078841778007,0.19905623892909635,0.41650482609255174
r1_trend_sharpe_20d,2020,243,0.7290321329547333,0.5508085853268301,1.3235671200044055
r1_trend_sharpe_20d,2021,243,0.38070574318064,0.5826089313067047,0.6534498918970809
r1_trend_sharpe_20d,2022,242,-1.3060248745891951,1.160247922982373,-1.12564293261746
r1_trend_sharpe_20d,2023,242,-0.5002711775439692,0.8517565169774051,-0.5873405927309625
r1_trend_sharpe_20d,2024,242,0.3531643542175997,1.602633478794025,0.22036501726106106
r1_trend_sharpe_20d,2025,243,1.6651832985320543,1.146928230151869,1.4518635558491406
r1_trend_sharpe_20d,2026,71,1.2240675377182533,1.4006095506368397,0.8739534420293543
r1_trend_sharpe_60d,2019,184,0.2184859072453633,0.15174132553920777,1.439857642398871
r1_trend_sharpe_60d,2020,243,0.7589537886359917,0.5105372499132818,1.4865786752384966
r1_trend_sharpe_60d,2021,243,0.3768414673766791,0.5291733844056794,0.712132315195546
r1_trend_sharpe_60d,2022,242,-1.0512685724419062,0.9820851642265539,-1.0704454264613987
r1_trend_sharpe_60d,2023,242,-0.4703148911119047,0.8069050809046631,-0.582862721083142
r1_trend_sharpe_60d,2024,242,0.364444539869128,1.5536349967116945,0.23457539295940397
r1_trend_sharpe_60d,2025,243,1.6247320972937043,1.1228317041020186,1.446995209841424
r1_trend_sharpe_60d,2026,71,1.2230684395168292,1.3584032075906916,0.9003721668812189
r1_pullback_in_uptrend,2019,184,0.11642688384513229,0.19212400456514983,0.6059986315018309
r1_pullback_in_uptrend,2020,243,0.6302782237690058,0.515962033970581,1.2215593052820293
r1_pullback_in_uptrend,2021,243,0.19017402252582222,0.4188980322391387,0.453986430801032
r1_pullback_in_uptrend,2022,242,-0.698858483359116,0.7591814519915054,-0.9205420937588128
r1_pullback_in_uptrend,2023,242,-0.34791439434184523,0.5899610032674226,-0.5897243926547118
r1_pullback_in_uptrend,2024,242,0.361113946572167,1.1319896302509869,0.31900817544777343
r1_pullback_in_uptrend,2025,243,1.0930376534530903,0.7878130488580712,1.387432786290402
r1_pullback_in_uptrend,2026,71,0.7374455509468301,0.9917517819363119,0.7435787506295474
r1_vol_adj_mom_4w,2019,184,0.23347847688169165,0.16061796059130184,1.4536262073192798
r1_vol_adj_mom_4w,2020,243,0.6834261707123381,0.5353084240600671,1.2766960877037323
r1_vol_adj_mom_4w,2021,243,0.3714466042214469,0.5790604124670181,0.6414643381317379
r1_vol_adj_mom_4w,2022,242,-1.2959816064105887,1.1512636510526155,-1.1257035738300742
r1_vol_adj_mom_4w,2023,242,-0.5002711775439692,0.8517565169774051,-0.5873405927309625
r1_vol_adj_mom_4w,2024,242,0.3439952511707933,1.6017316155623915,0.21476460090351124
r1_vol_adj_mom_4w,2025,243,1.6651832985320543,1.146928230151869,1.4518635558491406
r1_vol_adj_mom_4w,2026,71,1.2240675377182533,1.4006095506368397,0.8739534420293543
r1_rel_strength_zscore,2019,184,0.23101034221555058,0.15221790660227494,1.517629215721313
r1_rel_strength_zscore,2020,243,0.6861356244070721,0.540837362753219,1.2686542603384297
r1_rel_strength_zscore,2021,243,0.37453171536930635,0.575586394035249,0.6506959150712134
r1_rel_strength_zscore,2022,242,-1.1791500926300449,1.114642240296484,-1.057873145303019
r1_rel_strength_zscore,2023,242,-0.5002711775439692,0.8517565169774051,-0.5873405927309625
r1_rel_strength_zscore,2024,242,0.34013123564209224,1.6012273819315461,0.21241907269396992
r1_rel_strength_zscore,2025,243,1.6510104053544878,1.1458952493904373,1.4408039532695054
r1_rel_strength_zscore,2026,71,1.2240675377182533,1.4006095506368397,0.8739534420293543
r1_low_drawdown_20d,2019,184,0.09245281507821912,0.19527985103629927,0.473437554297569
r1_low_drawdown_20d,2020,243,0.7805069347768668,0.5708383983493971,1.367299286512146
r1_low_drawdown_20d,2021,243,0.4448374729394041,0.5803648163540432,0.7664790497362566
r1_low_drawdown_20d,2022,242,-1.209071545213449,1.1241704981502467,-1.0755232833479458
r1_low_drawdown_20d,2023,242,-0.5002711775439692,0.8517565169774051,-0.5873405927309625
r1_low_drawdown_20d,2024,242,0.34093171620855484,1.6019577564731975,0.21282191420523827
r1_low_drawdown_20d,2025,243,1.7065239691221028,1.1761152506325723,1.45098362444008
r1_low_drawdown_20d,2026,71,1.2240675377182533,1.4006095506368397,0.8739534420293543
r1_breakout_vol_conf,2019,184,0.02889349520908205,0.20116614647227066,0.14363000791022665
r1_breakout_vol_conf,2020,243,0.6493645983055388,0.5160712070405689,1.2582848828737148
r1_breakout_vol_conf,2021,243,0.19790682733292336,0.4192963249956218,0.4719975242687611
r1_breakout_vol_conf,2022,242,-0.6728153533407071,0.6579613201498183,-1.0225758456249472
r1_breakout_vol_conf,2023,242,-0.15151485071147033,0.4911467191692353,-0.30849203465667985
r1_breakout_vol_conf,2024,242,0.3333807910870027,0.8960541550268376,0.3720542884788226
r1_breakout_vol_conf,2025,243,0.637288978383503,0.6097921741158956,1.0450920911005024
r1_breakout_vol_conf,2026,71,0.4012380794632849,0.6642439334257768,0.6040523055949288
r1_kitchen_sink,2019,184,0.105053220072719,0.19712957642417023,0.5329145528455482
r1_kitchen_sink,2020,243,0.7340604375849541,0.5511641554507405,1.3318363146903875
r1_kitchen_sink,2021,243,0.44398595509132155,0.5609728822861788,0.7914570723666876
r1_kitchen_sink,2022,242,-1.1841090326422505,1.0849579444816801,-1.0913870336310023
