expr,cost_bps_per_side,trades_per_hour,gross_sharpe_ann,net_sharpe_ann,net_cum_logret
r2_rev_15m,2.0,2.331843756512075,1.6386728661219183,-10.46927936599528,-0.5808580997978563
r2_rev_15m,5.0,2.331843756512075,1.6386728661219183,-28.035877260150684,-1.5879580997978562
r2_rev_15m,8.0,2.331843756512075,1.6386728661219183,-44.19314056218204,-2.595058099797856
r2_rev_15m,10.0,2.331843756512075,1.6386728661219183,-53.92397116704845,-3.2664580997978563
r2_rev_30m,2.0,1.655977216420848,0.6956138333390641,-8.392610495962067,-0.440413071912752
r2_rev_30m,5.0,1.655977216420848,0.6956138333390641,-21.690914572603898,-1.155613071912752
r2_rev_30m,8.0,1.655977216420848,0.6956138333390641,-34.19626902007176,-1.8708130719127518
r2_rev_30m,10.0,1.655977216420848,0.6956138333390641,-41.92879026477828,-2.347613071912752
r2_rev_45m,2.0,1.400356572275348,-0.7079077495780409,-8.338012761472692,-0.44049281067330004
r2_rev_45m,5.0,1.400356572275348,-0.7079077495780409,-19.5327783354462,-1.0452928106733
r2_rev_45m,8.0,1.400356572275348,-0.7079077495780409,-30.14730751778026,-1.6500928106733
r2_rev_45m,10.0,1.400356572275348,-0.7079077495780409,-36.779251709815604,-2.0532928106733
r2_rev_60m,2.0,1.232258213897057,2.5413315361716524,-4.169035565787797,-0.22063160386728348
r2_rev_60m,5.0,1.232258213897057,2.5413315361716524,-14.067204402294333,-0.7528316038672835
r2_rev_60m,8.0,1.232258213897057,2.5413315361716524,-23.542795617030936,-1.2850316038672833
r2_rev_60m,10.0,1.232258213897057,2.5413315361716524,-29.524127225644495,-1.6398316038672833
r2_rev_15m_volscale,2.0,2.985482414503693,0.6641620798785657,-15.653685368023744,-0.8247797306050052
r2_rev_15m_volscale,5.0,2.985482414503693,0.6641620798785657,-39.05756605292077,-2.114179730605005
r2_rev_15m_volscale,8.0,2.985482414503693,0.6641620798785657,-59.98894670604846,-3.403579730605005
r2_rev_15m_volscale,10.0,2.985482414503693,0.6641620798785657,-72.19697665700039,-4.263179730605005
r2_rev_30m_volscale,2.0,2.2408483641668018,-1.0485868189618528,-14.0353649312175,-0.6970469703620906
r2_rev_30m_volscale,5.0,2.2408483641668018,-1.0485868189618528,-32.799688210146094,-1.6648469703620905
r2_rev_30m_volscale,8.0,2.2408483641668018,-1.0485868189618528,-49.93917592873931,-2.6326469703620905
r2_rev_30m_volscale,10.0,2.2408483641668018,-1.0485868189618528,-60.18914430492568,-3.2778469703620905
r2_rev_30m_ema15,2.0,1.053045914468962,2.2445373482126896,-3.8834379555132443,-0.19228408638060282
r2_rev_30m_ema15,5.0,1.053045914468962,2.2445373482126896,-12.933993281129673,-0.6470840863806028
r2_rev_30m_ema15,8.0,1.053045914468962,2.2445373482126896,-21.61596733850575,-1.1018840863806028
r2_rev_30m_ema15,10.0,1.053045914468962,2.2445373482126896,-27.107578426652022,-1.4050840863806027
r2_rev_30m_volscale_hd,2.0,2.2561300331102827,0.9646508819289092,-12.139404996638941,-0.6019850829177826
r2_rev_30m_volscale_hd,5.0,2.2561300331102827,0.9646508819289092,-31.088868134333907,-1.5763850829177826
r2_rev_30m_volscale_hd,8.0,2.2561300331102827,0.9646508819289092,-48.408689446194,-2.5507850829177823
r2_rev_30m_volscale_hd,10.0,2.2561300331102827,0.9646508819289092,-58.770506498642156,-3.2003850829177827
