dec,mean,count,expr
0,1.102917708310326e-06,8638,r1_rev_1m
1,1.2709282546585119e-05,8637,r1_rev_1m
2,-1.867150561151842e-05,8637,r1_rev_1m
3,-1.546802315097474e-05,8637,r1_rev_1m
4,-7.681228444829322e-06,8638,r1_rev_1m
5,-1.635501735716555e-06,8637,r1_rev_1m
6,4.843107733882283e-06,8637,r1_rev_1m
7,2.2068402434387768e-05,8637,r1_rev_1m
8,3.3163754772009454e-05,8637,r1_rev_1m
9,5.5216612123498504e-05,8638,r1_rev_1m
0,5.148042425134299e-05,8637,r1_rev_5m
1,1.1035222318710938e-05,8637,r1_rev_5m
2,-9.305165206033191e-06,8637,r1_rev_5m
3,-7.535123636002693e-06,8637,r1_rev_5m
4,-1.3570445392908046e-05,8637,r1_rev_5m
5,-2.3287667752516326e-05,8636,r1_rev_5m
6,1.6811923612789292e-06,8637,r1_rev_5m
7,-1.1574551206263e-06,8637,r1_rev_5m
8,2.6679200323380564e-05,8637,r1_rev_5m
9,4.991423595400952e-05,8637,r1_rev_5m
0,-2.9184328261104693e-06,8636,r1_rev_15m
1,1.0497080595690178e-05,8636,r1_rev_15m
2,-1.5786354524492833e-05,8636,r1_rev_15m
3,7.681393750530717e-06,8636,r1_rev_15m
4,2.3280953930299506e-06,8636,r1_rev_15m
5,-7.716795550702916e-06,8635,r1_rev_15m
6,2.395210555464629e-06,8636,r1_rev_15m
7,1.1157899364494534e-05,8636,r1_rev_15m
8,1.901542691929087e-05,8636,r1_rev_15m
9,5.9351907271314e-05,8636,r1_rev_15m
0,2.5438408451619877e-05,8637,r1_rev_5m_volscale
1,4.073864171197899e-05,8637,r1_rev_5m_volscale
2,-1.7548435819985073e-05,8637,r1_rev_5m_volscale
3,-1.8421932590714602e-05,8637,r1_rev_5m_volscale
4,2.530959451118803e-06,8637,r1_rev_5m_volscale
5,-2.064770125794771e-05,8636,r1_rev_5m_volscale
6,9.63161930162891e-06,8637,r1_rev_5m_volscale
7,2.569450958084954e-05,8637,r1_rev_5m_volscale
8,2.8351542535018992e-05,8637,r1_rev_5m_volscale
9,1.0167112394877454e-05,8637,r1_rev_5m_volscale
0,1.8826436311478394e-05,8636,r1_rev_15m_volscale
1,-4.0581598332766853e-05,8636,r1_rev_15m_volscale
2,-1.7983159244506332e-05,8636,r1_rev_15m_volscale
3,1.9839151304951825e-05,8636,r1_rev_15m_volscale
4,2.1640753246277417e-05,8636,r1_rev_15m_volscale
5,1.424664631817479e-05,8635,r1_rev_15m_volscale
6,5.1928454639574885e-06,8636,r1_rev_15m_volscale
7,3.160783451113282e-05,8636,r1_rev_15m_volscale
8,3.0433642941947178e-05,8636,r1_rev_15m_volscale
9,2.7854216703201184e-06,8636,r1_rev_15m_volscale
0,2.560398506491522e-05,8637,r1_rev_5m_volscale_hd
1,3.5226494789043834e-05,8637,r1_rev_5m_volscale_hd
2,-1.0665299463161508e-05,8637,r1_rev_5m_volscale_hd
3,-2.5036356280464846e-05,8637,r1_rev_5m_volscale_hd
4,9.785871335244937e-07,8637,r1_rev_5m_volscale_hd
5,-1.5729154313291513e-05,8636,r1_rev_5m_volscale_hd
6,1.857260660481318e-05,8637,r1_rev_5m_volscale_hd
7,1.971493966454372e-05,8637,r1_rev_5m_volscale_hd
8,2.32702093295673e-05,8637,r1_rev_5m_volscale_hd
9,1.3999280702956074e-05,8637,r1_rev_5m_volscale_hd
0,4.542568755537727e-05,8637,r1_rev_range5m
1,4.0399854625883575e-05,8637,r1_rev_range5m
2,-1.5276077989221015e-05,8637,r1_rev_range5m
3,-5.751241686155177e-06,8637,r1_rev_range5m
4,-3.2157609596759414e-05,8637,r1_rev_range5m
5,-3.565850405963569e-05,8636,r1_rev_range5m
6,-1.588381202766481e-05,8637,r1_rev_range5m
7,3.366976865253828e-05,8637,r1_rev_range5m
8,3.444251596155674e-05,8637,r1_rev_range5m
9,3.672240435763002e-05,8637,r1_rev_range5m
0,9.472534053019745e-06,8637,r1_rev_amount5m
1,4.769449732140412e-05,8637,r1_rev_amount5m
2,4.5430884918942665e-06,8637,r1_rev_amount5m
3,6.320056668918345e-06,8637,r1_rev_amount5m
4,-3.5109158358718586e-05,8637,r1_rev_amount5m
5,-4.999372347301238e-05,8636,r1_rev_amount5m
6,-1.034441837966794e-05,8637,r1_rev_amount5m
7,3.244343447333762e-05,8637,r1_rev_amount5m
8,4.918318427326559e-05,8637,r1_rev_amount5m
9,3.1721830977894984e-05,8637,r1_rev_amount5m
