expr,k_min,ic,ic_tstat,n
r1_rev_1m,1,0.009683032306424597,2.845940210923165,86377
r1_rev_1m,5,0.008059444390358383,2.3686624872964215,86373
r1_rev_1m,15,0.005728534046974814,1.6834857938245729,86363
r1_rev_1m,60,0.0023630127070265418,0.6942452591571115,86318
r1_rev_5m,1,0.008059877941719949,2.3687899158771955,86373
r1_rev_5m,5,-0.0026273138407286243,-0.7721245652913106,86369
r1_rev_5m,15,0.010017915103709495,2.944068523473518,86359
r1_rev_5m,60,0.002965368026920179,0.8711964561549992,86314
r1_rev_15m,1,0.00575142372492408,1.6902127713581765,86363
r1_rev_15m,5,0.010037884626641342,2.949937764905672,86359
r1_rev_15m,15,0.013137058295379787,3.860639347815929,86349
r1_rev_15m,60,0.0016892643125838056,0.4962592982506341,86304
r1_rev_5m_volscale,1,0.012390845561498503,3.641818181608572,86373
r1_rev_5m_volscale,5,-0.002166244718854309,-0.6366231881213666,86369
r1_rev_5m_volscale,15,-0.0013937488821466999,-0.4095752709755817,86359
r1_rev_5m_volscale,60,-0.005224395182781328,-1.5348909921498712,86314
r1_rev_15m_volscale,1,0.004450901613232208,1.308010190291704,86363
r1_rev_15m_volscale,5,0.005303477547916951,1.5585316126162858,86359
r1_rev_15m_volscale,15,0.0065698298324513614,1.9305769664843468,86349
r1_rev_15m_volscale,60,-0.005458631926541295,-1.6036172213581878,86304
r1_rev_5m_volscale_hd,1,0.012670638272155756,3.724065674993066,86373
r1_rev_5m_volscale_hd,5,-0.0015795923378317258,-0.4642153291250764,86369
r1_rev_5m_volscale_hd,15,-0.0006089034133033162,-0.17893580952962637,86359
r1_rev_5m_volscale_hd,60,-0.004433841031608264,-1.3026267042039195,86314
r1_rev_range5m,1,0.006671477378030859,1.960720352147013,86373
r1_rev_range5m,5,-0.0036443716601667155,-1.07102463925066,86369
r1_rev_range5m,15,0.008233028110852142,2.419485874694814,86359
r1_rev_range5m,60,0.0009605722228664981,0.28220572136267835,86314
r1_rev_amount5m,1,0.008570499771447512,2.5188718470640477,86373
r1_rev_amount5m,5,0.0015704302177249126,0.4615227311559186,86369
r1_rev_amount5m,15,0.004347190882813609,1.277501995889473,86359
r1_rev_amount5m,60,-0.00042236742684492387,-0.12408693191089878,86314
