,d40_baseline,d40_vol_scaled,d40_resid_250d,d40_deep_only,d40_bounce_conf,d40_low_vol_surrender,p_top1_conviction,p_top3_diversified
2019-01-04,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005,0.0
2019-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.004683840749414525,0.0
2019-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0031080031080030768,0.0
2019-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.013942680092951187,0.0
2019-01-10,0.0,0.0,0.0,0.0,0.0,0.0,-0.008403361344537785,0.0
2019-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.02157164869029282,0.0
2019-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.03149606299212593,0.0
2019-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.01526717557251911,0.0
2019-01-17,0.0,0.0,0.0,0.0,0.0,0.0,-0.0052631578947369695,0.0
2019-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.03250188964474687,0.0
2019-01-21,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007320644216691763,0.0
2019-01-22,0.0,0.0,0.0,0.0,0.0,0.0,-0.01758241758241763,0.0
2019-01-23,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007457121551079915,0.0
2019-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.00746268656716409,0.0
2019-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-28,0.0,0.0,0.0,0.0,0.0,0.0,-0.02000000000000013,0.0
2019-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.00831443688586564,0.0
2019-01-30,0.0,0.0,0.0,0.0,0.0,0.0,-0.008245877061469398,0.0
2019-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0037792894935753107,0.0
2019-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.037650602409638356,0.0
2019-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301883,0.0
2019-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0277777777777779,0.0
2019-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.014553014553014387,0.0
2019-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.001366120218579292,0.0
2019-02-15,0.0,0.0,0.0,0.0,0.0,0.0,-0.01500682128240105,0.0
2019-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.03878116343490312,0.0
2019-02-19,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033333333333332993,0.0
2019-02-20,0.0,0.0,0.0,0.0,0.0,0.0,-0.01872909698996661,0.0
2019-02-21,0.0,0.0,0.0,0.0,0.0,0.0,-0.008179959100204526,0.0
2019-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.013745704467353903,0.0
2019-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.040000000000000036,0.0
2019-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.005867014341590648,0.0
2019-02-27,0.0,0.0,0.0,0.0,0.0,0.0,-0.00777705767984449,0.0
2019-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.02155453951665587,0.0
2019-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.00831202046035795,0.0
2019-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.014584654407102216,0.0
2019-03-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012499999999999734,0.0
2019-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0031289111389236623,0.0
2019-03-07,0.0,0.0,0.0,0.0,0.0,0.0,-0.017467248908296984,0.0
2019-03-08,0.0,0.0,0.0,0.0,0.0,0.0,-0.018777777777777782,0.0
2019-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.004901960784313708,0.0
2019-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0029268292682926855,0.0
2019-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009727626459145045,0.0
2019-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0058422590068158975,0.0
2019-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.01742497579864466,0.0
2019-03-19,0.0,0.0,0.0,0.0,0.0,0.0,-0.007611798287345373,0.0
2019-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0009587727708533222,0.0
2019-03-21,0.0,0.0,0.0,0.0,0.0,0.0,-0.003831417624521105,0.0
2019-03-22,0.0,0.0,0.0,0.0,0.0,0.0,-0.004807692307692402,0.0
2019-03-25,0.0,0.0,0.0,0.0,0.0,0.0,-0.023188405797101463,0.0
2019-03-26,0.0,0.0,0.0,0.0,0.0,0.0,-0.004945598417408381,0.0
2019-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.00894632206759427,0.0
2019-03-28,0.0,0.0,0.0,0.0,0.0,0.0,-0.006896551724137834,0.0
2019-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.030753968253968145,0.0
2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.017324350336862304,0.0
2019-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0018921475875117721,0.0
2019-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.009442870632672351,0.0
2019-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.015902712815715647,0.0
2019-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.005524861878453136,0.0
2019-04-09,0.0,0.0,0.0,0.0,0.0,0.0,-0.008241758241758323,0.0
2019-04-10,0.0,0.0,0.0,0.0,0.0,0.0,-0.004616805170821747,0.0
2019-04-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.00927643784786647,0.0
2019-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0037453183520599342,0.0
2019-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.003731343283582156,0.0
2019-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0390334572490707,0.0
2019-04-17,0.0,0.0,0.0,0.0,0.0,0.0,-0.00536672629695889,0.0
2019-04-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.008093525179856176,0.0
2019-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.009066183136899442,0.0
2019-04-22,0.0,0.0,0.0,0.0,0.0,0.0,-0.02785265049415986,0.0
2019-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0009242144177448175,0.0
2019-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.003693444136657398,0.0
2019-04-25,0.0,0.0,0.0,0.0,0.0,0.0,-0.01195952161913516,0.0
2019-04-26,0.0,0.0,0.0,0.0,0.0,0.0,-0.014897579143389184,0.0
2019-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.01512287334593565,0.0
2019-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.004655493482309092,0.0
2019-05-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.02873030583873948,0.0
2019-05-07,0.0,0.0,0.0,0.0,0.0,0.0,-0.000954198473282597,0.0
2019-05-08,0.0,0.0,0.0,0.0,0.0,0.0,-0.015281757402101248,0.0
2019-05-09,0.0,0.0,0.0,0.0,0.0,0.0,-0.02133850630455869,0.0
2019-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.021803766105054523,0.0
2019-05-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.01454898157128992,0.0
2019-05-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.002952755905511917,0.0
2019-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.016781836130306038,0.0
2019-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-17,0.0,0.0,0.0,0.0,0.0,0.0,-0.0136213592233011,0.0
2019-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.009039548022598876,0.0
2019-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.014557670772676445,0.0
2019-05-22,0.0,0.0,0.0,0.0,0.0,0.0,-0.011037527593819041,0.0
2019-05-23,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022321428571429047,0.0
2019-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.029082774049216997,0.0
2019-05-28,0.0,0.0,0.0,0.0,0.0,0.0,-0.004347826086956497,0.0
2019-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0010917030567685337,0.0
2019-05-30,0.0,0.0,0.0,0.0,0.0,0.0,-0.014176663031624903,0.0
2019-05-31,0.0,0.0,0.0,0.0,0.0,0.0,-0.00553097345132747,0.0
2019-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-04,0.0,0.0,0.0,0.0,0.0,0.0,-0.004449388209121219,0.0
2019-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.010055865921787754,0.0
2019-06-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.009955752212389424,0.0
2019-06-10,0.0,0.0,0.0,0.0,0.0,0.0,-0.013407821229050265,0.0
2019-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.054360135900339834,0.0
2019-06-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.01611170784103111,0.0
2019-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.009825327510917026,0.0
2019-06-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.020540540540540553,0.0
2019-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0066225165562914245,0.0
2019-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.02083333333333326,0.0
2019-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.06122448979591821,0.0
2019-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.012157894736842034,0.0
2019-06-24,0.0,0.0,0.0,0.0,0.0,0.0,-0.004054054054054013,0.0
